scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_142446_1_0.0001_1_window_1,nonlinear,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.45,0.40333333333333327,0.47083333333333327,0.601638888888889,0.4862345238095239,418087,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_142605_3_0.0001_1_window_3,nonlinear,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.55,0.4916666666666666,0.5149999999999999,0.6419007936507939,0.540972619047619,418279,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_142731_5_0.0001_1_window_5,nonlinear,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.46,0.4883333333333333,0.4674999999999999,0.6279325396825396,0.5073480158730159,418471,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_142914_7_0.0001_1_window_7,nonlinear,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.47,0.4483333333333332,0.45433333333333326,0.6394047619047618,0.5083670634920635,418663,7,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_143107_10_0.0001_1_window_10,nonlinear,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.44,0.4716666666666665,0.48450000000000004,0.6180992063492066,0.49716507936507937,418983,10,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_143312_1_0.0001_2_window_1,nonlinear,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.41,0.42166666666666663,0.4770000000000001,0.6187499999999998,0.4872230158730158,418087,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_143433_3_0.0001_2_window_3,nonlinear,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.5,0.49833333333333324,0.5213333333333332,0.6779682539682539,0.5533079365079365,418279,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_143604_5_0.0001_2_window_5,nonlinear,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.53,0.5049999999999999,0.5021666666666667,0.6355515873015871,0.530775,418471,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_143751_7_0.0001_2_window_7,nonlinear,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.49,0.5066666666666666,0.4976666666666666,0.6127380952380951,0.5241472222222222,418663,7,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_143948_10_0.0001_2_window_10,nonlinear,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.55,0.5033333333333332,0.48449999999999993,0.6145357142857143,0.5263591269841269,418983,10,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_144159_1_0.0001_3_window_1,nonlinear,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.45,0.4566666666666665,0.4463333333333334,0.6312619047619049,0.4925888888888889,418087,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_144322_3_0.0001_3_window_3,nonlinear,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.53,0.4733333333333334,0.4721666666666667,0.6514920634920636,0.5206615079365079,418279,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_144455_5_0.0001_3_window_5,nonlinear,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.5,0.4733333333333335,0.4916666666666666,0.6321349206349206,0.5179880952380953,418471,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_144642_7_0.0001_3_window_7,nonlinear,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.46,0.45833333333333326,0.49366666666666653,0.6168611111111111,0.5060630952380952,418663,7,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_144836_10_0.0001_3_window_10,nonlinear,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.41,0.4383333333333333,0.4531666666666665,0.6369126984126984,0.4904011904761904,418983,10,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_145044_1_0.0001_4_window_1,nonlinear,4,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.41,0.4133333333333333,0.4578333333333333,0.5980436507936507,0.4707392857142857,418087,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_145207_3_0.0001_4_window_3,nonlinear,4,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.47,0.4983333333333333,0.48783333333333334,0.6276785714285714,0.5218329365079365,418279,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_145338_5_0.0001_4_window_5,nonlinear,4,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.51,0.45999999999999985,0.47283333333333355,0.6306388888888887,0.517770238095238,418471,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_145525_7_0.0001_4_window_7,nonlinear,4,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.48,0.4483333333333333,0.4693333333333333,0.6391626984126982,0.5118440476190476,418663,7,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_145728_10_0.0001_4_window_10,nonlinear,4,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.53,0.43999999999999995,0.43416666666666665,0.629063492063492,0.4994642857142856,418983,10,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_145940_1_0.0001_5_window_1,nonlinear,5,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.42,0.45833333333333315,0.4856666666666667,0.6186190476190478,0.4994261904761905,418087,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_150103_3_0.0001_5_window_3,nonlinear,5,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.54,0.5049999999999999,0.5136666666666667,0.6537579365079366,0.5467043650793652,418279,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_150239_5_0.0001_5_window_5,nonlinear,5,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.53,0.5033333333333333,0.5279999999999998,0.6395476190476191,0.5426218253968254,418471,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_150425_7_0.0001_5_window_7,nonlinear,5,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.48,0.47666666666666657,0.4753333333333332,0.6336984126984128,0.5189003968253968,418663,7,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_150621_10_0.0001_5_window_10,nonlinear,5,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.45,0.4266666666666666,0.47400000000000003,0.6160714285714285,0.49818531746031747,418983,10,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
