scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL22_090253_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.71,0.466666666666667,0.43300000000000016,0.5878333333333332,0.5251833333333333,319487,7,0,100,0,0,32,2,40,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL22_090515_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.73,0.42666666666666686,0.3940000000000001,0.5285,0.48343333333333344,427871,7,0,100,0,0,32,2,40,1.1,normal,freq_only,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL22_090705_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.74,0.5,0.4693333333333336,0.6315,0.5651833333333334,429184,7,0,100,0,0,32,2,40,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL22_091022_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.69,0.4566666666666667,0.42466666666666697,0.5824999999999999,0.5141000000000001,427871,7,0,100,0,0,32,2,40,1.1,normal,sum,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL22_091338_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.69,0.4533333333333334,0.4210000000000003,0.5766666666666665,0.5128000000000001,5549471,7,0,100,0,0,32,2,40,1.1,normal,concat,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL22_091732_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.75,0.4033333333333335,0.3803333333333334,0.5231666666666667,0.48109999999999997,431111,7,0,100,0,0,32,2,40,1.1,mag_phase,freq_only,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL22_091928_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.75,0.5133333333333334,0.46516666666666695,0.6296666666666666,0.5622333333333334,432424,7,0,100,0,0,32,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL22_092250_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.7,0.4533333333333336,0.4391666666666669,0.5844999999999999,0.5233666666666669,431111,7,0,100,0,0,32,2,40,1.1,mag_phase,sum,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL22_092608_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.66,0.43666666666666687,0.4063333333333336,0.5634999999999999,0.4990500000000001,5552711,7,0,100,0,0,32,2,40,1.1,mag_phase,concat,aerca_based
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL22_093004_7_0.0001_4_window_7,lotka_volterra,4,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.83,0.5366666666666666,0.47850000000000015,0.6309999999999998,0.5838666666666666,319487,7,0,100,0,0,32,2,40,1.1,normal,gated,aerca_based
