scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
smapTemporalGNN_Attention_crossattn_(no mean)_normal_KL12_222742_1_0.0001_1_window_1,smap,1,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.6666666666666666,0.2222222222222222,0.26666666666666666,0.39999999999999997,0.358015873015873,9347001,1,0,1000,0,0,256,2,55,0,mag_phase,gated,aerca_based
smapTemporalGNN_Attention_crossattn_(no mean)_normal_KL12_223016_5_0.0001_1_window_5,smap,1,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.6533333333333334,0.2507407407407408,0.21311111111111114,0.30711111111111117,0.30925502645502656,9348537,5,0,1000,0,0,256,2,55,0,mag_phase,gated,aerca_based
smapTemporalGNN_Attention_crossattn_(no mean)_normal_KL12_223431_7_0.0001_1_window_7,smap,1,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.09501133786848072,0.23749055177626607,0.3670521541950113,0.44287981859410436,0.3150817541302235,9349305,7,0,1000,0,0,256,2,55,0,mag_phase,gated,aerca_based
smapTemporalGNN_Attention_crossattn_(no mean)_normal_KL12_224107_10_0.0001_1_window_10,smap,1,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.01245791245791246,0.16169632836299502,0.1853559403559404,0.22522847522847522,0.18784714969040367,9350585,10,0,1000,0,0,256,2,55,0,mag_phase,gated,aerca_based
smapTemporalGNN_Attention_crossattn_(no mean)_normal_KL12_225004_1_0.0001_2_window_1,smap,2,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.0,0.3333333333333333,0.3333333333333333,0.36666666666666664,0.30347883597883596,9347001,1,0,1000,0,0,256,2,55,0,mag_phase,gated,aerca_based
smapTemporalGNN_Attention_crossattn_(no mean)_normal_KL12_225233_5_0.0001_2_window_5,smap,2,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.013333333333333334,0.055185185185185184,0.21355555555555567,0.3045555555555556,0.18488747795414465,9348537,5,0,1000,0,0,256,2,55,0,mag_phase,gated,aerca_based
smapTemporalGNN_Attention_crossattn_(no mean)_normal_KL12_225950_1_0.0001_1_window_1,smap,1,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.6666666666666666,0.2222222222222222,0.26666666666666666,0.39999999999999997,0.358015873015873,9347001,1,0,1000,0,0,256,2,55,0,mag_phase,gated,aerca_based
smapTemporalGNN_Attention_crossattn_(no mean)_normal_KL12_230222_5_0.0001_1_window_5,smap,1,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.0,0.2959259259259259,0.3306666666666668,0.3266666666666666,0.2798717372134039,9348537,5,0,1000,0,0,256,2,55,0,mag_phase,gated,aerca_based
smapTemporalGNN_Attention_crossattn_(no mean)_normal_KL12_230756_7_0.0001_1_window_7,smap,1,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.05884353741496598,0.23219954648526075,0.327891156462585,0.4016780045351473,0.2973605397185329,9349305,7,0,1000,0,0,256,2,55,0,mag_phase,gated,aerca_based
smapTemporalGNN_Attention_crossattn_(no mean)_normal_KL12_231432_10_0.0001_1_window_10,smap,1,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.4746873496873497,0.23849206349206342,0.3395286195286195,0.35680976430976447,0.3338843413347382,9350585,10,0,1000,0,0,256,2,55,0,mag_phase,gated,aerca_based
