Variable,SummaryCausalGraph,Attention,MLP
0,0.039485864,0.006021264,0.0
1,-0.0027428912,0.0032930789,0.0
2,0.05307682,0.008023053,0.0
3,-0.016667912,0.009078544,0.0
4,0.08782159,0.012792835,0.0
5,0.013320069,0.007471555,0.0
6,0.07852177,-0.00028475543,0.0
7,0.053035732,0.0017646082,0.0
8,0.09152413,0.0064524473,0.0
9,0.085472025,-0.0035098072,0.0
10,0.07758558,-0.00906297,0.0
11,-0.09368636,0.013152143,0.0
12,0.020165315,0.008752184,0.0
13,-0.0086869495,-0.004662075,0.0
14,-0.046620194,-0.008854702,0.0
15,0.10282083,0.001407651,0.0
16,0.10274215,0.01326899,0.0
17,-0.074717164,-0.0048292195,0.0
18,-0.042629313,0.009740249,0.0
19,-0.03810317,0.004023982,0.0
20,-0.051308896,0.0069548436,0.0
21,-0.045779202,-0.001486135,0.0
22,-0.0024671308,-0.012847942,0.0
23,0.036306567,0.01160481,0.0
24,-0.0016959481,-0.002201666,0.0
25,-0.05775493,0.0029105493,0.0
26,0.019945368,0.014155164,0.0
27,0.059394784,0.004241604,0.0
28,-0.003640822,-0.0035479858,0.0
29,-0.03487097,0.014701389,0.0
30,0.05089055,-0.009797832,0.0
31,-0.083110146,-0.008285883,0.0
32,0.010400399,-0.0035961356,0.0
33,-0.03978497,-0.004043089,0.0
34,-0.061836667,0.002682677,0.0
35,-0.013169855,0.0077690617,0.0
36,0.048478372,0.014235726,0.0
37,-0.06663605,-0.0020529863,0.0
38,0.05056039,0.004226521,0.0
39,0.025602749,0.0066675493,0.0
