Variable,SummaryCausalGraph,Attention,MLP
0,2.0000684,0.01343744,0.0
1,-3.4605086,0.008777163,0.0
2,-1.1745899,0.018124297,0.0
3,0.2558204,-0.00069293904,0.0
4,-0.6588019,-0.0042952043,0.0
5,0.18154411,0.03902007,0.0
6,-0.03328793,-0.012166426,0.0
7,1.2676641,0.0355158,0.0
8,0.21312317,-0.0026218912,0.0
9,0.22621948,0.029170647,0.0
10,0.43894246,-0.042935587,0.0
11,-2.6122441,-0.01517383,0.0
12,-0.63036317,0.02832477,0.0
13,-3.2382646,0.038027477,0.0
14,-1.0777738,-0.029430527,0.0
15,0.1378984,-0.0049184714,0.0
16,0.76489276,-0.00962757,0.0
17,0.3158911,-0.008494404,0.0
18,-1.3248571,0.016953774,0.0
19,-0.048960436,0.032629147,0.0
20,-1.9093349,0.035516016,0.0
21,-0.6792673,3.4360323e-07,0.0
22,-1.0674512,0.010491165,0.0
23,-0.47676116,-0.011873512,0.0
24,2.2109609,0.032114808,0.0
25,-1.3624386,-0.0077472897,0.0
26,-3.3314466,0.007010883,0.0
27,-0.43996766,0.019793468,0.0
28,1.6871272,-0.0127914185,0.0
29,-1.0228606,0.003645982,0.0
30,-0.120455526,0.006526295,0.0
31,3.6056821,-0.01624671,0.0
32,-0.21319498,-0.013853879,0.0
33,1.3318845,0.011709141,0.0
34,0.6562533,-0.061765116,0.0
35,-1.8685199,0.040107653,0.0
36,0.7267733,0.021596255,0.0
37,0.1383641,-0.0027675414,0.0
38,-1.9473611,0.021686004,0.0
39,0.004619338,-0.015372035,0.0
40,1.5356053,-0.006843652,0.0
41,-0.66139615,-0.0003221891,0.0
42,2.2635138,0.053054266,0.0
43,2.7006354,-0.026134806,0.0
44,-1.1349155,-0.011186988,0.0
45,2.5856664,0.017215582,0.0
46,-1.7058818,-0.008931884,0.0
47,-0.32892555,0.046955753,0.0
48,2.6980953,-0.027426438,0.0
49,0.17283866,0.025732927,0.0
50,-0.29206976,0.021617267,0.0
