scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_025753_1_0.0001_1_window_1,nonlinear,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.52,0.5283333333333333,0.5571666666666668,0.7796547619047619,0.6033337301587303,317107,1,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_025901_5_0.0001_1_window_5,nonlinear,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.66,0.5949999999999998,0.5961666666666667,0.8102539682539682,0.6549460317460316,317491,5,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_030031_7_0.0001_1_window_7,nonlinear,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.59,0.5799999999999998,0.5748333333333333,0.8138214285714285,0.6380952380952379,317683,7,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_030207_10_0.0001_1_window_10,nonlinear,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.56,0.5816666666666664,0.5766666666666664,0.8107896825396825,0.640042857142857,318003,10,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_030353_1_0.0001_2_window_1,nonlinear,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.54,0.5599999999999998,0.5716666666666665,0.72775,0.6005373015873017,317107,1,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_030501_5_0.0001_2_window_5,nonlinear,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.6,0.56,0.5613333333333334,0.7798571428571427,0.6261789682539682,317491,5,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_030626_7_0.0001_2_window_7,nonlinear,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.54,0.5566666666666665,0.5578333333333333,0.8038611111111109,0.6201650793650793,317683,7,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_030759_10_0.0001_2_window_10,nonlinear,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.55,0.5316666666666665,0.5626666666666665,0.7761269841269837,0.6109694444444443,318003,10,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_030941_1_0.0001_3_window_1,nonlinear,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.58,0.5533333333333333,0.5563333333333333,0.7276825396825396,0.6083940476190476,317107,1,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_031047_5_0.0001_3_window_5,nonlinear,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.65,0.5483333333333331,0.5955,0.7955515873015869,0.6421686507936506,317491,5,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_031212_7_0.0001_3_window_7,nonlinear,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.6,0.575,0.5808333333333331,0.7910515873015869,0.6427948412698411,317683,7,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_031347_10_0.0001_3_window_10,nonlinear,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.6,0.5633333333333332,0.5803333333333334,0.7958055555555552,0.6375305555555555,318003,10,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL15_044241_1_0.0001_1_window_1,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.59,0.6033333333333332,0.6019999999999999,0.8162222222222221,0.6529432539682539,90375,1,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL15_044334_5_0.0001_1_window_5,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.53,0.5266666666666665,0.5914999999999999,0.7470793650793647,0.6131817460317459,451875,5,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL15_044504_7_0.0001_1_window_7,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.57,0.5483333333333337,0.5875000000000002,0.7622222222222219,0.6227023809523808,632625,7,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL15_044653_10_0.0001_1_window_10,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.54,0.5199999999999999,0.547,0.7516626984126983,0.5980984126984128,903750,10,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL15_044906_1_0.0001_2_window_1,nonlinear,2,normal_KL,deep_mlp,64,2,0.0001,0.61,0.6,0.6123333333333333,0.8017023809523809,0.6456853174603173,90375,1,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL15_045002_5_0.0001_2_window_5,nonlinear,2,normal_KL,deep_mlp,64,2,0.0001,0.42,0.45333333333333337,0.4991666666666667,0.7340634920634919,0.5366333333333333,451875,5,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL15_045135_7_0.0001_2_window_7,nonlinear,2,normal_KL,deep_mlp,64,2,0.0001,0.52,0.5199999999999999,0.5088333333333332,0.7805674603174603,0.5869694444444444,632625,7,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL15_045323_10_0.0001_2_window_10,nonlinear,2,normal_KL,deep_mlp,64,2,0.0001,0.44,0.4483333333333333,0.48650000000000004,0.7372103174603177,0.5404440476190476,903750,10,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL15_045537_1_0.0001_3_window_1,nonlinear,3,normal_KL,deep_mlp,64,2,0.0001,0.57,0.5433333333333332,0.5856666666666668,0.7877698412698408,0.6314615079365078,90375,1,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL15_045631_5_0.0001_3_window_5,nonlinear,3,normal_KL,deep_mlp,64,2,0.0001,0.59,0.535,0.5993333333333332,0.7813095238095236,0.6340238095238094,451875,5,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL15_045809_7_0.0001_3_window_7,nonlinear,3,normal_KL,deep_mlp,64,2,0.0001,0.67,0.5499999999999999,0.5505,0.7746428571428567,0.6263571428571428,632625,7,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL15_045958_10_0.0001_3_window_10,nonlinear,3,normal_KL,deep_mlp,64,2,0.0001,0.58,0.5066666666666666,0.5533333333333335,0.7707460317460315,0.609338888888889,903750,10,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_051347_1_0.0001_4_window_1,nonlinear,4,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.56,0.5366666666666667,0.5648333333333335,0.7598134920634922,0.6110079365079366,317107,1,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_051449_5_0.0001_4_window_5,nonlinear,4,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.63,0.5683333333333332,0.597,0.7942341269841269,0.6390892857142856,317491,5,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_051608_7_0.0001_4_window_7,nonlinear,4,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.59,0.5716666666666664,0.5920000000000001,0.7878253968253967,0.6360265873015872,317683,7,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_051736_10_0.0001_4_window_10,nonlinear,4,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.65,0.5783333333333333,0.5966666666666665,0.7679960317460315,0.6433329365079364,318003,10,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_051915_1_0.0001_5_window_1,nonlinear,5,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.59,0.5533333333333331,0.5711666666666667,0.756984126984127,0.6255912698412699,317107,1,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_052019_5_0.0001_5_window_5,nonlinear,5,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.63,0.565,0.5866666666666666,0.7846626984126982,0.6388392857142857,317491,5,0,100,0,0,64,2,15,0,mag_phase,attention,aerca_based
