scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
deep_mlp_(no mean)_normal_KL20_190208_1_0.0001_1_window_1,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.08,0.12000000000000004,0.13649999999999998,0.2419999999999999,0.15791666666666665,37584,1,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_190244_5_0.0001_1_window_5,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.13,0.12666666666666668,0.13233333333333333,0.2496666666666666,0.16726666666666662,41680,5,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_190327_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.15,0.11333333333333334,0.14933333333333332,0.28283333333333327,0.18436666666666662,42704,7,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_190416_10_0.0001_1_window_10,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.14,0.08333333333333331,0.11566666666666664,0.25366666666666654,0.15266666666666662,46800,10,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_190508_12_0.0001_1_window_12,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.05,0.08666666666666666,0.11849999999999997,0.2554999999999998,0.14283333333333328,49872,12,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_190603_15_0.0001_1_window_15,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.11,0.10333333333333333,0.15649999999999994,0.27116666666666656,0.17459999999999992,50896,15,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_190702_1_0.0001_2_window_1,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.08,0.13000000000000006,0.13616666666666666,0.2558333333333332,0.16264999999999993,37584,1,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_190739_5_0.0001_2_window_5,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.11,0.09,0.10066666666666664,0.22166666666666657,0.13961666666666664,41680,5,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_190823_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.11,0.11000000000000001,0.14033333333333328,0.28133333333333327,0.16919999999999996,42704,7,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_190913_10_0.0001_2_window_10,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.08,0.08999999999999998,0.11116666666666665,0.24816666666666648,0.1452166666666666,46800,10,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_191006_12_0.0001_2_window_12,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.14,0.1333333333333334,0.1485,0.26566666666666655,0.17531666666666662,49872,12,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_191103_15_0.0001_2_window_15,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.14,0.10666666666666667,0.11049999999999999,0.1998333333333333,0.13866666666666666,50896,15,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_191203_1_0.0001_3_window_1,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.13,0.1,0.14166666666666664,0.2649999999999999,0.16624999999999995,37584,1,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_191243_5_0.0001_3_window_5,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.12,0.11333333333333336,0.12849999999999998,0.23566666666666658,0.15463333333333332,41680,5,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_191328_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.12,0.11,0.13599999999999998,0.26499999999999996,0.16504999999999997,42704,7,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_191415_10_0.0001_3_window_10,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.11,0.11666666666666668,0.13566666666666666,0.2361666666666666,0.16029999999999997,46800,10,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_191509_12_0.0001_3_window_12,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.08,0.09333333333333331,0.11799999999999997,0.23966666666666658,0.14601666666666663,49872,12,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_191606_15_0.0001_3_window_15,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.15,0.10333333333333333,0.1293333333333333,0.27233333333333326,0.16891666666666663,50896,15,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_191705_1_0.0001_4_window_1,lotka_volterra,4,normal_KL,deep_mlp,32,2,0.0001,0.11,0.12333333333333339,0.141,0.2473333333333332,0.16649999999999998,37584,1,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_191743_5_0.0001_4_window_5,lotka_volterra,4,normal_KL,deep_mlp,32,2,0.0001,0.09,0.1066666666666667,0.15033333333333332,0.28399999999999986,0.17164999999999997,41680,5,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_191827_7_0.0001_4_window_7,lotka_volterra,4,normal_KL,deep_mlp,32,2,0.0001,0.07,0.1,0.13099999999999998,0.2591666666666666,0.15686666666666663,42704,7,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_191914_10_0.0001_4_window_10,lotka_volterra,4,normal_KL,deep_mlp,32,2,0.0001,0.08,0.08999999999999998,0.09083333333333332,0.23766666666666655,0.12981666666666664,46800,10,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_192008_12_0.0001_4_window_12,lotka_volterra,4,normal_KL,deep_mlp,32,2,0.0001,0.16,0.10333333333333336,0.12733333333333333,0.2571666666666666,0.16156666666666664,49872,12,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_192104_15_0.0001_4_window_15,lotka_volterra,4,normal_KL,deep_mlp,32,2,0.0001,0.09,0.1,0.13649999999999998,0.2669999999999999,0.16074999999999998,50896,15,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_192208_1_0.0001_5_window_1,lotka_volterra,5,normal_KL,deep_mlp,32,2,0.0001,0.09,0.11000000000000001,0.1268333333333333,0.24599999999999994,0.15488333333333332,37584,1,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_192246_5_0.0001_5_window_5,lotka_volterra,5,normal_KL,deep_mlp,32,2,0.0001,0.1,0.0833333333333333,0.11899999999999997,0.25333333333333324,0.15016666666666662,41680,5,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_192331_7_0.0001_5_window_7,lotka_volterra,5,normal_KL,deep_mlp,32,2,0.0001,0.14,0.10666666666666665,0.14016666666666666,0.25933333333333325,0.16961666666666664,42704,7,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_192419_10_0.0001_5_window_10,lotka_volterra,5,normal_KL,deep_mlp,32,2,0.0001,0.09,0.12333333333333335,0.12983333333333333,0.2628333333333332,0.16116666666666662,46800,10,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_192513_12_0.0001_5_window_12,lotka_volterra,5,normal_KL,deep_mlp,32,2,0.0001,0.07,0.1366666666666667,0.158,0.24083333333333334,0.16309999999999997,49872,12,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_192609_15_0.0001_5_window_15,lotka_volterra,5,normal_KL,deep_mlp,32,2,0.0001,0.08,0.11666666666666671,0.14733333333333332,0.26249999999999984,0.1634666666666666,50896,15,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_192708_1_0.0001_6_window_1,lotka_volterra,6,normal_KL,deep_mlp,32,2,0.0001,0.11,0.10666666666666667,0.11349999999999998,0.2553333333333332,0.1562833333333333,37584,1,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_192746_5_0.0001_6_window_5,lotka_volterra,6,normal_KL,deep_mlp,32,2,0.0001,0.05,0.11666666666666665,0.12116666666666663,0.23749999999999996,0.14706666666666665,41680,5,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_192831_7_0.0001_6_window_7,lotka_volterra,6,normal_KL,deep_mlp,32,2,0.0001,0.09,0.11333333333333337,0.12999999999999998,0.26516666666666655,0.15739999999999996,42704,7,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL20_192920_10_0.0001_6_window_10,lotka_volterra,6,normal_KL,deep_mlp,32,2,0.0001,0.13,0.11333333333333336,0.11166666666666669,0.24949999999999986,0.15031666666666665,46800,10,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
