scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL15_160635_1_0.0001_7_window_1,msds,7,normal_KL,TemporalGNN_Attention_crossattn,16,2,0.0001,0.34782608695652173,0.9347826086956522,1.0,1.0,0.9173913043478261,69081,1,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsdeep_mlp_(no mean)_normal_KL15_161057_1_1e-06_7_window_1,msds,7,normal_KL,deep_mlp,128,2,1e-06,0.15217391304347827,0.9347826086956522,1.0,1.0,0.8478260869565218,9342300,1,1,5000,0,0,128,2,10,0,normal,gated,aerca_based
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_052718_5_0.0001_7_window_5,msds,7,normal_KL,TemporalGNN_Attention_crossattn,16,2,0.0001,0.0,0.6086956521739131,0.6086956521739131,1.0,0.5782608695652174,69177,5,0,10,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_052951_5_0.0001_7_window_5,msds,7,normal_KL,TemporalGNN_Attention_crossattn,16,2,0.0001,0.0,0.6086956521739131,0.6086956521739131,1.0,0.5782608695652174,69177,5,0,10,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_053230_5_0.0001_7_window_5,msds,7,normal_KL,TemporalGNN_Attention_crossattn,16,2,0.0001,0.2826086956521739,0.6086956521739131,0.9565217391304348,1.0,0.826086956521739,69177,5,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_054320_5_0.0001_7_window_5,msds,7,normal_KL,TemporalGNN_Attention_crossattn,16,2,0.0001,0.2826086956521739,0.6086956521739131,0.9565217391304348,1.0,0.826086956521739,69177,5,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_055340_3_0.0001_7_window_3,msds,7,normal_KL,TemporalGNN_Attention_crossattn,16,2,0.0001,0.6086956521739131,0.9565217391304348,1.0,1.0,0.941304347826087,69129,3,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsdeep_mlp_(no mean)_normal_KL16_060121_1_1e-06_7_window_1,msds,7,normal_KL,deep_mlp,128,2,1e-06,0.15217391304347827,0.9347826086956522,1.0,1.0,0.8478260869565218,9342300,1,1,5000,0,0,128,2,10,0,normal,gated,aerca_based
msdsdeep_mlp_(no mean)_normal_KL16_062714_3_1e-06_7_window_3,msds,7,normal_KL,deep_mlp,128,2,1e-06,0.391304347826087,0.9565217391304348,1.0,1.0,0.8739130434782609,28026900,3,1,5000,0,0,128,2,10,0,normal,gated,aerca_based
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_080550_1_0.0001_7_window_1,msds,7,normal_KL,TemporalGNN_Attention_crossattn,16,2,0.0001,0.0,0.30434782608695654,0.6086956521739131,1.0,0.5913043478260869,69081,1,0,10,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_080753_1_0.0001_7_window_1,msds,7,normal_KL,TemporalGNN_Attention_crossattn,16,2,0.0001,0.0,0.30434782608695654,0.6086956521739131,1.0,0.5913043478260869,69081,1,0,10,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_080946_1_0.0001_7_window_1,msds,7,normal_KL,TemporalGNN_Attention_crossattn,16,2,0.0001,0.34782608695652173,0.9347826086956522,1.0,1.0,0.9173913043478261,69081,1,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_081505_1_0.0001_7_window_1,msds,7,normal_KL,TemporalGNN_Attention_crossattn,16,2,0.0001,0.34782608695652173,0.9347826086956522,1.0,1.0,0.9173913043478261,69081,1,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_082212_1_0.0001_7_window_1,msds,7,normal_KL,TemporalGNN_Attention_crossattn,16,2,0.0001,0.34782608695652173,0.9347826086956522,1.0,1.0,0.9173913043478261,69081,1,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsdeep_mlp_(no mean)_normal_KL16_082610_1_1e-06_7_window_1,msds,7,normal_KL,deep_mlp,128,2,1e-06,0.15217391304347827,0.9347826086956522,1.0,1.0,0.8478260869565218,9342300,1,1,5000,0,0,128,2,10,0,normal,gated,aerca_based
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_083905_1_0.0001_7_window_1,msds,7,normal_KL,TemporalGNN_Attention_crossattn,16,2,0.0001,0.34782608695652173,0.9347826086956522,1.0,1.0,0.9173913043478261,69081,1,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsdeep_mlp_(no mean)_normal_KL16_084302_1_1e-06_7_window_1,msds,7,normal_KL,deep_mlp,128,2,1e-06,0.15217391304347827,0.9347826086956522,1.0,1.0,0.8478260869565218,9342300,1,1,5000,0,0,128,2,10,0,normal,gated,aerca_based
