scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_152426_1_0.0001_7_window_1,nonlinear,7,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.36,0.3550000000000001,0.4353333333333334,0.6300714285714284,0.4580678571428571,418087,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_152535_3_0.0001_7_window_3,nonlinear,7,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.35,0.3916666666666668,0.4261666666666666,0.6465476190476191,0.4743039682539683,418279,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_152649_5_0.0001_7_window_5,nonlinear,7,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.34,0.3666666666666668,0.4091666666666666,0.6027817460317461,0.44801111111111125,418471,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_152813_7_0.0001_7_window_7,nonlinear,7,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.37,0.39000000000000024,0.41166666666666685,0.5884484126984126,0.4488769841269842,418663,7,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_152947_10_0.0001_7_window_10,nonlinear,7,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.38,0.37666666666666665,0.42266666666666663,0.596079365079365,0.4542289682539682,418983,10,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_153134_1_0.0001_8_window_1,nonlinear,8,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.42,0.37500000000000006,0.43183333333333346,0.5830396825396825,0.45138769841269843,418087,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_153241_3_0.0001_8_window_3,nonlinear,8,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.36,0.4000000000000001,0.4336666666666668,0.6250476190476189,0.471547619047619,418279,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_153358_5_0.0001_8_window_5,nonlinear,8,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.41,0.4150000000000001,0.4538333333333336,0.6443809523809524,0.4933805555555556,418471,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_153525_7_0.0001_8_window_7,nonlinear,8,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.35,0.4000000000000001,0.42300000000000026,0.6100238095238094,0.46160079365079365,418663,7,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_153704_10_0.0001_8_window_10,nonlinear,8,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.28,0.33166666666666667,0.36200000000000015,0.5670277777777778,0.40584325396825394,418983,10,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_153853_1_0.0001_9_window_1,nonlinear,9,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.33,0.3366666666666668,0.40549999999999997,0.6023055555555554,0.4439126984126984,418087,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_154002_3_0.0001_9_window_3,nonlinear,9,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.36,0.3883333333333334,0.42416666666666664,0.6252380952380953,0.46271785714285707,418279,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_154121_5_0.0001_9_window_5,nonlinear,9,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.43,0.38,0.4350000000000002,0.6338531746031747,0.4822396825396826,418471,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_154250_7_0.0001_9_window_7,nonlinear,9,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.46,0.3966666666666668,0.44699999999999995,0.6146468253968255,0.485681746031746,418663,7,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_154427_10_0.0001_9_window_10,nonlinear,9,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.36,0.3866666666666669,0.40966666666666673,0.6128809523809523,0.4523238095238096,418983,10,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL16_154614_1_0.0001_7_window_1,nonlinear,7,normal_KL,deep_mlp,64,2,0.0001,0.39,0.3233333333333332,0.4066666666666668,0.5594920634920634,0.43261666666666665,117900,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL16_154713_3_0.0001_7_window_3,nonlinear,7,normal_KL,deep_mlp,64,2,0.0001,0.35,0.32833333333333337,0.3403333333333334,0.5162301587301587,0.38782738095238095,353700,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL16_154831_5_0.0001_7_window_5,nonlinear,7,normal_KL,deep_mlp,64,2,0.0001,0.27,0.28499999999999986,0.35100000000000003,0.5272579365079363,0.3724765873015872,589500,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL16_155009_7_0.0001_7_window_7,nonlinear,7,normal_KL,deep_mlp,64,2,0.0001,0.37,0.30833333333333324,0.34099999999999997,0.5326150793650795,0.3863488095238095,825300,7,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL16_155208_10_0.0001_7_window_10,nonlinear,7,normal_KL,deep_mlp,64,2,0.0001,0.37,0.3566666666666667,0.3764999999999999,0.5581547619047619,0.417836111111111,1179000,10,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL16_155432_1_0.0001_8_window_1,nonlinear,8,normal_KL,deep_mlp,64,2,0.0001,0.39,0.4133333333333335,0.4481666666666668,0.6416706349206349,0.4924492063492064,117900,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL16_155533_3_0.0001_8_window_3,nonlinear,8,normal_KL,deep_mlp,64,2,0.0001,0.41,0.40333333333333327,0.4216666666666667,0.5923968253968255,0.4613626984126985,353700,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL16_155648_5_0.0001_8_window_5,nonlinear,8,normal_KL,deep_mlp,64,2,0.0001,0.48,0.4216666666666667,0.43266666666666703,0.611325396825397,0.48652380952380964,589500,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
