scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
swatdeep_mlp_(no mean)_normal_KL20_104120_1_1e-06_1_window_1,swat,1,normal_KL,deep_mlp,256,2,1e-06,0.2,0.3,0.3,0.3,0.2899999999999999,28987803,1,1,5000,0,0,128,2,51,0,normal,gated,aerca_based
swatdeep_mlp_(no mean)_normal_KL20_114134_1_1e-06_2_window_1,swat,2,normal_KL,deep_mlp,256,2,1e-06,0.2,0.3,0.3,0.3,0.2899999999999999,28987803,1,1,5000,0,0,128,2,51,0,normal,gated,aerca_based
swatdeep_mlp_(no mean)_normal_KL20_131514_1_1e-06_3_window_1,swat,3,normal_KL,deep_mlp,256,2,1e-06,0.15,0.2,0.3,0.35,0.29,28987803,1,1,5000,0,0,128,2,51,0,normal,gated,aerca_based
swatdeep_mlp_(no mean)_normal_KL20_132509_1_1e-06_4_window_1,swat,4,normal_KL,deep_mlp,256,2,1e-06,0.1,0.2,0.3,0.4,0.285,28987803,1,1,5000,0,0,128,2,51,0,normal,gated,aerca_based
swatdeep_mlp_(no mean)_normal_KL20_133426_1_1e-06_5_window_1,swat,5,normal_KL,deep_mlp,256,2,1e-06,0.15,0.25,0.35,0.35,0.29500000000000004,28987803,1,1,5000,0,0,128,2,51,0,normal,gated,aerca_based
swatdeep_mlp_(no mean)_normal_KL20_134357_1_1e-06_6_window_1,swat,6,normal_KL,deep_mlp,256,2,1e-06,0.1,0.25,0.35,0.35,0.28500000000000003,28987803,1,1,5000,0,0,128,2,51,0,normal,gated,aerca_based
swatdeep_mlp_(no mean)_normal_KL20_151606_5_1e-06_1_window_5,swat,1,normal_KL,deep_mlp,256,2,1e-06,0,0,0,0,0.0,144939015,5,1,5000,0,0,128,2,51,0,normal,gated,aerca_based
swatdeep_mlp_(no mean)_normal_KL20_151701_5_1e-06_1_window_5,swat,1,normal_KL,deep_mlp,256,2,1e-06,0,0,0,0,0.0,144939015,5,1,5000,0,0,128,2,51,0,normal,gated,aerca_based
swatdeep_mlp_(no mean)_normal_KL20_151711_5_1e-06_2_window_5,swat,2,normal_KL,deep_mlp,256,2,1e-06,0,0,0,0,0.0,144939015,5,1,5000,0,0,128,2,51,0,normal,gated,aerca_based
swatdeep_mlp_(no mean)_normal_KL20_151721_5_1e-06_3_window_5,swat,3,normal_KL,deep_mlp,256,2,1e-06,0,0,0,0,0.0,144939015,5,1,5000,0,0,128,2,51,0,normal,gated,aerca_based
swatdeep_mlp_(no mean)_normal_KL20_151809_5_1e-06_1_window_5,swat,1,normal_KL,deep_mlp,256,2,1e-06,0,0,0,0,0.0,144939015,5,1,5000,0,0,128,2,51,0,normal,gated,aerca_based
swatdeep_mlp_(no mean)_normal_KL20_151819_7_1e-06_1_window_7,swat,1,normal_KL,deep_mlp,256,2,1e-06,0,0,0,0,0.0,202914621,7,1,5000,0,0,128,2,51,0,normal,gated,aerca_based
swatdeep_mlp_(no mean)_normal_KL20_151829_10_1e-06_1_window_10,swat,1,normal_KL,deep_mlp,256,2,1e-06,0,0,0,0,0.0,289878030,10,1,5000,0,0,128,2,51,0,normal,gated,aerca_based
swatdeep_mlp_(no mean)_normal_KL20_151840_12_1e-06_1_window_12,swat,1,normal_KL,deep_mlp,256,2,1e-06,0,0,0,0,0.0,347853636,12,1,5000,0,0,128,2,51,0,normal,gated,aerca_based
swatdeep_mlp_(no mean)_normal_KL20_151851_15_1e-06_1_window_15,swat,1,normal_KL,deep_mlp,256,2,1e-06,0,0,0,0,0.0,434817045,15,1,5000,0,0,128,2,51,0,normal,gated,aerca_based
