scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_104314_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.93,0.6999999999999998,0.6421666666666667,0.7774999999999999,0.7368499999999999,1687243,7,0,100,0,0,64,2,60,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_105012_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.95,0.7733333333333331,0.7971666666666666,0.9495,0.8646499999999999,417843,7,0,100,0,0,64,2,20,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_105412_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.96,0.7366666666666666,0.7354999999999996,0.9096666666666664,0.823183333333333,657793,7,0,100,0,0,64,2,30,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_105849_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.94,0.7466666666666665,0.6824999999999997,0.8449999999999998,0.7835333333333333,949343,7,0,100,0,0,64,2,40,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_110414_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.91,0.7066666666666667,0.6348333333333334,0.7789999999999998,0.7327833333333332,1292493,7,0,100,0,0,64,2,50,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_110848_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.41,0.3166666666666667,0.2846666666666667,0.37016666666666675,0.33920000000000006,417843,7,0,100,0,0,64,2,20,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_111109_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.7,0.4666666666666666,0.4176666666666666,0.5163333333333333,0.4970833333333333,657793,7,0,100,0,0,64,2,30,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_111408_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.89,0.6199999999999999,0.5241666666666667,0.685,0.6448833333333333,949343,7,0,100,0,0,64,2,40,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_111751_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.92,0.6866666666666664,0.6328333333333332,0.8004999999999997,0.7394166666666665,1292493,7,0,100,0,0,64,2,50,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_112229_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.39,0.32666666666666666,0.2950000000000001,0.37550000000000006,0.3437833333333334,417843,7,0,100,0,0,64,2,20,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_112450_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.71,0.44999999999999996,0.4104999999999999,0.5303333333333332,0.49583333333333324,657793,7,0,100,0,0,64,2,30,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_112749_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.88,0.5966666666666665,0.5333333333333333,0.6549999999999998,0.6359333333333334,949343,7,0,100,0,0,64,2,40,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_113128_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.94,0.6866666666666665,0.6369999999999999,0.7989999999999999,0.7406999999999998,1292493,7,0,100,0,0,64,2,50,1.1,normal,gated,aerca_based
deep_mlp_(no mean)_normal_KL21_121314_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,64,2,0.0001,0.17,0.1166666666666667,0.1416666666666667,0.27416666666666656,0.17821666666666663,140624,7,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL21_121543_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,64,2,0.0001,0.17,0.1166666666666667,0.1416666666666667,0.27416666666666656,0.17821666666666663,140624,7,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
