scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_122426_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.93,0.6966666666666665,0.6441666666666667,0.7926666666666662,0.7440666666666665,1694503,7,0,100,0,0,64,2,60,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_122947_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.94,0.7133333333333332,0.6656666666666663,0.8049999999999998,0.7606499999999998,1694503,7,0,100,0,0,64,2,60,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_123511_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.95,0.7199999999999995,0.6549999999999998,0.8069999999999996,0.7595666666666664,1694503,7,0,100,0,0,64,2,60,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_124214_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.94,0.7899999999999997,0.7986666666666666,0.9531666666666666,0.8697833333333331,418663,7,0,100,0,0,64,2,20,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_124434_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.96,0.8099999999999997,0.7894999999999999,0.9469999999999998,0.8678999999999999,418663,7,0,100,0,0,64,2,20,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_124655_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.94,0.8,0.7923333333333333,0.9520000000000001,0.8701333333333334,418663,7,0,100,0,0,64,2,20,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_125103_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.94,0.7266666666666666,0.7416666666666661,0.8989999999999996,0.815733333333333,659623,7,0,100,0,0,64,2,30,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_125402_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.94,0.7533333333333332,0.7218333333333328,0.8919999999999996,0.8165999999999997,659623,7,0,100,0,0,64,2,30,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_125701_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.92,0.7266666666666666,0.7159999999999994,0.8753333333333329,0.8036833333333331,659623,7,0,100,0,0,64,2,30,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL21_130147_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.93,0.7433333333333333,0.6718333333333333,0.8389999999999997,0.7790333333333332,952583,7,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
