scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL21_220758_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention,64,2,0.0001,0.86,0.5766666666666665,0.5025,0.6149999999999998,0.6051833333333333,692703,7,0,100,0,0,64,2,40,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_221035_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.69,0.45333333333333337,0.3871666666666668,0.5228333333333333,0.47745000000000015,916063,7,0,100,0,0,64,2,40,1.1,normal,freq_only,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_221231_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.88,0.6033333333333332,0.5231666666666669,0.6589999999999996,0.6328833333333332,918688,7,0,100,0,0,64,2,40,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_221607_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.87,0.5899999999999999,0.512,0.6396666666666666,0.6227166666666666,916063,7,0,100,0,0,64,2,40,1.1,normal,sum,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_221944_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.85,0.5933333333333332,0.5241666666666669,0.6593333333333331,0.6282833333333333,6037663,7,0,100,0,0,64,2,40,1.1,normal,concat,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_222355_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.68,0.4366666666666669,0.3961666666666667,0.5201666666666668,0.4847,919303,7,0,100,0,0,64,2,40,1.1,mag_phase,freq_only,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_222555_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.87,0.58,0.523,0.6478333333333332,0.6211833333333332,921928,7,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_222934_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.83,0.6033333333333332,0.5283333333333335,0.6616666666666666,0.6274666666666666,919303,7,0,100,0,0,64,2,40,1.1,mag_phase,sum,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_223311_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.84,0.5966666666666665,0.5118333333333333,0.6491666666666664,0.6156166666666666,6040903,7,0,100,0,0,64,2,40,1.1,mag_phase,concat,aerca_based
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL21_223725_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention,64,2,0.0001,0.91,0.6,0.508,0.5953333333333333,0.6086500000000001,692703,7,0,100,0,0,64,2,40,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_224007_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.72,0.44000000000000006,0.3940000000000001,0.5188333333333333,0.48736666666666667,916063,7,0,100,0,0,64,2,40,1.1,normal,freq_only,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_224206_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.91,0.6133333333333332,0.513,0.6371666666666665,0.6289499999999999,918688,7,0,100,0,0,64,2,40,1.1,normal,gated,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_224544_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.88,0.6299999999999999,0.5466666666666665,0.6471666666666666,0.6381499999999998,916063,7,0,100,0,0,64,2,40,1.1,normal,sum,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_224919_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.89,0.6199999999999999,0.5338333333333334,0.6438333333333331,0.6370833333333333,6037663,7,0,100,0,0,64,2,40,1.1,normal,concat,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_225332_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.73,0.44000000000000006,0.3953333333333333,0.5083333333333334,0.4838166666666667,919303,7,0,100,0,0,64,2,40,1.1,mag_phase,freq_only,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_225532_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.92,0.6199999999999999,0.5213333333333332,0.6584999999999998,0.6381666666666667,921928,7,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_225910_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.9,0.6199999999999999,0.5221666666666667,0.6581666666666665,0.6387999999999999,919303,7,0,100,0,0,64,2,40,1.1,mag_phase,sum,aerca_based
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL21_230248_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,64,2,0.0001,0.86,0.5933333333333333,0.5253333333333333,0.6528333333333332,0.6304333333333332,6040903,7,0,100,0,0,64,2,40,1.1,mag_phase,concat,aerca_based
