scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method
swatTemporalGNN_Attention_(no mean)_normal_KL17_155509_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2,51,0,normal,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_155739_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2,51,0,normal,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_160011_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2,51,0,normal,attention
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_160242_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2,51,0,mag_phase,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_160514_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2,51,0,mag_phase,attention
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_160750_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2,51,0,mag_phase_learnable_filter,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_161024_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2,51,0,mag_phase_learnable_filter,attention
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_161255_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2,51,0,learnable_filter,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_161525_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2,51,0,learnable_filter,attention
swatTemporalGNN_Attention_(no mean)_normal_KL17_161800_7_0.0001_1_window_7,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.29285714285714287,0.42142857142857143,0.4357142857142858,0.49642857142857144,0.42857142857142855,6413499,7,0,1000,0,0,256,2,51,0,normal,gated
