scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_220617_7_0.0001_3_window_7,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.15,0.2357142857142857,0.28571428571428575,0.38928571428571435,0.28964285714285715,6413499,7,0,1000,0,0,256,2,51,0,normal,attention2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_221001_7_0.0001_3_window_7,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.13571428571428573,0.23928571428571432,0.3392857142857143,0.41071428571428575,0.305,6413499,7,0,1000,0,0,256,2,51,0,mag_phase,attention2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_221339_7_0.0001_3_window_7,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.15714285714285714,0.2357142857142857,0.28571428571428575,0.41785714285714287,0.3046428571428571,6413499,7,0,1000,0,0,256,2,51,0,mag_phase_learnable_filter,attention2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_221740_7_0.0001_3_window_7,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.17857142857142855,0.30357142857142855,0.3321428571428572,0.38214285714285723,0.32357142857142857,6413499,7,0,1000,0,0,256,2,51,0,learnable_filter,attention2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_222133_7_0.0001_4_window_7,swat,4,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.1357142857142857,0.21428571428571427,0.22857142857142856,0.29285714285714287,0.2307142857142857,6413499,7,0,1000,0,0,256,2,51,0,normal,attention2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_222522_7_0.0001_4_window_7,swat,4,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.17857142857142855,0.2642857142857143,0.29285714285714287,0.35714285714285715,0.2892857142857143,6413499,7,0,1000,0,0,256,2,51,0,mag_phase,attention2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_222906_7_0.0001_4_window_7,swat,4,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.12142857142857144,0.17857142857142855,0.20714285714285716,0.35714285714285715,0.2257142857142857,6413499,7,0,1000,0,0,256,2,51,0,mag_phase_learnable_filter,attention2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_223256_7_0.0001_4_window_7,swat,4,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.11428571428571428,0.1857142857142857,0.22857142857142856,0.29999999999999993,0.22642857142857137,6413499,7,0,1000,0,0,256,2,51,0,learnable_filter,attention2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_223622_7_0.0001_5_window_7,swat,5,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.15,0.325,0.3464285714285714,0.3821428571428571,0.3260714285714286,6413499,7,0,1000,0,0,256,2,51,0,normal,attention2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_223945_7_0.0001_5_window_7,swat,5,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.1571428571428571,0.30357142857142855,0.3535714285714286,0.425,0.3378571428571428,6413499,7,0,1000,0,0,256,2,51,0,mag_phase,attention2
