scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL18_161205_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.88,0.653333333333333,0.6074999999999998,0.8138333333333334,0.7204166666666666,319487,7,0,100,0,0,32,2,40,1.1,normal,gated
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_161430_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.93,0.6666666666666664,0.6234999999999999,0.8091666666666667,0.7366166666666667,429184,7,0,100,0,0,32,2,40,1.1,normal,gated
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_161749_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.75,0.5733333333333333,0.5646666666666669,0.7615000000000002,0.6615666666666666,427871,7,0,100,0,0,32,2,40,1.1,normal,sum
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_162108_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.73,0.5633333333333332,0.5756666666666667,0.7651666666666667,0.65945,5549471,7,0,100,0,0,32,2,40,1.1,normal,concat
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_162503_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.88,0.6799999999999998,0.6425,0.7898333333333334,0.73055,432424,7,0,100,0,0,32,2,40,1.1,mag_phase,gated
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_162825_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.77,0.59,0.5653333333333335,0.7776666666666666,0.66635,431111,7,0,100,0,0,32,2,40,1.1,mag_phase,sum
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_163145_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.75,0.5866666666666668,0.5615000000000001,0.7586666666666666,0.6595666666666669,5552711,7,0,100,0,0,32,2,40,1.1,mag_phase,concat
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL18_163730_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.88,0.6266666666666666,0.5946666666666667,0.7798333333333332,0.6967666666666666,319487,7,0,100,0,0,32,2,40,1.1,normal,gated
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_163956_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.94,0.6966666666666664,0.6478333333333333,0.8178333333333332,0.7518999999999998,429184,7,0,100,0,0,32,2,40,1.1,normal,gated
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_164317_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.8,0.5833333333333333,0.5931666666666666,0.7574999999999998,0.6771666666666665,427871,7,0,100,0,0,32,2,40,1.1,normal,sum
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_164637_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.8,0.5666666666666667,0.5763333333333334,0.7504999999999998,0.6635,5549471,7,0,100,0,0,32,2,40,1.1,normal,concat
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_165034_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.92,0.72,0.6443333333333334,0.8118333333333331,0.7580166666666666,432424,7,0,100,0,0,32,2,40,1.1,mag_phase,gated
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_165354_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.78,0.5866666666666667,0.5803333333333334,0.7541666666666664,0.6654833333333333,431111,7,0,100,0,0,32,2,40,1.1,mag_phase,sum
