scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_140640_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2,51,0,normal,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_140920_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2,51,0,mag_phase,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_141201_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2,51,0,mag_phase_learnable_filter,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_141442_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2,51,0,mag_phase_learnable_filter,attention
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_141730_7_0.0001_1_window_7,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.33571428571428574,0.4642857142857143,0.48571428571428577,0.5214285714285715,0.46785714285714286,6413499,7,0,1000,0,0,256,2,51,0,normal,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_142141_7_0.0001_1_window_7,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3142857142857143,0.40714285714285714,0.46428571428571425,0.5035714285714284,0.4457142857142856,6413499,7,0,1000,0,0,256,2,51,0,mag_phase,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_142600_7_0.0001_1_window_7,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.2357142857142857,0.35,0.41428571428571426,0.4214285714285714,0.3814285714285714,6413499,7,0,1000,0,0,256,2,51,0,mag_phase_learnable_filter,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_143001_7_0.0001_1_window_7,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3214285714285714,0.43571428571428567,0.45714285714285713,0.49642857142857144,0.44607142857142856,6413499,7,0,1000,0,0,256,2,51,0,mag_phase_learnable_filter,attention
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_143400_12_0.0001_1_window_12,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.29166666666666663,0.37083333333333335,0.39166666666666666,0.4708333333333334,0.3975,6414779,12,0,1000,0,0,256,2,51,0,normal,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_143840_12_0.0001_1_window_12,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.29583333333333334,0.36666666666666664,0.39583333333333337,0.4416666666666667,0.3904166666666667,6414779,12,0,1000,0,0,256,2,51,0,mag_phase,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_144245_12_0.0001_1_window_12,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.23333333333333334,0.32083333333333336,0.37500000000000006,0.425,0.3604166666666667,6414779,12,0,1000,0,0,256,2,51,0,mag_phase_learnable_filter,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_144712_12_0.0001_1_window_12,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.17916666666666667,0.2708333333333333,0.30833333333333335,0.35833333333333334,0.29958333333333337,6414779,12,0,1000,0,0,256,2,51,0,mag_phase_learnable_filter,attention
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_145133_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.25,0.25,0.25,0.3,0.26499999999999996,6411963,1,0,1000,0,0,256,2,51,0,normal,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_145441_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.25,0.25,0.25,0.3,0.26499999999999996,6411963,1,0,1000,0,0,256,2,51,0,mag_phase,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_145754_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2,51,0,learnable_filter,gated
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_150031_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2,51,0,learnable_filter,attention
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL17_150310_7_0.0001_1_window_7,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3571428571428571,0.3928571428571429,0.40714285714285714,0.4821428571428571,0.42107142857142854,6413499,7,0,1000,0,0,256,2,51,0,learnable_filter,gated
