scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss
msdsTemporalGNN_Attention_(no mean)_normal_KL23_194453_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,128,1,0.0005,0.22772277227722773,0.8531353135313532,0.9867986798679869,1.0,0.8254125412541254,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_194624_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,128,2,0.0005,0.22772277227722773,0.6749174917491748,0.9966996699669968,1.0,0.8136963696369637,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_194811_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.7326732673267327,0.9224422442244224,0.995049504950495,1.0,0.9463696369636964,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_195028_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,256,1,0.0005,0.21782178217821782,0.22607260726072606,0.537953795379538,1.0,0.6400990099009901,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_195244_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,256,2,0.0005,0.18811881188118812,0.4174917491749175,0.9966996699669968,1.0,0.7732673267326733,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_195513_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,256,4,0.0005,0.15841584158415842,0.2755775577557756,0.9966996699669968,1.0,0.7566006600660067,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_195734_1_0.0001_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,128,1,0.0001,0.7029702970297029,0.9917491749174918,0.9917491749174918,1.0,0.9509900990099011,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_195925_1_0.0001_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,128,2,0.0001,0.7326732673267327,0.9917491749174918,0.9966996699669968,1.0,0.962871287128713,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_200133_1_0.0001_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,128,4,0.0001,0.693069306930693,0.9818481848184819,0.9966996699669968,1.0,0.9594059405940595,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_200352_1_0.0001_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.6435643564356436,0.9620462046204621,0.9917491749174918,1.0,0.9361386138613861,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_200601_1_0.0001_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.7227722772277227,0.9323432343234324,0.9966996699669968,1.0,0.9415841584158416,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_200827_1_0.0001_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,256,4,0.0001,0.6732673267326733,0.9125412541254125,0.9966996699669968,1.0,0.9311881188118812,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_201055_1_0.0005_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,128,1,0.0005,0.39603960396039606,0.9174917491749175,0.9917491749174918,1.0,0.8958745874587459,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_201251_1_0.0005_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,128,2,0.0005,0.7722772277227723,0.8580858085808581,0.9422442244224423,1.0,0.9247524752475249,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_201458_1_0.0005_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.7722772277227723,0.8085808580858086,0.9075907590759076,1.0,0.9056105610561056,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_201714_1_0.0005_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,256,1,0.0005,0.25742574257425743,0.7161716171617163,0.8597359735973596,1.0,0.7991749174917493,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_201933_1_0.0005_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,256,2,0.0005,0.44554455445544555,0.8877887788778879,0.9818481848184819,1.0,0.9033003300330034,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_202152_1_0.0005_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,256,4,0.0005,0.009900990099009901,0.7293729372937293,0.9818481848184819,1.0,0.7813531353135313,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_202417_1_0.0001_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,128,1,0.0001,0.04950495049504951,0.20462046204620463,0.6633663366336634,1.0,0.6273927392739275,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_202608_1_0.0001_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,128,2,0.0001,0.0891089108910891,0.21287128712871287,0.43729372937293726,1.0,0.5948844884488448,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_202809_1_0.0001_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,128,4,0.0001,0.039603960396039604,0.28052805280528054,0.8498349834983497,1.0,0.6765676567656765,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_203025_1_0.0001_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.009900990099009901,0.32013201320132006,0.9174917491749175,1.0,0.696039603960396,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_203234_1_0.0001_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.0,0.07425742574257425,0.4834983498349835,1.0,0.5483498349834983,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_203451_1_0.0001_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,256,4,0.0001,0.009900990099009901,0.22772277227722773,0.7887788778877888,1.0,0.6483498349834983,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_203724_1_0.0005_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,128,1,0.0005,0.7722772277227723,0.8234323432343235,0.9471947194719472,1.0,0.9222772277227722,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_203920_1_0.0005_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,128,2,0.0005,0.40594059405940597,0.7953795379537953,0.9323432343234324,1.0,0.8661716171617162,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_204120_1_0.0005_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.009900990099009901,0.21287128712871287,0.9191419141914191,1.0,0.6821782178217821,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_204335_1_0.0005_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,256,1,0.0005,0.7227722772277227,0.8531353135313532,0.9570957095709571,1.0,0.9255775577557757,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_204552_1_0.0005_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,256,2,0.0005,0.37623762376237624,0.8877887788778879,0.9966996699669968,1.0,0.8897689768976897,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_204808_1_0.0005_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,256,4,0.0005,0.0891089108910891,0.7145214521452146,0.966996699669967,1.0,0.8090759075907592,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_205042_1_0.0001_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,128,1,0.0001,0.019801980198019802,0.04785478547854785,0.3184818481848185,1.0,0.5047854785478548,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_205224_1_0.0001_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,128,2,0.0001,0.0,0.057755775577557754,0.5445544554455446,1.0,0.5653465346534654,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_205422_1_0.0001_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,128,4,0.0001,0.0,0.04785478547854785,0.2491749174917492,1.0,0.49372937293729374,537835,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_205632_1_0.0001_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.009900990099009901,0.15676567656765678,0.8943894389438943,1.0,0.6595709570957096,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_205836_1_0.0001_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.0297029702970297,0.30198019801980197,0.9174917491749175,1.0,0.699009900990099,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_210056_1_0.0001_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,256,4,0.0001,0.0,0.09405940594059406,0.6155115511551155,1.0,0.5803630363036303,1083755,1,0,1000,0,0
msdsTemporalGNN_Attention_(no mean)_normal_KL23_210337_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,128,1,0.0005,0.18811881188118812,0.22607260726072606,0.8927392739273928,1.0,0.7262376237623763,537835,1,0,1000,1,1
msdsTemporalGNN_Attention_(no mean)_normal_KL23_210528_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,128,2,0.0005,0.7722772277227723,0.9917491749174918,0.995049504950495,1.0,0.96996699669967,537835,1,0,1000,1,1
msdsTemporalGNN_Attention_(no mean)_normal_KL23_210733_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.22772277227722773,0.22607260726072606,0.6996699669966997,1.0,0.6646864686468648,537835,1,0,1000,1,1
msdsTemporalGNN_Attention_(no mean)_normal_KL23_210950_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,256,1,0.0005,0.22772277227722773,0.2755775577557756,0.9867986798679869,1.0,0.764026402640264,1083755,1,0,1000,1,1
msdsTemporalGNN_Attention_(no mean)_normal_KL23_211149_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,256,2,0.0005,0.21782178217821782,0.6452145214521451,0.9966996699669968,1.0,0.8057755775577558,1083755,1,0,1000,1,1
msdsTemporalGNN_Attention_(no mean)_normal_KL23_211402_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,256,4,0.0005,0.16831683168316833,0.26567656765676567,0.9917491749174918,1.0,0.7491749174917492,1083755,1,0,1000,1,1
msdsTemporalGNN_Attention_(no mean)_normal_KL23_211627_1_0.0001_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,128,1,0.0001,0.693069306930693,0.9917491749174918,0.9917491749174918,1.0,0.9519801980198019,537835,1,0,1000,1,1
