Variable,SummaryCausalGraph,Attention,MLP
0,-0.24020894,0.0,0.0
1,-0.24249849,0.0,0.0
2,0.16102155,0.0,0.0
3,-1.6157,0.0,0.0
4,1.9806746,0.0,0.0
5,-0.16075167,0.0,0.0
6,0.12091624,0.0,0.0
7,1.3085576,0.0,0.0
8,-0.53853375,0.0,0.0
9,-0.7437205,0.0,0.0
10,-0.5692252,0.0,0.0
11,0.87911993,0.0,0.0
12,-0.25966483,0.0,0.0
13,0.7869644,0.0,0.0
14,0.11519734,0.0,0.0
15,0.54839325,0.0,0.0
16,0.61597043,0.0,0.0
17,-0.8206391,0.0,0.0
18,-0.5444418,0.0,0.0
19,0.13873366,0.0,0.0
20,0.2953179,0.0,0.0
21,-0.17494199,0.0,0.0
22,-0.23854588,0.0,0.0
23,0.1542009,0.0,0.0
24,0.7113929,0.0,0.0
25,-0.22729443,0.0,0.0
26,-2.441417,0.0,0.0
27,-0.8449416,0.0,0.0
28,2.8412077,0.0,0.0
29,-1.964961,0.0,0.0
30,-1.0926899,0.0,0.0
31,-1.8911704,0.0,0.0
32,-0.117215954,0.0,0.0
33,-1.8947141,0.0,0.0
34,-0.74334484,0.0,0.0
35,-1.1265756,0.0,0.0
36,0.29140422,0.0,0.0
37,-0.74404097,0.0,0.0
38,0.38149205,0.0,0.0
39,-0.24628915,0.0,0.0
40,0.7160729,0.0,0.0
41,0.49234083,0.0,0.0
42,1.2831912,0.0,0.0
43,-0.15438023,0.0,0.0
44,0.43640637,0.0,0.0
45,2.2118316,0.0,0.0
46,-0.16374652,0.0,0.0
47,-0.7709796,0.0,0.0
48,1.8784473,0.0,0.0
49,-0.12844725,0.0,0.0
50,-0.88098717,0.0,0.0
