scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
msdsTemporalGNN_Attention_(no mean)_normal_KL03_090128_1_0.0001_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,128,1,0.0001,0.5643564356435643,0.9917491749174918,0.9966996699669968,1.0,0.9495049504950496,666835,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_090339_1_0.0001_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,128,2,0.0001,0.7425742574257426,0.9818481848184819,0.9966996699669968,1.0,0.9633663366336634,666835,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_090545_1_0.0001_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,128,4,0.0001,0.7524752475247525,0.9917491749174918,0.9917491749174918,1.0,0.9701320132013201,666835,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_090807_1_0.0001_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.7326732673267327,0.773927392739274,0.976897689768977,1.0,0.9138613861386139,1340755,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_091023_1_0.0001_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.1188118811881188,0.9224422442244224,0.9966996699669968,1.0,0.8772277227722773,1340755,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_091254_1_0.0001_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,256,4,0.0001,0.7524752475247525,0.9818481848184819,0.9917491749174918,1.0,0.9663366336633663,1340755,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_091536_1_0.0001_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,128,1,0.0001,0.009900990099009901,0.2524752475247525,0.877887788778878,1.0,0.6745874587458746,666835,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_091746_1_0.0001_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,128,2,0.0001,0.07920792079207921,0.47194719471947194,0.9323432343234324,1.0,0.7377887788778879,666835,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_092000_1_0.0001_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,128,4,0.0001,0.13861386138613863,0.6815181518151816,0.976897689768977,1.0,0.8028052805280528,666835,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_092228_1_0.0001_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.0,0.07425742574257425,0.542904290429043,1.0,0.5752475247524753,1340755,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_092452_1_0.0001_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.009900990099009901,0.2623762376237624,0.834983498349835,1.0,0.6693069306930692,1340755,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_092725_1_0.0001_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,256,4,0.0001,0.039603960396039604,0.2854785478547855,0.6996699669966996,1.0,0.6466996699669967,1340755,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_093006_1_0.0001_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,128,1,0.0001,0.0297029702970297,0.20297029702970298,0.23102310231023102,1.0,0.45973597359735974,666835,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_093210_1_0.0001_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,128,2,0.0001,0.0297029702970297,0.17656765676567657,0.570957095709571,1.0,0.5788778877887789,666835,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_093427_1_0.0001_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,128,4,0.0001,0.45544554455445546,0.8135313531353136,0.9026402640264027,1.0,0.8691419141914192,666835,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_093657_1_0.0001_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.039603960396039604,0.19306930693069307,0.2755775577557756,1.0,0.5051155115511551,1340755,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_093908_1_0.0001_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.06930693069306931,0.6699669966996699,0.8877887788778879,1.0,0.7749174917491749,1340755,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_094143_1_0.0001_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,256,4,0.0001,0.019801980198019802,0.46204620462046203,0.8630363036303631,1.0,0.7166666666666666,1340755,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_120814_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.7821782178217822,0.9917491749174918,0.995049504950495,1.0,0.9696369636963696,666835,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_121055_1_0.0005_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.44554455445544555,0.9686468646864685,0.9917491749174918,1.0,0.9186468646864686,666835,1,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_121327_1_0.0005_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.7722772277227723,0.8085808580858086,0.9422442244224423,1.0,0.9133663366336634,666835,1,0,1000,0,0,256,4
