scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
swatTemporalGNN_Attention_(no mean)_normal_KL03_062948_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention,128,1,0.0001,0.25,0.3,0.3,0.3,0.29499999999999993,3182267,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_063613_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention,128,2,0.0001,0.25,0.3,0.3,0.3,0.29499999999999993,3182267,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_064409_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention,128,4,0.0001,0.25,0.3,0.35,0.4,0.32999999999999996,3182267,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_065228_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.25,0.3,0.35,0.5,0.355,6411963,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_070028_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.2,0.4,0.45,0.6,0.44000000000000006,6411963,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_070921_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention,256,4,0.0001,0.3,0.35,0.35,0.35,0.34500000000000003,6411963,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_071932_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention,128,1,0.0001,0.25,0.3,0.3,0.3,0.29499999999999993,3182267,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_072559_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention,128,2,0.0001,0.25,0.3,0.3,0.3,0.29499999999999993,3182267,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_073324_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention,128,4,0.0001,0.25,0.25,0.25,0.25,0.25,3182267,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_074207_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.25,0.35,0.35,0.35,0.33999999999999997,6411963,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_075012_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.25,0.3,0.3,0.35,0.305,6411963,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_075916_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention,256,4,0.0001,0.2,0.3,0.35,0.4,0.345,6411963,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_080910_1_0.0001_3_window_1,swat,3,normal_KL,TemporalGNN_Attention,128,1,0.0001,0.15,0.25,0.3,0.35,0.28500000000000003,3182267,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_081609_1_0.0001_3_window_1,swat,3,normal_KL,TemporalGNN_Attention,128,2,0.0001,0.05,0.1,0.2,0.4,0.225,3182267,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_082341_1_0.0001_3_window_1,swat,3,normal_KL,TemporalGNN_Attention,128,4,0.0001,0.05,0.15,0.25,0.25,0.205,3182267,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_083231_1_0.0001_3_window_1,swat,3,normal_KL,TemporalGNN_Attention,256,1,0.0001,0.1,0.25,0.3,0.4,0.3,6411963,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_084059_1_0.0001_3_window_1,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.15,0.25,0.3,0.4,0.295,6411963,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_085032_1_0.0001_3_window_1,swat,3,normal_KL,TemporalGNN_Attention,256,4,0.0001,0.0,0.2,0.2,0.3,0.2,6411963,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_114022_1_0.0005_1_window_1,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0005,0.1,0.2,0.2,0.325,0.22999999999999998,6411963,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_114909_1_0.0005_2_window_1,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0005,0.1,0.25,0.25,0.3,0.24999999999999994,6411963,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_115845_1_0.0005_3_window_1,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0005,0.1,0.1,0.25,0.4,0.23499999999999996,6411963,1,0,100,0,0,256,4
