scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
msdsTemporalGNN_Attention_(no mean)_normal_KL03_151338_2_0.0005_1_window_2,msds,1,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.6825396825396826,1.0,1.0,1.0,0.9396825396825397,667091,2,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_151657_2_0.0005_2_window_2,msds,2,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.2777777777777778,0.8809523809523809,1.0,1.0,0.86984126984127,667091,2,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_152018_2_0.0005_3_window_2,msds,3,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.03968253968253968,0.31746031746031744,0.753968253968254,1.0,0.6738095238095239,667091,2,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_152345_3_0.0005_1_window_3,msds,1,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.599290780141844,0.9042553191489362,1.0,1.0,0.9219858156028369,667347,3,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_152800_3_0.0005_2_window_3,msds,2,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.2730496453900709,0.8829787234042553,1.0,1.0,0.871631205673759,667347,3,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_153216_3_0.0005_3_window_3,msds,3,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.07446808510638298,0.6418439716312057,0.9893617021276596,1.0,0.7843971631205674,667347,3,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_153638_4_0.0005_1_window_4,msds,1,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.5,0.9285714285714286,1.0,1.0,0.9271428571428573,667603,4,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_154152_4_0.0005_2_window_4,msds,2,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.4857142857142857,0.4857142857142857,0.6714285714285714,1.0,0.7257142857142858,667603,4,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_154706_4_0.0005_3_window_4,msds,3,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.0,0.2571428571428571,0.8571428571428571,1.0,0.6685714285714285,667603,4,0,1000,0,0,256,4
msdsTemporalGNN_Attention_(no mean)_normal_KL03_155207_5_0.0005_1_window_5,msds,1,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.48333333333333334,0.48333333333333334,0.55,1.0,0.705,667859,5,0,1000,0,0,256,4
