scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
swatTemporalGNN_Attention_(no mean)_normal_KL10_135058_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.25,0.39499999999999996,0.44499999999999995,0.495,0.4255,6414267,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL10_135515_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.305,0.45,0.485,0.51,0.46699999999999997,6414267,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL10_135949_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.23500000000000001,0.37000000000000005,0.4149999999999999,0.465,0.395,6414267,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_142023_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.27,0.43000000000000005,0.485,0.565,0.47050000000000003,6414267,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_142419_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.205,0.35500000000000004,0.41,0.505,0.40499999999999997,6414267,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_142821_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.275,0.355,0.4349999999999999,0.545,0.433,6414267,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_143258_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.37,0.43,0.45,0.465,0.43850000000000006,8539876,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_143804_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.31,0.38499999999999995,0.4875,0.58,0.47424999999999995,8539876,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_144322_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.33499999999999996,0.4,0.43500000000000005,0.555,0.4495,8539876,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL10_144920_10_0.0001_4_window_10,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.195,0.24,0.315,0.41,0.315,6414267,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL10_145338_10_0.0001_5_window_10,swat,5,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.29,0.365,0.42750000000000005,0.45999999999999996,0.40725,6414267,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL10_145735_10_0.0001_6_window_10,swat,6,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.225,0.31999999999999995,0.36500000000000005,0.38999999999999996,0.343,6414267,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_150202_10_0.0001_4_window_10,swat,4,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.15999999999999998,0.24,0.32999999999999996,0.38999999999999996,0.311,6414267,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_150618_10_0.0001_5_window_10,swat,5,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.25999999999999995,0.32,0.375,0.48500000000000004,0.379,6414267,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_151022_10_0.0001_6_window_10,swat,6,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.215,0.27999999999999997,0.38,0.41500000000000004,0.348,6414267,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_151454_10_0.0001_4_window_10,swat,4,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.29999999999999993,0.39,0.4200000000000001,0.465,0.40800000000000003,8539876,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_151938_10_0.0001_5_window_10,swat,5,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.22000000000000003,0.32999999999999996,0.39,0.44750000000000006,0.37125,8539876,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_152419_10_0.0001_6_window_10,swat,6,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.26,0.32,0.35500000000000004,0.39,0.34750000000000003,8539876,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL10_154442_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.26499999999999996,0.39,0.44000000000000006,0.48,0.4215,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL10_154853_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.195,0.34,0.37,0.43999999999999995,0.3615,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL10_155311_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.185,0.33,0.35500000000000004,0.41500000000000004,0.34525,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL10_155655_10_0.0001_4_window_10,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.13999999999999999,0.23500000000000001,0.27,0.4,0.298,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL10_160122_10_0.0001_5_window_10,swat,5,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.24999999999999994,0.31999999999999995,0.38,0.45000000000000007,0.378,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL10_160528_10_0.0001_6_window_10,swat,6,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.22000000000000003,0.3,0.33999999999999997,0.44000000000000006,0.3485,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_160950_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.225,0.385,0.425,0.465,0.4035,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_161358_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.17500000000000002,0.305,0.365,0.43,0.34600000000000003,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_161759_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.26,0.32500000000000007,0.375,0.425,0.366,6414267,10,0,1000,0,0,256,2
