scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
swatTemporalGNN_Attention_(no mean)_normal_KL13_060938_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.3,0.4,0.4,0.5,0.41500000000000004,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_061209_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.25,0.3,0.3,0.35,0.30500000000000005,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_061458_1_0.0001_3_window_1,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.2,0.25,0.3,0.325,0.29000000000000004,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_061746_1_0.0001_4_window_1,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.15,0.25,0.35,0.425,0.315,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_062037_1_0.0001_5_window_1,swat,5,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.15,0.275,0.325,0.375,0.3,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_062343_1_0.0001_6_window_1,swat,6,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.3,0.3,0.35,0.35,0.335,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_062619_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.4,0.4,0.5,0.41500000000000004,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_062850_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.25,0.3,0.3,0.35,0.30500000000000005,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_063141_1_0.0001_3_window_1,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.2,0.25,0.3,0.325,0.29000000000000004,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_063435_1_0.0001_4_window_1,swat,4,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.15,0.25,0.35,0.425,0.315,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_063729_1_0.0001_5_window_1,swat,5,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.15,0.275,0.325,0.375,0.3,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_064039_1_0.0001_6_window_1,swat,6,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.335,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_064314_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.3,0.3,0.3,0.45,0.36000000000000004,8536292,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_064625_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.25,0.25,0.25,0.25,0.25,8536292,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_064922_1_0.0001_3_window_1,swat,3,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.15,0.25,0.25,0.35,0.28,8536292,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_065246_1_0.0001_4_window_1,swat,4,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.2,0.25,0.3,0.425,0.3324999999999999,8536292,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_065605_1_0.0001_5_window_1,swat,5,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.1,0.3,0.35,0.525,0.3475,8536292,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_065922_1_0.0001_6_window_1,swat,6,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.3,0.3,0.3,0.3,0.29999999999999993,8536292,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_070216_3_0.0001_1_window_3,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.26666666666666666,0.3833333333333333,0.4833333333333333,0.5333333333333334,0.45,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_070523_3_0.0001_2_window_3,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.24999999999999994,0.31666666666666665,0.4166666666666667,0.45,0.3916666666666667,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_070905_3_0.0001_3_window_3,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.13333333333333333,0.2583333333333333,0.3083333333333333,0.325,0.2833333333333333,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_071242_3_0.0001_4_window_3,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.18333333333333332,0.31666666666666665,0.36666666666666664,0.38333333333333336,0.3366666666666666,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_071617_3_0.0001_5_window_3,swat,5,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.25,0.325,0.325,0.4083333333333333,0.3375,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_071940_3_0.0001_6_window_3,swat,6,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.3333333333333333,0.35,0.38333333333333336,0.38333333333333336,0.3716666666666667,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_072314_3_0.0001_1_window_3,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.2833333333333333,0.36666666666666664,0.38333333333333336,0.5166666666666666,0.41,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_072654_3_0.0001_2_window_3,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.24999999999999994,0.3333333333333333,0.35,0.36666666666666664,0.3333333333333333,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_073022_3_0.0001_3_window_3,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.21666666666666665,0.36666666666666664,0.3916666666666667,0.4083333333333333,0.3708333333333333,6412475,3,0,1000,0,0,256,2
