scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
swatTemporalGNN_Attention_(no mean)_normal_KL13_160951_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_161232_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.25,0.25,0.25,0.3,0.26499999999999996,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_161531_1_0.0001_3_window_1,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.2,0.25,0.25,0.325,0.2800000000000001,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_161847_1_0.0001_4_window_1,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.15,0.25,0.4,0.425,0.34249999999999997,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_162208_1_0.0001_5_window_1,swat,5,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.2,0.3,0.375,0.475,0.345,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_162504_1_0.0001_6_window_1,swat,6,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.3,0.3,0.3,0.35,0.325,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_162755_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_163036_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.25,0.25,0.25,0.3,0.26499999999999996,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_163341_1_0.0001_3_window_1,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.2,0.25,0.25,0.325,0.2800000000000001,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_163657_1_0.0001_4_window_1,swat,4,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.15,0.25,0.4,0.425,0.34249999999999997,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_164013_1_0.0001_5_window_1,swat,5,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.2,0.3,0.375,0.475,0.345,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_164312_1_0.0001_6_window_1,swat,6,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.3,0.3,0.35,0.325,6411963,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_164607_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.3,0.3,0.3,0.4,0.32,8536292,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_164930_1_0.0001_2_window_1,swat,2,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.25,0.25,0.25,0.35,0.28,8536292,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_165258_1_0.0001_3_window_1,swat,3,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.2,0.35,0.35,0.375,0.3375,8536292,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_165630_1_0.0001_4_window_1,swat,4,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.2,0.2,0.2,0.35,0.25,8536292,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_170013_1_0.0001_5_window_1,swat,5,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.1,0.25,0.35,0.425,0.32249999999999995,8536292,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_170349_1_0.0001_6_window_1,swat,6,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.3,0.3,0.35,0.35,0.32999999999999996,8536292,1,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_170656_3_0.0001_1_window_3,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.3,0.4499999999999999,0.4666666666666666,0.5333333333333333,0.45999999999999996,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_171049_3_0.0001_2_window_3,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.2833333333333333,0.41666666666666663,0.45,0.4833333333333333,0.43500000000000005,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_171358_3_0.0001_3_window_3,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.13333333333333333,0.24166666666666664,0.32499999999999996,0.35833333333333334,0.29833333333333334,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_171728_3_0.0001_4_window_3,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.15,0.24999999999999994,0.38333333333333336,0.38333333333333336,0.32166666666666666,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_172110_3_0.0001_5_window_3,swat,5,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.19999999999999998,0.3,0.35,0.4083333333333333,0.345,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_172446_3_0.0001_6_window_3,swat,6,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.2833333333333333,0.3333333333333333,0.3333333333333333,0.38333333333333336,0.3416666666666667,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_172824_3_0.0001_1_window_3,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.3,0.36666666666666664,0.36666666666666664,0.4833333333333333,0.38999999999999996,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_173206_3_0.0001_2_window_3,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.2333333333333333,0.2833333333333333,0.33333333333333337,0.3833333333333333,0.32999999999999996,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_173529_3_0.0001_3_window_3,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.15,0.26666666666666666,0.325,0.425,0.3158333333333333,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_173907_3_0.0001_4_window_3,swat,4,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.24999999999999994,0.33333333333333337,0.38333333333333336,0.4,0.36,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_174237_3_0.0001_5_window_3,swat,5,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.21666666666666665,0.30833333333333335,0.35833333333333334,0.375,0.33166666666666667,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_174637_3_0.0001_6_window_3,swat,6,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.29999999999999993,0.38333333333333336,0.38333333333333336,0.38333333333333336,0.375,6412475,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_175017_3_0.0001_1_window_3,swat,1,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.3,0.35,0.36666666666666664,0.4833333333333333,0.385,8537060,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_175442_3_0.0001_2_window_3,swat,2,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.25,0.26666666666666666,0.31666666666666665,0.35,0.3083333333333333,8537060,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_175908_3_0.0001_3_window_3,swat,3,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.16666666666666666,0.21666666666666665,0.25,0.29166666666666663,0.2458333333333333,8537060,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_180259_3_0.0001_4_window_3,swat,4,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.13333333333333333,0.3333333333333333,0.39166666666666666,0.41666666666666663,0.35583333333333333,8537060,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_180709_3_0.0001_5_window_3,swat,5,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.09999999999999999,0.16666666666666666,0.25833333333333336,0.4083333333333334,0.26,8537060,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_181109_3_0.0001_6_window_3,swat,6,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.26666666666666666,0.31666666666666665,0.31666666666666665,0.36666666666666664,0.32333333333333336,8537060,3,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_181515_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.27999999999999997,0.37,0.4149999999999999,0.5149999999999999,0.4214999999999999,6412987,5,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_181908_5_0.0001_2_window_5,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.21000000000000002,0.35000000000000003,0.36,0.4,0.359,6412987,5,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_182301_5_0.0001_3_window_5,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.22999999999999998,0.355,0.385,0.515,0.397,6412987,5,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_182659_5_0.0001_4_window_5,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.15,0.32,0.34,0.39,0.33399999999999996,6412987,5,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_183057_5_0.0001_5_window_5,swat,5,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.18000000000000002,0.325,0.38,0.43499999999999994,0.35950000000000004,6412987,5,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL13_183444_5_0.0001_6_window_5,swat,6,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.22000000000000003,0.33,0.35,0.37,0.335,6412987,5,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_183835_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.26,0.38,0.38,0.41999999999999993,0.37899999999999995,6412987,5,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_184236_5_0.0001_2_window_5,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.26999999999999996,0.33999999999999997,0.41,0.45999999999999996,0.394,6412987,5,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_184618_5_0.0001_3_window_5,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.28,0.335,0.35500000000000004,0.44499999999999995,0.3645,6412987,5,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_185011_5_0.0001_4_window_5,swat,4,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.21000000000000002,0.29999999999999993,0.36,0.4,0.345,6412987,5,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_185348_5_0.0001_5_window_5,swat,5,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.22000000000000003,0.31500000000000006,0.335,0.375,0.3275,6412987,5,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL13_185747_5_0.0001_6_window_5,swat,6,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.29,0.32,0.32,0.38,0.33399999999999996,6412987,5,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_190132_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.32999999999999996,0.36,0.365,0.45499999999999996,0.39299999999999996,8537828,5,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_190550_5_0.0001_2_window_5,swat,2,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.32,0.33999999999999997,0.36,0.36,0.352,8537828,5,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL13_191021_5_0.0001_3_window_5,swat,3,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.35,0.36,0.425,0.45499999999999996,0.4124999999999999,8537828,5,0,1000,0,0,256,2
