scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
swatTemporalGNN_Attention_(no mean)_normal_KL05_105638_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.26,0.32999999999999996,0.35,0.36,0.33299999999999996,8024805,5,0,100,0,0,256,4, 
swatTemporalGNN_Attention_(no mean)_normal_KL05_110220_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.13,0.16999999999999998,0.27999999999999997,0.35,0.26399999999999996,6412987,5,0,100,0,0,256,4, (only time)
swatTemporalGNN_Attention_(no mean)_normal_KL05_110555_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.37,0.41,0.41999999999999993,0.41999999999999993,0.4119999999999999,8024805,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_111101_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.36,0.4,0.42000000000000004,0.5,0.434,8024805,5,0,5000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_112454_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.33,0.3825,0.4050000000000001,0.44750000000000006,0.40774999999999995,8026853,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_113115_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.32,0.4025,0.41500000000000004,0.48,0.41900000000000004,8026853,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL05_141857_5_0.0001_2_window_5,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.22000000000000003,0.33,0.37,0.38,0.346,6412987,5,0,1000,0,0,256,4, (only time)
swatTemporalGNN_Attention_(no mean)_normal_KL05_142250_5_0.0001_3_window_5,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.26,0.30500000000000005,0.315,0.41500000000000004,0.3425000000000001,6412987,5,0,1000,0,0,256,4, (only time)
swatTemporalGNN_Attention_(no mean)_normal_KL05_142628_5_0.0001_4_window_5,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.16,0.31,0.36,0.4,0.33599999999999997,6412987,5,0,1000,0,0,256,4, (only time)
swatTemporalGNN_Attention_(no mean)_normal_KL05_143004_5_0.0001_5_window_5,swat,5,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.21000000000000002,0.31999999999999995,0.38499999999999995,0.465,0.37249999999999994,6412987,5,0,1000,0,0,256,4, (only time)
swatTemporalGNN_Attention_(no mean)_normal_KL05_143938_5_0.0001_2_window_5,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.27,0.33999999999999997,0.36,0.4,0.355,8024805,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_144352_5_0.0001_3_window_5,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.25000000000000006,0.32,0.36,0.43,0.36,8024805,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_144741_5_0.0001_4_window_5,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.21000000000000002,0.32,0.36,0.5,0.371,8024805,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_145143_5_0.0001_5_window_5,swat,5,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.15,0.29,0.37,0.4149999999999999,0.33799999999999997,8024805,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_145608_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.32999999999999996,0.39,0.41,0.43,0.404,8024805,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_150231_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.38,0.41999999999999993,0.41999999999999993,0.4299999999999999,0.41799999999999987,8024805,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_150829_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,512,2,0.0001,0.3,0.37,0.38,0.4,0.376,19596005,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_152828_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.37,0.4,0.43,0.43,0.417,8024805,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_153429_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.38,0.41,0.41999999999999993,0.43999999999999995,0.418,8024805,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_154642_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.39,0.41999999999999993,0.41999999999999993,0.43999999999999995,0.42299999999999993,8024805,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_155120_5_0.0001_2_window_5,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.27999999999999997,0.32,0.33999999999999997,0.4,0.352,8024805,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_155552_5_0.0001_3_window_5,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.22000000000000003,0.28,0.32499999999999996,0.43,0.3335,8024805,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_155946_5_0.0001_4_window_5,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.25,0.33999999999999997,0.35,0.48999999999999994,0.37,8024805,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_160330_5_0.0001_5_window_5,swat,5,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.25,0.25,0.3,0.375,0.2995,8024805,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_193324_5_0.0001_2_window_5,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.26999999999999996,0.31,0.32999999999999996,0.37,0.333,8024805,5,0,1000,0,0,256,1
swatTemporalGNN_Attention_(no mean)_normal_KL05_193751_5_0.0001_3_window_5,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.22000000000000003,0.28,0.30500000000000005,0.39499999999999996,0.312,8024805,5,0,1000,0,0,256,1
swatTemporalGNN_Attention_(no mean)_normal_KL05_194409_5_0.0001_2_window_5,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.29000000000000004,0.33999999999999997,0.41999999999999993,0.48,0.39699999999999996,8537828,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_194812_5_0.0001_3_window_5,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.31,0.36,0.375,0.43500000000000005,0.38049999999999995,8537828,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_195214_5_0.0001_4_window_5,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.29,0.37,0.39,0.4149999999999999,0.384,8537828,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_195650_5_0.0001_5_window_5,swat,5,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.35,0.375,0.375,0.395,0.3805,8537828,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_200117_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.32,0.36,0.4,0.45,0.397,8537828,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_200640_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.325,0.3975,0.425,0.45999999999999996,0.42000000000000004,8539876,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_201145_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.29,0.35500000000000004,0.38,0.425,0.372,8539876,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_201632_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.27999999999999997,0.38499999999999995,0.45000000000000007,0.5675,0.45899999999999996,8539876,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_202135_10_0.0001_4_window_10,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.355,0.40499999999999997,0.43500000000000005,0.45999999999999996,0.4255,8539876,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_202608_10_0.0001_5_window_10,swat,5,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.29500000000000004,0.38499999999999995,0.40499999999999997,0.48500000000000004,0.414,8539876,10,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_203236_15_0.0001_1_window_15,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.3066666666666667,0.3983333333333334,0.4183333333333333,0.43,0.4021666666666667,8541668,15,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_203804_15_0.0001_2_window_15,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.2966666666666667,0.3466666666666666,0.4133333333333333,0.5033333333333333,0.40800000000000003,8541668,15,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_204328_15_0.0001_3_window_15,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.30666666666666664,0.37333333333333335,0.3883333333333333,0.4616666666666666,0.39316666666666666,8541668,15,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL05_204901_15_0.0001_4_window_15,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.19,0.31333333333333335,0.35,0.44333333333333336,0.3506666666666667,8541668,15,0,1000,0,0,256,4
