scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
swatTemporalGNN_Attention_(no mean)_normal_KL10_111541_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.25,0.35,0.35,0.45,0.35,6411963,1,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL10_112518_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.15,0.3,0.3,0.3,0.27999999999999997,6411963,1,0,100,0,0,256,4, with log loss
swatTemporalGNN_Attention_(no mean)_normal_KL10_113736_1_0.0001_1_window_1,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.15,0.25,0.3,0.35,0.29000000000000004,8536292,1,0,100,0,0,256,4, cross attn
swatTemporalGNN_Attention_(no mean)_normal_KL10_115311_2_0.0001_1_window_2,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.25,0.375,0.375,0.45,0.38750000000000007,6412219,2,0,100,0,0,256,4, normal window_size 2
swatTemporalGNN_Attention_(no mean)_normal_KL10_120922_2_0.0001_1_window_2,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.225,0.325,0.35,0.4,0.3525,8536804,2,0,100,0,0,256,4, cross attn window_size 2
with batches 
swatTemporalGNN_Attention_(no mean)_normal_KL10_123434_2_0.0001_1_window_2,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.225,0.375,0.425,0.5,0.4125,6412219,2,0,100,0,0,256,4, normal
swatTemporalGNN_Attention_(no mean)_normal_KL10_123737_2_0.0001_1_window_2,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.25,0.275,0.3,0.35,0.30000000000000004,8536804,2,0,100,0,0,256,4, cross attn 
swatTemporalGNN_Attention_(no mean)_normal_KL10_124124_2_0.0001_1_window_2,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.225,0.275,0.3,0.3,0.285,8023781,2,0,100,0,0,256,4, fourier 

with batches 1000 epoch
swatTemporalGNN_Attention_(no mean)_normal_KL10_124447_2_0.0001_1_window_2,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.275,0.325,0.35,0.5,0.3775,6412219,2,0,1000,0,0,256,4, normal
swatTemporalGNN_Attention_(no mean)_normal_KL10_124845_2_0.0001_1_window_2,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.25,0.325,0.35,0.375,0.33499999999999996,8536804,2,0,1000,0,0,256,4


with batches 1000 epoch window 5swatTemporalGNN_Attention_(no mean)_normal_KL10_125332_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.25999999999999995,0.37,0.41,0.49499999999999994,0.417,6412987,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL10_125850_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.3,0.35,0.38,0.4749999999999999,0.4029999999999999,8537828,5,0,1000,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL10_130454_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.31,0.36,0.37,0.39499999999999996,0.366,8537828,5,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL10_131058_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.32499999999999996,0.38,0.425,0.4925,0.42275,8539876,10,0,1000,0,0,256,2, corss attn
swatTemporalGNN_Attention_(no mean)_normal_KL10_131628_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.21000000000000002,0.32,0.36500000000000005,0.385,0.344,6414267,10,0,1000,0,0,256,2, normal
swatTemporalGNN_Attention_(no mean)_normal_KL10_132249_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.31499999999999995,0.3825,0.42000000000000004,0.47000000000000003,0.4165,8539876,10,0,1000,0,0,256,4, corss attn
swatTemporalGNN_Attention_(no mean)_normal_KL10_132901_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.335,0.43500000000000005,0.44749999999999995,0.53,0.45450000000000007,8026853,10,0,1000,0,0,256,4,Fourier
swatTemporalGNN_Attention_(no mean)_normal_KL10_133514_15_0.0001_1_window_15,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.29333333333333333,0.36,0.38,0.44666666666666666,0.3835,8028645,15,0,1000,0,0,256,4, cross attn
swatTemporalGNN_Attention_(no mean)_normal_KL10_134139_15_0.0001_1_window_15,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.24,0.36,0.39999999999999997,0.48,0.40199999999999997,6415547,15,0,1000,0,0,256,4,fourier
