scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
lorenz96deep_mlp_(no mean)_normal_KL14_180707_1_0.0005_1_window_1,lorenz96,1,normal_KL,deep_mlp,32,2,0.0005,0.7,0.7266666666666667,0.7329999999999997,0.7651071428571429,0.7379194444444444,397800,1,0,100,0,0,32,2
lorenz96deep_mlp_(no mean)_normal_KL14_181956_1_0.0005_1_window_1,lorenz96,1,normal_KL,deep_mlp,32,2,0.0005,0.7,0.7266666666666667,0.7329999999999997,0.7651071428571429,0.7379194444444444,397800,1,0,100,0,0,32,2
lorenz96deep_mlp_(no mean)_normal_KL14_182050_5_0.0005_1_window_5,lorenz96,1,normal_KL,deep_mlp,32,2,0.0005,0.52,0.5566666666666666,0.5421666666666667,0.5829166666666667,0.551109126984127,1989000,5,0,100,0,0,32,2
lorenz96deep_mlp_(no mean)_normal_KL14_182354_1_0.0001_1_window_1,lorenz96,1,normal_KL,deep_mlp,32,2,0.0001,0.64,0.5733333333333335,0.542,0.5675714285714286,0.5711313492063492,397800,1,0,100,0,0,32,2
lorenz96deep_mlp_(no mean)_normal_KL14_182446_1_0.0001_2_window_1,lorenz96,2,normal_KL,deep_mlp,32,2,0.0001,0.54,0.5366666666666664,0.4948333333333332,0.5156309523809525,0.5195186507936508,397800,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_(no mean)_normal_KL14_182538_1_0.0001_1_window_1,lorenz96,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.68,0.6933333333333335,0.7426666666666664,0.764011904761905,0.7344563492063492,425065,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_(no mean)_normal_KL14_182646_1_0.0001_2_window_1,lorenz96,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.65,0.7366666666666668,0.728,0.7602619047619048,0.7235876984126983,425065,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_fourier_(no mean)_normal_KL14_182756_1_0.0001_1_window_1,lorenz96,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.68,0.6933333333333335,0.7426666666666664,0.764011904761905,0.7344563492063492,425065,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_fourier_(no mean)_normal_KL14_182903_1_0.0001_2_window_1,lorenz96,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.65,0.7366666666666668,0.728,0.7602619047619048,0.7235876984126983,425065,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_crossattn_(no mean)_normal_KL14_183012_1_0.0001_1_window_1,lorenz96,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.71,0.7099999999999997,0.714,0.7684404761904762,0.7284472222222222,600301,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_crossattn_(no mean)_normal_KL14_183138_1_0.0001_2_window_1,lorenz96,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.67,0.7383333333333334,0.7306666666666664,0.765345238095238,0.7313674603174602,600301,1,0,100,0,0,32,2
lorenz96deep_mlp_(no mean)_normal_KL14_183303_5_0.0001_1_window_5,lorenz96,1,normal_KL,deep_mlp,32,2,0.0001,0.42,0.39,0.3586666666666667,0.4040000000000001,0.3874194444444445,1989000,5,0,100,0,0,32,2
lorenz96deep_mlp_(no mean)_normal_KL14_183445_5_0.0001_2_window_5,lorenz96,2,normal_KL,deep_mlp,32,2,0.0001,0.39,0.35333333333333333,0.37099999999999994,0.3997380952380951,0.3786833333333333,1989000,5,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_(no mean)_normal_KL14_183627_5_0.0001_1_window_5,lorenz96,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.53,0.5399999999999999,0.5191666666666667,0.5386666666666665,0.5330924603174604,425193,5,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_(no mean)_normal_KL14_183851_5_0.0001_2_window_5,lorenz96,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.49,0.52,0.5331666666666663,0.5289761904761903,0.5244821428571428,425193,5,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_fourier_(no mean)_normal_KL14_184116_5_0.0001_1_window_5,lorenz96,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.53,0.5366666666666666,0.5241666666666667,0.5356666666666666,0.5341654761904763,425193,5,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_fourier_(no mean)_normal_KL14_184341_5_0.0001_2_window_5,lorenz96,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.49,0.5266666666666667,0.5331666666666662,0.5289761904761902,0.5254448412698413,425193,5,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_crossattn_(no mean)_normal_KL14_184608_5_0.0001_1_window_5,lorenz96,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.71,0.6749999999999998,0.664833333333333,0.7234166666666666,0.6917924603174601,600493,5,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_crossattn_(no mean)_normal_KL14_184924_5_0.0001_2_window_5,lorenz96,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.72,0.7000000000000002,0.7009999999999998,0.699488095238095,0.6991599206349206,600493,5,0,100,0,0,32,2
lorenz96deep_mlp_(no mean)_normal_KL14_185239_7_0.0001_1_window_7,lorenz96,1,normal_KL,deep_mlp,32,2,0.0001,0.4,0.3816666666666666,0.38349999999999995,0.39689285714285716,0.38465912698412696,2784600,7,0,100,0,0,32,2
lorenz96deep_mlp_(no mean)_normal_KL14_185448_7_0.0001_2_window_7,lorenz96,2,normal_KL,deep_mlp,32,2,0.0001,0.34,0.3566666666666667,0.33949999999999997,0.38396428571428565,0.3549051587301587,2784600,7,0,100,0,0,32,2




more training data 
lorenz96deep_mlp_(no mean)_normal_KL14_192440_1_0.0001_1_window_1,lorenz96,1,normal_KL,deep_mlp,32,2,0.0001,0.73,0.7249999999999999,0.7076666666666661,0.7526746031746032,0.7259432539682539,397800,1,0,100,0,0,32,2
lorenz96deep_mlp_(no mean)_normal_KL14_192628_1_0.0001_2_window_1,lorenz96,2,normal_KL,deep_mlp,32,2,0.0001,0.72,0.7033333333333328,0.7183333333333327,0.7431150793650794,0.7213904761904761,397800,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_(no mean)_normal_KL14_192817_1_0.0001_1_window_1,lorenz96,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.76,0.7366666666666665,0.7396666666666663,0.7736547619047617,0.753595238095238,425065,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_(no mean)_normal_KL14_193110_1_0.0001_2_window_1,lorenz96,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.79,0.7533333333333334,0.7296666666666666,0.7647936507936508,0.7511035714285714,425065,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_fourier_(no mean)_normal_KL14_193406_1_0.0001_1_window_1,lorenz96,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.76,0.7366666666666665,0.7396666666666663,0.7736547619047617,0.753595238095238,425065,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_fourier_(no mean)_normal_KL14_193703_1_0.0001_2_window_1,lorenz96,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.79,0.7533333333333334,0.7296666666666666,0.7647936507936508,0.7511035714285714,425065,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_crossattn_(no mean)_normal_KL14_194000_1_0.0001_1_window_1,lorenz96,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.72,0.7266666666666665,0.7361666666666662,0.7765714285714285,0.7433809523809523,600301,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_crossattn_(no mean)_normal_KL14_194422_1_0.0001_2_window_1,lorenz96,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.77,0.7833333333333331,0.7838333333333328,0.7680992063492061,0.7744742063492063,600301,1,0,100,0,0,32,2
lorenz96deep_mlp_(no mean)_normal_KL14_201248_5_0.0001_1_window_5,lorenz96,1,normal_KL,deep_mlp,32,2,0.0001,0.53,0.5433333333333333,0.5293333333333335,0.5428174603174605,0.5351654761904762,1989000,5,0,100,0,0,32,2
