scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars
lotka_volterradeep_mlp_(no mean)_normal_KL16_161516_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.85,0.6666666666666665,0.6671666666666666,0.8726666666666668,0.7655833333333334,504000,7,0,100,0,0,32,2,20
lotka_volterradeep_mlp_(no mean)_normal_KL16_161759_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.9,0.7100000000000002,0.6868333333333331,0.8829999999999997,0.7891833333333331,504000,7,0,100,0,0,32,2,20
lotka_volterradeep_mlp_(no mean)_normal_KL16_162041_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.89,0.6833333333333327,0.6758333333333333,0.8736666666666664,0.7729499999999998,504000,7,0,100,0,0,32,2,20
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_162143_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.98,0.8000000000000002,0.779333333333333,0.9326666666666662,0.8704999999999996,146947,7,0,100,0,0,32,2,20
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_162317_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.96,0.7833333333333335,0.766833333333333,0.9321666666666663,0.8515499999999998,146947,7,0,100,0,0,32,2,20
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_162455_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.98,0.8166666666666668,0.7749999999999997,0.9296666666666661,0.8648499999999997,146947,7,0,100,0,0,32,2,20
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_162630_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.98,0.8000000000000002,0.779333333333333,0.9326666666666662,0.8706666666666664,146947,7,0,100,0,0,32,2,20
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_162807_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.95,0.7833333333333335,0.7643333333333331,0.941333333333333,0.8508833333333332,146947,7,0,100,0,0,32,2,20
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_162942_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.98,0.8166666666666668,0.7749999999999997,0.9296666666666661,0.8643666666666663,146947,7,0,100,0,0,32,2,20
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_163117_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.98,0.8100000000000002,0.7854999999999994,0.952333333333333,0.881533333333333,185779,7,0,100,0,0,32,2,20
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_163323_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.99,0.8166666666666669,0.7949999999999996,0.950333333333333,0.885483333333333,185779,7,0,100,0,0,32,2,20
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_163529_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.99,0.8033333333333339,0.7869999999999996,0.9548333333333331,0.8792666666666664,185779,7,0,100,0,0,32,2,20
lotka_volterradeep_mlp_(no mean)_normal_KL16_163924_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.46,0.33666666666666667,0.35283333333333333,0.5026666666666667,0.40713333333333335,2784600,7,0,100,0,0,32,2,50
lotka_volterradeep_mlp_(no mean)_normal_KL16_164313_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.39,0.3066666666666667,0.3373333333333333,0.5383333333333333,0.40008333333333335,2784600,7,0,100,0,0,32,2,50
lotka_volterradeep_mlp_(no mean)_normal_KL16_164702_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.47,0.3166666666666665,0.32866666666666655,0.5006666666666667,0.3930499999999999,2784600,7,0,100,0,0,32,2,50
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_164906_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.75,0.5599999999999998,0.5168333333333334,0.6603333333333332,0.6008333333333333,425257,7,0,100,0,0,32,2,50
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_165209_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.7,0.5333333333333333,0.5285,0.7141666666666664,0.6073,425257,7,0,100,0,0,32,2,50
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_165512_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.7,0.5233333333333334,0.5070000000000001,0.6691666666666667,0.5910666666666666,425257,7,0,100,0,0,32,2,50
