scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,beta_lv
lotka_volterradeep_mlp_(no mean)_normal_KL16_202115_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.54,0.4000000000000003,0.4056666666666668,0.6026666666666666,0.4778833333333335,1810200,7,0,100,0,0,32,2,40,0.1
lotka_volterradeep_mlp_(no mean)_normal_KL16_202431_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.49,0.43,0.41633333333333333,0.6160000000000001,0.48885000000000006,1810200,7,0,100,0,0,32,2,40,0.1
lotka_volterradeep_mlp_(no mean)_normal_KL16_202750_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.58,0.44666666666666677,0.4426666666666668,0.6406666666666666,0.5218166666666667,1810200,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_202928_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.85,0.6299999999999997,0.5763333333333333,0.7629999999999997,0.6859666666666666,319487,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_203157_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.87,0.643333333333333,0.6096666666666668,0.7634999999999998,0.7004833333333332,319487,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_203424_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.88,0.6333333333333332,0.6041666666666665,0.7619999999999999,0.7062833333333332,319487,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_203652_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.88,0.6333333333333332,0.5751666666666666,0.7558333333333331,0.6876333333333332,319487,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_203921_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.87,0.6399999999999997,0.6183333333333334,0.7664999999999997,0.7026999999999999,319487,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_204150_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.87,0.6366666666666664,0.5966666666666667,0.7678333333333331,0.7054833333333332,319487,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_204418_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.86,0.6966666666666668,0.6434999999999998,0.8054999999999997,0.7402999999999997,436319,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_204737_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.89,0.7133333333333332,0.6668333333333333,0.8071666666666663,0.7555333333333333,436319,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_205055_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.91,0.68,0.6465,0.7978333333333327,0.7399833333333332,436319,7,0,100,0,0,32,2,40,0.1
lotka_volterradeep_mlp_(no mean)_normal_KL16_205602_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.54,0.40333333333333365,0.4056666666666668,0.6026666666666666,0.47855000000000014,1810200,7,0,100,0,0,32,2,40,0.2
lotka_volterradeep_mlp_(no mean)_normal_KL16_205920_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.5,0.4266666666666667,0.41633333333333333,0.6160000000000001,0.48906666666666665,1810200,7,0,100,0,0,32,2,40,0.2
lotka_volterradeep_mlp_(no mean)_normal_KL16_210241_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.58,0.44666666666666677,0.4426666666666668,0.6406666666666666,0.5221500000000001,1810200,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_210418_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.87,0.6433333333333331,0.5766666666666667,0.7568333333333332,0.6876833333333332,319487,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_210644_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.86,0.6299999999999997,0.6096666666666667,0.769333333333333,0.69875,319487,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_210911_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.87,0.6333333333333331,0.5941666666666666,0.7673333333333332,0.7061833333333334,319487,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_211138_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.83,0.6466666666666664,0.5633333333333332,0.7671666666666666,0.6833833333333332,319487,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_211406_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.87,0.6166666666666664,0.6071666666666666,0.7664999999999997,0.6919166666666665,319487,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL16_211633_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.88,0.6366666666666664,0.6004999999999999,0.7689999999999998,0.7094666666666667,319487,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_211904_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.87,0.7033333333333335,0.6406666666666664,0.8084999999999997,0.7399999999999999,436319,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_212223_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.88,0.7133333333333332,0.6636666666666664,0.8066666666666662,0.7537999999999998,436319,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL16_212541_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.9,0.6833333333333335,0.6425,0.7969999999999996,0.7371999999999999,436319,7,0,100,0,0,32,2,40,0.2
lotka_volterradeep_mlp_(no mean)_normal_KL16_213044_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.54,0.40333333333333365,0.4056666666666668,0.6026666666666666,0.47855000000000014,1810200,7,0,100,0,0,32,2,40,0.3
lotka_volterradeep_mlp_(no mean)_normal_KL16_213414_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.5,0.4266666666666667,0.41633333333333333,0.6160000000000001,0.4894,1810200,7,0,100,0,0,32,2,40,0.3
lotka_volterradeep_mlp_(no mean)_normal_KL16_213736_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.58,0.44666666666666677,0.4426666666666668,0.6406666666666666,0.5219000000000001,1810200,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_213914_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.83,0.633333333333333,0.5755,0.7469999999999999,0.6810333333333333,319487,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_214141_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.86,0.6366666666666664,0.6198333333333333,0.7588333333333331,0.6995833333333332,319487,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL16_214408_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.88,0.6399999999999997,0.6011666666666666,0.7644999999999998,0.7073499999999999,319487,7,0,100,0,0,32,2,40,0.3
