scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv
lotka_volterradeep_mlp_(no mean)_normal_KL17_090615_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.54,0.4000000000000003,0.4056666666666668,0.6051666666666665,0.47663333333333335,1810200,7,0,100,0,0,32,2,40,0.1
lotka_volterradeep_mlp_(no mean)_normal_KL17_090928_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.5,0.4266666666666667,0.41633333333333333,0.6160000000000001,0.4917166666666667,1810200,7,0,100,0,0,32,2,40,0.1
lotka_volterradeep_mlp_(no mean)_normal_KL17_091242_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.58,0.44666666666666677,0.4431666666666668,0.6406666666666666,0.5212166666666667,1810200,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL17_091418_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.88,0.6466666666666663,0.5706666666666667,0.7671666666666666,0.6881833333333333,319487,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL17_091645_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.88,0.6399999999999997,0.6198333333333333,0.7699999999999997,0.7047833333333331,319487,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL17_091913_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.89,0.6299999999999998,0.6083333333333333,0.7703333333333332,0.71085,319487,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL17_092139_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.86,0.6399999999999998,0.5808333333333333,0.7673333333333332,0.6886166666666667,319487,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL17_092405_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.9,0.6299999999999996,0.6113333333333333,0.7716666666666663,0.7025999999999999,319487,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL17_092632_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.89,0.623333333333333,0.6016666666666667,0.7669999999999999,0.7096499999999999,319487,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_092859_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.87,0.7233333333333333,0.6456666666666665,0.8223333333333329,0.7471166666666665,436319,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_093217_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.88,0.7199999999999998,0.6623333333333332,0.808666666666666,0.757633333333333,436319,7,0,100,0,0,32,2,40,0.1
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_093536_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.91,0.6833333333333335,0.644,0.7978333333333328,0.7389666666666665,436319,7,0,100,0,0,32,2,40,0.1
lotka_volterradeep_mlp_(no mean)_normal_KL17_094042_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.54,0.4000000000000003,0.4056666666666668,0.6051666666666665,0.47663333333333335,1810200,7,0,100,0,0,32,2,40,0.2
lotka_volterradeep_mlp_(no mean)_normal_KL17_094404_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.5,0.4266666666666667,0.41633333333333333,0.6160000000000001,0.4914666666666667,1810200,7,0,100,0,0,32,2,40,0.2
lotka_volterradeep_mlp_(no mean)_normal_KL17_094727_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.58,0.44666666666666677,0.4406666666666668,0.6406666666666666,0.5213,1810200,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL17_094908_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.85,0.6299999999999998,0.5771666666666666,0.7683333333333331,0.6869,319487,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL17_095134_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.86,0.6299999999999999,0.6103333333333333,0.7724999999999995,0.6960499999999998,319487,7,0,100,0,0,32,2,40,0.2
