scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
msdsTemporalGNN_Attention_(no mean)_normal_KL14_125804_10_0.0005_1_window_10,msds,1,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.325,1.0,1.0,1.0,0.9175000000000001,669139,10,0,1000,0,0,256,2
msdsTemporalGNN_Attention_(no mean)_normal_KL14_141221_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.7821782178217822,0.9917491749174918,0.995049504950495,1.0,0.9696369636963696,666835,1,0,1000,0,0,256,2
msdsTemporalGNN_Attention_(no mean)_normal_KL14_141443_1_0.0005_2_window_1,msds,2,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.44554455445544555,0.9686468646864685,0.9917491749174918,1.0,0.9186468646864686,666835,1,0,1000,0,0,256,2
msdsTemporalGNN_Attention_(no mean)_normal_KL14_141704_1_0.0005_3_window_1,msds,3,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.7722772277227723,0.8085808580858086,0.9422442244224423,1.0,0.9133663366336634,666835,1,0,1000,0,0,256,2
msdsTemporalGNN_Attention_fourier_(no mean)_normal_KL14_141921_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention_fourier,128,4,0.0005,0.7821782178217822,0.9917491749174918,0.995049504950495,1.0,0.9696369636963696,666835,1,0,1000,0,0,256,2
msdsTemporalGNN_Attention_fourier_(no mean)_normal_KL14_142144_1_0.0005_2_window_1,msds,2,normal_KL,TemporalGNN_Attention_fourier,128,4,0.0005,0.44554455445544555,0.9686468646864685,0.9917491749174918,1.0,0.9186468646864686,666835,1,0,1000,0,0,256,2
msdsTemporalGNN_Attention_fourier_(no mean)_normal_KL14_142402_1_0.0005_3_window_1,msds,3,normal_KL,TemporalGNN_Attention_fourier,128,4,0.0005,0.7722772277227723,0.8085808580858086,0.9422442244224423,1.0,0.9133663366336634,666835,1,0,1000,0,0,256,2
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL14_142619_1_0.0005_1_window_1,msds,1,normal_KL,TemporalGNN_Attention_crossattn,128,4,0.0005,0.7722772277227723,0.9818481848184819,1.0,1.0,0.966006600660066,1508151,1,0,1000,0,0,256,2
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL14_142958_1_0.0005_2_window_1,msds,2,normal_KL,TemporalGNN_Attention_crossattn,128,4,0.0005,0.5445544554455446,0.872937293729373,0.976897689768977,1.0,0.9085808580858086,1508151,1,0,1000,0,0,256,2
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL14_143334_1_0.0005_3_window_1,msds,3,normal_KL,TemporalGNN_Attention_crossattn,128,4,0.0005,0.6831683168316832,0.8382838283828383,0.9323432343234324,1.0,0.9074257425742575,1508151,1,0,1000,0,0,256,2
msdsTemporalGNN_Attention_(no mean)_normal_KL14_143714_5_0.0005_1_window_5,msds,1,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.2111111111111111,0.48333333333333334,0.55,1.0,0.7177777777777777,667859,5,0,1000,0,0,256,2
msdsTemporalGNN_Attention_(no mean)_normal_KL14_144306_5_0.0005_2_window_5,msds,2,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.35,0.5611111111111111,0.7277777777777777,1.0,0.7605555555555555,667859,5,0,1000,0,0,256,2
msdsTemporalGNN_Attention_(no mean)_normal_KL14_144858_5_0.0005_3_window_5,msds,3,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.4,0.95,0.9833333333333333,1.0,0.9105555555555556,667859,5,0,1000,0,0,256,2
msdsTemporalGNN_Attention_fourier_(no mean)_normal_KL14_145452_5_0.0005_1_window_5,msds,1,normal_KL,TemporalGNN_Attention_fourier,128,4,0.0005,0.06111111111111111,0.35,0.48333333333333334,1.0,0.6083333333333334,667859,5,0,1000,0,0,256,2
msdsTemporalGNN_Attention_fourier_(no mean)_normal_KL14_150052_5_0.0005_2_window_5,msds,2,normal_KL,TemporalGNN_Attention_fourier,128,4,0.0005,0.16666666666666666,0.5777777777777777,0.7388888888888889,1.0,0.6977777777777778,667859,5,0,1000,0,0,256,2
msdsTemporalGNN_Attention_fourier_(no mean)_normal_KL14_150653_5_0.0005_3_window_5,msds,3,normal_KL,TemporalGNN_Attention_fourier,128,4,0.0005,0.03333333333333333,0.8388888888888889,1.0,1.0,0.8322222222222223,667859,5,0,1000,0,0,256,2
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL14_151249_5_0.0005_1_window_5,msds,1,normal_KL,TemporalGNN_Attention_crossattn,128,4,0.0005,0.40555555555555556,0.85,0.9833333333333333,1.0,0.8738888888888889,1509687,5,0,1000,0,0,256,2
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL14_152240_5_0.0005_2_window_5,msds,2,normal_KL,TemporalGNN_Attention_crossattn,128,4,0.0005,0.4666666666666667,0.7833333333333333,1.0,1.0,0.8866666666666667,1509687,5,0,1000,0,0,256,2
msdsTemporalGNN_Attention_crossattn_(no mean)_normal_KL14_153236_5_0.0005_3_window_5,msds,3,normal_KL,TemporalGNN_Attention_crossattn,128,4,0.0005,0.17777777777777776,0.43333333333333335,0.6833333333333333,1.0,0.6888888888888889,1509687,5,0,1000,0,0,256,2
msdsTemporalGNN_Attention_(no mean)_normal_KL14_154226_7_0.0005_1_window_7,msds,1,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.391304347826087,1.0,1.0,1.0,0.9260869565217391,668371,7,0,1000,0,0,256,2
msdsTemporalGNN_Attention_(no mean)_normal_KL14_154954_7_0.0005_2_window_7,msds,2,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.08695652173913043,0.41304347826086957,0.5869565217391305,1.0,0.6673913043478261,668371,7,0,1000,0,0,256,2
msdsTemporalGNN_Attention_(no mean)_normal_KL14_155742_7_0.0005_3_window_7,msds,3,normal_KL,TemporalGNN_Attention,128,4,0.0005,0.32608695652173914,0.391304347826087,0.5652173913043478,1.0,0.6739130434782609,668371,7,0,1000,0,0,256,2
