scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size
vlinear_batadal_ws_16_seed_1_numvars_43_16_184258_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.23809523809523808,0.19999999999999998,0.27261904761904765,0.2552891156462585,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4099906629318394,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.2552891156462585,0.07709832703477373,1.0,0.2067147663661412,4.837583775842899,1.839141845703125,30.57275390625,42.22397756576538,0.2111198878288269,2069.913945550755,3889.5498046875,1,0,0,mul,linear_attn,max,symmetric,linear,256
vlinear_batadal_ws_16_seed_1_numvars_43_16_184435_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.23809523809523808,0.14285714285714285,0.1976190476190476,0.22265306122448983,280469,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.42382598200570554,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.22265306122448983,0.09086767637933153,1.0,0.20052140099661692,4.986998869097626,1.843048095703125,30.58251953125,44.32278633117676,0.22161393165588378,1971.8976904329372,4214.1875,1,0,0,gate,linear_attn,max,symmetric,linear,256
vlinear_batadal_ws_16_seed_1_numvars_43_16_184614_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.2857142857142857,0.2857142857142857,0.19999999999999998,0.20238095238095238,0.22146258503401364,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2538888282585761,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.22146258503401364,0.043571269256826105,1.0,0.23441720008850098,4.265898575797611,1.839141845703125,30.57275390625,42.51064395904541,0.21255321979522704,2055.9556821628207,3727.5498046875,1,0,0,add,linear_attn,max,symmetric,linear,256
vlinear_batadal_ws_16_seed_1_numvars_43_16_184758_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.2857142857142857,0.19999999999999998,0.2285714285714286,0.24649659863945578,82836,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3261904761904762,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.24649659863945578,0.08238233566419267,1.0,0.2175767421722412,4.596079479893883,1.0891380310058594,21.29833984375,22.27698564529419,0.11138492822647095,3923.3315221201146,1342.6630859375,1,0,0,mul,gate,max,symmetric,linear,256
vlinear_batadal_ws_16_seed_1_numvars_43_16_184918_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.2857142857142857,0.19999999999999998,0.24404761904761904,0.2512244897959183,278421,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.36695624195624194,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.2512244897959183,0.07966520108531759,1.0,0.2277945109776088,4.389921406395501,1.835235595703125,30.55712890625,40.09850454330444,0.2004925227165222,2179.6324076278765,3727.5380859375,0,0,0,mul,linear_attn,max,symmetric,linear,256
vlinear_batadal_ws_16_seed_1_numvars_43_16_185059_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.2857142857142857,0.09523809523809523,0.1142857142857143,0.12976190476190477,0.12622448979591838,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3389800514800515,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.12622448979591838,0.05553041682153618,1.0,0.23343515396118164,4.283844926656984,1.838165283203125,30.57177734375,42.868419885635376,0.2143420994281769,2038.7968633592334,3889.548828125,1,1,0,mul,linear_attn,max,symmetric,linear,256
vlinear_batadal_ws_16_seed_1_numvars_43_16_185240_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.2857142857142857,0.17142857142857146,0.22023809523809526,0.2336054421768708,414869,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.20213788782300576,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.2336054421768708,0.07647201838582308,1.0,0.2619708946772984,3.817217944122466,2.355743408203125,32.63916015625,44.94210720062256,0.2247105360031128,1944.7241227440552,3891.6162109375,1,0,0,mul,linear_attn,max,symmetric,mlp,256
vlinear_batadal_ws_16_seed_1_numvars_43_16_185431_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.5714285714285714,0.23809523809523808,0.17142857142857146,0.2261904761904762,0.24551020408163268,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4792568542568542,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.24551020408163268,0.12139796485403705,1.0,0.25334596633911133,3.9471715869415873,1.839141845703125,30.57275390625,43.31729006767273,0.21658645033836366,2017.670077316904,3889.5498046875,1,0,0,mul,linear_attn,max,symmetric,linear,256
vlinear_batadal_ws_16_seed_1_numvars_43_16_185615_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.23809523809523808,0.19999999999999998,0.27261904761904765,0.2552891156462585,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.0,0.0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4099906629318394,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.2552891156462585,0.07709832703477373,1.0,0.363703863961356,2.7494896235313333,1.839141845703125,30.57275390625,43.50377082824707,0.21751885414123534,2009.0212488718573,3889.5498046875,1,0,0,mul,linear_attn,max,symmetric,linear,256
vlinear_batadal_ws_16_seed_1_numvars_43_16_185811_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.23809523809523808,0.19999999999999998,0.27261904761904765,0.2552891156462585,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.0,0.0,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4099906629318394,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.2552891156462585,0.07709832703477373,1.0,0.2590597357068743,3.8601135652029637,1.839141845703125,30.57275390625,43.76967692375183,0.21884838461875916,1996.8162011397428,3889.5498046875,1,0,0,mul,linear_attn,max,symmetric,linear,256
vlinear_batadal_ws_16_seed_2_numvars_43_16_185957_,batadal,2,normal_KL,vlinear,256,0,0.0001,0.2857142857142857,0.23809523809523808,0.17142857142857146,0.20476190476190476,0.2065986394557823,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.44331678617392906,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.2065986394557823,0.0447696967144407,1.0,0.21923071997506277,4.561404533606188,1.839141845703125,30.57275390625,43.33958697319031,0.21669793486595154,2016.6320471412264,3889.5498046875,1,0,0,mul,linear_attn,max,symmetric,linear,256
