scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size,transformation
vlinear_batadal_ws_16_seed_1_numvars_43_29_155319_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.19047619047619047,0.17142857142857146,0.19166666666666668,0.21586734693877552,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2765873015873016,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.8571428571428571,0.21586734693877552,0.07780131950530247,1.0,0.2668398107801165,3.747566740796515,1.838165283203125,30.57177734375,44.27219247817993,0.22136096239089967,1974.1511569158477,3889.5498046875,1,1,0,mul,linear_attn,max,symmetric,linear,256,none
vlinear_batadal_ws_16_seed_1_numvars_43_29_155510_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.5714285714285714,0.23809523809523808,0.17142857142857146,0.2261904761904762,0.24551020408163268,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4792568542568542,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.24551020408163268,0.12139796485403705,1.0,0.4206744602748326,2.3771350401131692,1.839141845703125,30.57275390625,44.32746505737305,0.22163732528686522,1971.6895583105907,3889.5498046875,1,0,0,mul,linear_attn,max,symmetric,linear,256,orthogonal
vlinear_batadal_ws_16_seed_1_numvars_43_29_165126_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.2857142857142857,0.17142857142857143,0.22142857142857145,0.2537074829931973,279670,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34287754911328133,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.2537074829931973,0.07613601217826917,1.0,0.23613439287458146,4.234876537155399,1.8400001525878906,30.57666015625,42.79655432701111,0.21398277163505555,2042.2204865413046,3890.18359375,1,0,0,mul,linear_attn,max,symmetric,linear,256,learned
vlinear_batadal_ws_16_seed_1_numvars_43_29_165311_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.2857142857142857,0.19047619047619047,0.1142857142857143,0.14523809523809522,0.17336734693877548,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.29909909909909915,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.17336734693877548,0.059049627305263794,1.0,0.3714963027409145,2.6918168299979306,1.8400001525878906,30.57373046875,42.81751775741577,0.21408758878707887,2041.2206166449891,3889.55078125,1,0,0,mul,linear_attn,max,symmetric,linear,256,legendre
vlinear_batadal_ws_16_seed_1_numvars_43_29_165504_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.2857142857142857,0.19047619047619047,0.14285714285714285,0.14523809523809522,0.17622448979591834,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.30396825396825394,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.17622448979591834,0.056768992797121144,1.0,0.25142805916922434,3.977280830565324,1.8400001525878906,30.57373046875,43.98405575752258,0.21992027878761292,1987.083694187342,3889.55078125,1,0,0,mul,linear_attn,max,symmetric,linear,256,laguerre
vlinear_batadal_ws_16_seed_1_numvars_43_29_165656_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.2857142857142857,0.09523809523809523,0.1142857142857143,0.15833333333333335,0.1358673469387755,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.32290862290862293,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.1358673469387755,0.0530771632480215,1.0,0.1603365966251918,6.236879296731197,1.8400001525878906,30.57373046875,43.25737953186035,0.21628689765930176,2020.4645067699325,3889.55078125,1,0,0,mul,linear_attn,max,symmetric,linear,256,chebyshev
vlinear_batadal_ws_16_seed_1_numvars_43_29_165836_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.2857142857142857,0.19047619047619047,0.1142857142857143,0.14523809523809522,0.17336734693877548,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.29909909909909915,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.17336734693877548,0.059049627305263794,1.0,0.2558318887438093,3.908816859814542,1.8400001525878906,30.57373046875,43.04504632949829,0.21522523164749147,2030.4310821499976,3889.55078125,1,0,0,mul,linear_attn,max,symmetric,linear,256,hermite
vlinear_batadal_ws_16_seed_1_numvars_43_29_171328_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.19047619047619047,0.14285714285714285,0.1869047619047619,0.1989625850340136,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2701463283260518,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.1989625850340136,0.08051809457840803,1.0,0.23307599340166366,4.290446156231473,1.8400001525878906,30.57373046875,42.28940677642822,0.21144703388214112,2066.7114216583445,3889.55078125,1,0,0,mul,linear_attn,max,symmetric,linear,256,fourier
vlinear_batadal_ws_16_seed_2_numvars_43_30_040449_,batadal,2,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.19047619047619047,0.14285714285714285,0.22023809523809526,0.23005102040816325,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.30862193362193363,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.23005102040816325,0.07522441820367352,1.0,0.22827155249459402,4.3807473558216685,1.838165283203125,30.57177734375,41.78139805793762,0.20890699028968812,2091.84000685673,3889.548828125,1,1,0,mul,linear_attn,max,symmetric,linear,256,none
vlinear_batadal_ws_16_seed_2_numvars_43_30_050250_,batadal,2,normal_KL,vlinear,256,0,0.0001,0.2857142857142857,0.14285714285714285,0.1619047619047619,0.1880952380952381,0.1657482993197279,279670,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2620181405895692,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.1657482993197279,0.04369154530882373,1.0,0.2701070649283273,3.7022356311388935,1.8400001525878906,30.57666015625,45.78962159156799,0.22894810795783996,1908.7294666810355,3890.18359375,1,0,0,mul,linear_attn,max,symmetric,linear,256,learned
