scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size,transformation
vlinear_wadi_ws_8_seed_1_numvars_127_29_175405_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12344476868236008,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31,0.03666666666666666,1.0,0.4932587146759033,2.02733366942549,0.5073661804199219,19.91015625,1110.9865226745605,22.21973045349121,5439.309907605572,2206.1865234375,1,1,0,mul,gate,max,symmetric,linear,512,none
vlinear_wadi_ws_8_seed_1_numvars_127_29_185125_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31,35377,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11903441362333257,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31,0.03666666666666666,1.0,0.6205262819925944,1.6115352870935036,0.5077972412109375,19.91259765625,1117.7984127998352,22.355968255996704,5406.162623601903,2210.6357421875,1,0,0,mul,gate,max,symmetric,linear,512,learned
vlinear_wadi_ws_8_seed_1_numvars_127_29_194853_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31666666666666665,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12510357964201904,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31666666666666665,0.04013864859597431,1.0,0.5754539012908936,1.7377586593065726,0.5077972412109375,19.9111328125,1109.767603635788,22.19535207271576,5445.284202027615,2207.396484375,1,0,0,mul,gate,max,symmetric,linear,512,legendre
vlinear_wadi_ws_8_seed_1_numvars_127_29_204600_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12224934411185848,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31,0.03349958540373629,1.0,0.5239387194315592,1.9086201552061994,0.5077972412109375,19.9111328125,1108.6311314105988,22.172622628211975,5450.866233849139,2207.396484375,1,0,0,mul,gate,max,symmetric,linear,512,laguerre
vlinear_wadi_ws_8_seed_1_numvars_127_29_214307_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.123359348514918,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31,0.03666666666666666,1.0,0.4835019747416178,2.0682438795299594,0.5077972412109375,19.9111328125,1082.6799890995026,22.095509981622502,5469.889588451359,2207.396484375,1,0,0,mul,gate,max,symmetric,linear,512,chebyshev
vlinear_wadi_ws_8_seed_1_numvars_127_29_223949_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31666666666666665,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12278571698161748,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31666666666666665,0.04013864859597431,1.0,0.49939743677775067,2.002413161053197,0.5077972412109375,19.9111328125,1105.5798618793488,22.111597237586974,5465.9099793366795,2207.396484375,1,0,0,mul,gate,max,symmetric,linear,512,hermite
vlinear_wadi_ws_8_seed_1_numvars_127_29_233705_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.36666666666666664,0.3066666666666667,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12063676170572722,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.3066666666666667,0.03590109871423002,1.0,0.47308878898620604,2.1137681198130385,0.5077972412109375,19.9111328125,1106.727516412735,22.1345503282547,5460.241938853508,2207.396484375,1,0,0,mul,gate,max,symmetric,linear,512,fourier
vlinear_wadi_ws_8_seed_1_numvars_127_30_003420_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31666666666666665,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12178381199003686,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31666666666666665,0.03415650255319865,1.0,0.5182033538818359,1.9297443609908138,0.5076103210449219,19.9111328125,1109.5229170322418,22.190458340644838,5446.485067801799,2206.43115234375,1,0,0,mul,gate,max,symmetric,linear,512,orthogonal
vlinear_wadi_ws_8_seed_2_numvars_127_30_043732_,wadi,2,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.36666666666666664,0.31,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12119588677593136,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31,0.03958114029012638,1.0,0.527386474609375,1.8961426736259792,0.5073661804199219,19.91015625,1106.407446861267,22.12814893722534,5461.821517148316,2206.1865234375,1,1,0,mul,gate,max,symmetric,linear,512,none
vlinear_wadi_ws_8_seed_2_numvars_127_30_053726_,wadi,2,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.36666666666666664,0.30333333333333334,35377,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1282750781373888,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.30333333333333334,0.03480102169636849,1.0,1.02967365582784,0.9711814945833659,0.5077972412109375,19.91259765625,1127.8495321273804,22.556990642547607,5357.9842238366045,2210.6357421875,1,0,0,mul,gate,max,symmetric,linear,512,learned
vlinear_wadi_ws_8_seed_2_numvars_127_30_063845_,wadi,2,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.3066666666666667,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12022340010722363,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.3066666666666667,0.03265986323710904,1.0,0.9542022387186686,1.047995864422651,0.5077972412109375,19.9111328125,1115.2179040908813,22.304358081817625,5418.671972385716,2207.396484375,1,0,0,mul,gate,max,symmetric,linear,512,legendre
vlinear_wadi_ws_8_seed_2_numvars_127_30_073807_,wadi,2,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.3066666666666667,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11980237745535756,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.3066666666666667,0.03265986323710904,1.0,0.44255824089050294,2.259589603365715,0.5077972412109375,19.9111328125,1106.1609508991241,22.123219017982482,5463.0386247933,2207.396484375,1,0,0,mul,gate,max,symmetric,linear,512,laguerre
