scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size
vlinear_batadal_ws_4_seed_1_numvars_43_15_051047_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.0,0.09523809523809523,0.05714285714285715,0.16428571428571428,0.10370748299319729,72453,4,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.18985001485001485,0.0,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.10370748299319729,0.047347488561199254,1.0,0.14305176053728377,6.990476707480777,0.485626220703125,19.22802734375,23.09503936767578,0.11547519683837891,15172.08931414189,609.47412109375,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_8_seed_1_numvars_43_15_051156_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.2547619047619048,0.19836734693877553,73141,8,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2826709631220909,0.0,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.19836734693877553,0.03509927215785799,1.0,0.10842932973589216,9.222596897313302,0.488433837890625,20.10595703125,20.473154306411743,0.10236577153205871,8557.547966369364,1410.9072265625,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_16_seed_1_numvars_43_15_051304_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.2857142857142857,0.23809523809523808,0.14285714285714285,0.18452380952380953,0.1900170068027211,74517,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.20544784580498865,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.1900170068027211,0.05575840754154706,1.0,0.1395881175994873,7.163933558221957,0.494415283203125,21.86572265625,20.312440872192383,0.10156220436096192,4302.781755768708,2550.82763671875,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_24_seed_1_numvars_43_15_051406_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.28928571428571426,0.2002551020408163,75893,24,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10034013605442178,0.0,0.0,0.14285714285714285,0.42857142857142855,0.2002551020408163,0.05285096193472804,1.0,0.15349054336547852,6.515059352020702,0.500885009765625,23.6240234375,18.68262267112732,0.0934131133556366,3125.8994536271985,2622.60107421875,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_32_seed_1_numvars_43_15_051507_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.14285714285714285,0.3333333333333333,0.27619047619047615,0.275,0.2802551020408163,77269,32,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.16105442176870752,0.0,0.0,0.5714285714285714,0.8571428571428571,0.2802551020408163,0.06683623487376075,1.0,0.15004471370152064,6.6646799832566535,0.507843017578125,25.3837890625,19.464009046554565,0.09732004523277282,2240.0318400857855,2625.53662109375,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_4_seed_2_numvars_43_15_051614_,batadal,2,normal_KL,vlinear,128,0,0.0001,0.0,0.047619047619047616,0.14285714285714285,0.16428571428571428,0.11479591836734693,72453,4,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3253968253968254,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.11479591836734693,0.05276523278035572,1.0,0.15904991967337473,6.287334203334414,0.485626220703125,19.22802734375,23.625967025756836,0.11812983512878418,14831.138959010515,609.47412109375,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_8_seed_2_numvars_43_15_051723_,batadal,2,normal_KL,vlinear,128,0,0.0001,0.14285714285714285,0.2857142857142857,0.19999999999999998,0.230952380952381,0.222891156462585,73141,8,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.26315708101422386,0.0,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.222891156462585,0.056124520679140595,1.0,0.1165848800114223,8.577441602221711,0.488433837890625,20.10595703125,20.79751682281494,0.1039875841140747,8424.082619700303,1410.9072265625,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_16_seed_2_numvars_43_15_051836_,batadal,2,normal_KL,vlinear,128,0,0.0001,0.2857142857142857,0.09523809523809523,0.08571428571428573,0.16904761904761906,0.1252721088435374,74517,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2937419562419562,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.1252721088435374,0.062090073610557205,1.0,0.13447346006120955,7.436411612706482,0.494415283203125,21.86572265625,20.11146831512451,0.10055734157562256,4345.7791659235645,2550.82763671875,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_24_seed_2_numvars_43_15_051939_,batadal,2,normal_KL,vlinear,128,0,0.0001,0.14285714285714285,0.14285714285714285,0.21904761904761902,0.25,0.2095578231292517,75893,24,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1490720849743406,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.2095578231292517,0.03816970673323859,1.0,0.14859437942504883,6.729729643000401,0.500885009765625,23.6240234375,18.962724685668945,0.09481362342834472,3079.726198004432,2622.60107421875,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_32_seed_2_numvars_43_15_052041_,batadal,2,normal_KL,vlinear,128,0,0.0001,0.14285714285714285,0.380952380952381,0.27619047619047615,0.26904761904761904,0.28527210884353743,77269,32,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2217687074829932,0.0,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.28527210884353743,0.061584551591861894,1.0,0.164050715310233,6.095675950628562,0.507843017578125,25.3837890625,19.759860277175903,0.09879930138587951,2206.493334892718,2625.53662109375,1,0,0,mul,linear_attn,max,symmetric,linear,512
