scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor
swatvlinear_(no mean)_normal_KL07_201346_64_0.0001_1_window_64,swat,1,normal_KL,vlinear,128,0,0.0001,0.4,0.475,0.525,0.525,0.49750000000000005,84301,64,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09510508491000481,0.0,0.0,0.2,0.35,0.49750000000000005,0.03944933459514876,1.0,0.17266433238983153,5.7915840878025575,0.5555763244628906,35.8359375,368.8446841239929,1.8442234206199646,1118.0857899021944,1819.935546875,1,0,0,mul,linear_attn,max,symmetric,linear
swatvlinear_(no mean)_normal_KL07_202146_64_0.0001_1_window_64,swat,1,normal_KL,vlinear,128,0,0.0001,0.3,0.475,0.525,0.575,0.5075000000000001,84301,64,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.0,0.0,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09870151508157379,0.0,0.0,0.1,0.45,0.5075000000000001,0.08066132902450839,1.0,0.12193115949630737,8.201349057377614,0.5555763244628906,35.8359375,374.91052198410034,1.8745526099205017,1099.9958011780998,1819.935546875,1,0,0,mul,linear_attn,max,symmetric,linear
swatvlinear_(no mean)_normal_KL07_203004_64_0.0001_1_window_64,swat,1,normal_KL,vlinear,128,0,0.0001,0.35,0.475,0.475,0.525,0.4575,84301,64,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.0,0.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11194788125497754,0.0,0.05,0.2,0.4,0.4575,0.050062460986251965,1.0,0.15179684162139892,6.587752349249335,0.5555763244628906,35.8359375,379.4262664318085,1.8971313321590424,1086.9041932133016,1819.935546875,1,0,0,mul,linear_attn,max,symmetric,linear
swatvlinear_(no mean)_normal_KL07_203820_64_0.0001_1_window_64,swat,1,normal_KL,vlinear,128,0,0.0001,0.3,0.375,0.425,0.525,0.4375,84301,64,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.0,0.0,0.0,0.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10093466130795707,0.0,0.05,0.2,0.4,0.4375,0.07180703308172537,1.0,0.15261222124099733,6.552555174600674,0.5555763244628906,35.8359375,383.76202511787415,1.9188101255893708,1074.6243062307417,1819.935546875,1,0,0,mul,linear_attn,max,symmetric,linear
swatvlinear_(no mean)_normal_KL07_204642_64_0.0001_1_window_64,swat,1,normal_KL,vlinear,128,0,0.0001,0.35,0.425,0.425,0.425,0.4175,84301,64,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.18732206640930896,0.05,0.25,0.35,0.5,0.4175,0.022500000000000003,1.0,0.10661250352859497,9.379762850534561,0.5555763244628906,35.8359375,379.64556074142456,1.8982278037071227,1086.276365762339,1819.935546875,1,0,0,mul,linear_attn,max,symmetric,linear
swatvlinear_(no mean)_normal_KL07_205509_64_0.0001_1_window_64,swat,1,normal_KL,vlinear,128,0,0.0001,0.3,0.325,0.425,0.475,0.39249999999999996,84301,64,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.17850267229132738,0.05,0.25,0.35,0.5,0.39249999999999996,0.0632949445058608,1.0,0.15673036575317384,6.380384523410389,0.5555763244628906,35.8359375,379.87401485443115,1.8993700742721558,1085.623085216905,1819.935546875,1,0,0,mul,linear_attn,max,symmetric,linear
swatvlinear_(no mean)_normal_KL07_210325_64_0.0001_1_window_64,swat,1,normal_KL,vlinear,128,0,0.0001,0.35,0.425,0.425,0.475,0.42750000000000005,84301,64,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.18768503989923424,0.05,0.25,0.35,0.5,0.42750000000000005,0.0325,1.0,0.17801769971847534,5.6174189509326435,0.5555763244628906,35.8359375,384.3704237937927,1.9218521189689637,1072.9233428772984,1819.935546875,1,0,0,mul,linear_attn,max,symmetric,linear
swatvlinear_(no mean)_normal_KL07_211156_64_0.0001_1_window_64,swat,1,normal_KL,vlinear,128,0,0.0001,0.3,0.325,0.425,0.475,0.3975,84301,64,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.17846966241506695,0.05,0.25,0.35,0.5,0.3975,0.06749999999999999,1.0,0.18181662559509276,5.50004707615138,0.5555763244628906,35.8359375,382.654408454895,1.9132720422744751,1077.734872218547,1819.935546875,1,0,0,mul,linear_attn,max,symmetric,linear
swatvlinear_(no mean)_normal_KL07_223250_64_0.0001_1_window_64,swat,1,normal_KL,vlinear,128,0,0.0001,0.35,0.425,0.475,0.475,0.44749999999999995,84301,64,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12189285239175773,0.0,0.1,0.25,0.55,0.44749999999999995,0.045345892868042637,1.0,0.14218266010284425,7.033206435135446,0.5555763244628906,35.8359375,370.6273865699768,1.8531369328498841,1112.7078433588347,1819.935546875,1,0,0,mul,linear_attn,max,symmetric,linear
swatvlinear_(no mean)_normal_KL07_224043_64_0.0001_1_window_64,swat,1,normal_KL,vlinear,128,0,0.0001,0.4,0.425,0.475,0.525,0.4625,84301,64,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.13103492386114338,0.0,0.1,0.3,0.45,0.4625,0.03400367627183861,1.0,0.13818331956863403,7.236763475661849,0.5555763244628906,35.8359375,379.0202295780182,1.895101147890091,1088.0685721159136,1819.935546875,1,0,0,mul,linear_attn,max,symmetric,linear
