scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size,transformation
vlinear_batadal_ws_4_seed_1_numvars_43_02_191552_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.0,0.09523809523809523,0.05714285714285715,0.07023809523809524,0.06107142857142857,275845,4,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.32735914878772027,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.06107142857142857,0.023516349790794342,1.0,0.2567777293069022,3.894418735998691,1.824493408203125,23.89794921875,50.07836031913757,0.25039180159568786,6997.034203336201,1564.53125,1,0,0,mul,linear_attn,max,symmetric,linear,512,orthogonal
vlinear_batadal_ws_8_seed_1_numvars_43_02_191805_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.14285714285714285,0.23809523809523808,0.17142857142857146,0.17380952380952383,0.18170068027210884,277045,8,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.23131041890440382,0.0,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.18170068027210884,0.04320177811482815,1.0,0.27740464891706196,3.6048422544604817,1.829254150390625,26.37158203125,47.18864154815674,0.2359432077407837,3712.757864012798,3623.47021484375,1,0,0,mul,linear_attn,max,symmetric,linear,512,orthogonal
vlinear_batadal_ws_16_seed_1_numvars_43_02_192016_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.23809523809523808,0.17142857142857146,0.24404761904761904,0.2276530612244898,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.39009582327554676,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.2276530612244898,0.0774524675136797,1.0,0.20368163926260813,4.909622701488047,1.839141845703125,30.8828125,43.76481509208679,0.21882407546043395,1997.0380273765393,6619.3837890625,1,0,0,mul,linear_attn,max,symmetric,linear,512,orthogonal
vlinear_batadal_ws_24_seed_1_numvars_43_02_192225_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.14285714285714285,0.14285714285714285,0.1619047619047619,0.3071428571428571,0.18085034013605442,281845,24,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11280279870505434,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.18085034013605442,0.047012856851440896,1.0,0.3348053864070347,2.9868097724815716,1.849517822265625,35.0224609375,45.67937612533569,0.22839688062667846,1278.4763049250341,6774.19482421875,1,0,0,mul,linear_attn,max,symmetric,linear,512,orthogonal
vlinear_batadal_ws_32_seed_1_numvars_43_02_192431_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.2857142857142857,0.23809523809523808,0.21904761904761902,0.24523809523809523,0.24418367346938777,284245,32,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11832482993197278,0.0,0.0,0.14285714285714285,0.7142857142857143,0.24418367346938777,0.045487637145123466,1.0,0.2836155891418457,3.5258992745277706,1.860382080078125,39.8408203125,44.75791144371033,0.22378955721855165,974.1294576453467,6818.23046875,1,0,0,mul,linear_attn,max,symmetric,linear,512,orthogonal
vlinear_batadal_ws_4_seed_2_numvars_43_02_192643_,batadal,2,normal_KL,vlinear,256,0,0.0001,0.0,0.09523809523809523,0.1142857142857143,0.14047619047619048,0.10215986394557823,275845,4,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.31111111111111117,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.10215986394557823,0.03742980920784087,1.0,0.32234277044023785,3.102287663018642,1.824493408203125,23.89794921875,53.192582845687866,0.2659629142284393,6587.384579848536,1564.53125,1,0,0,mul,linear_attn,max,symmetric,linear,512,orthogonal
vlinear_batadal_ws_8_seed_2_numvars_43_02_192923_,batadal,2,normal_KL,vlinear,256,0,0.0001,0.14285714285714285,0.14285714285714285,0.1142857142857143,0.1976190476190476,0.14931972789115647,277045,8,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.255328798185941,0.0,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.14931972789115647,0.03151686804628724,1.0,0.30672989572797504,3.2601973721102655,1.829254150390625,26.37158203125,47.664318561553955,0.23832159280776977,3675.705544258349,3623.47021484375,1,0,0,mul,linear_attn,max,symmetric,linear,512,orthogonal
vlinear_batadal_ws_16_seed_2_numvars_43_02_193152_,batadal,2,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.23809523809523808,0.14285714285714285,0.15833333333333335,0.19243197278911564,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.40425170068027205,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.19243197278911564,0.0855902301836624,1.0,0.48002893584115164,2.0832077513154625,1.839141845703125,30.8828125,45.25785279273987,0.22628926396369933,1931.1565751970552,6619.3837890625,1,0,0,mul,linear_attn,max,symmetric,linear,512,orthogonal
vlinear_batadal_ws_24_seed_2_numvars_43_02_193418_,batadal,2,normal_KL,vlinear,256,0,0.0001,0.0,0.047619047619047616,0.13333333333333333,0.1464285714285714,0.11477891156462583,281845,24,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1579571222428365,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.11477891156462583,0.052053344830455574,1.0,0.31583939279828754,3.1661661680012636,1.849517822265625,35.0224609375,45.425466775894165,0.22712733387947082,1285.6224524475554,6774.19482421875,1,0,0,mul,linear_attn,max,symmetric,linear,512,orthogonal
vlinear_batadal_ws_32_seed_2_numvars_43_02_193636_,batadal,2,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.23809523809523808,0.19047619047619047,0.26904761904761904,0.25394557823129255,284245,32,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11353458049886621,0.0,0.0,0.0,0.8571428571428571,0.25394557823129255,0.07549563964461539,1.0,0.32983551706586567,3.03181418694915,1.860382080078125,39.8408203125,45.407673835754395,0.22703836917877196,960.1901246407604,6818.23046875,1,0,0,mul,linear_attn,max,symmetric,linear,512,orthogonal
