scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size
vlinear_batadal_ws_4_seed_1_numvars_43_23_055443_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.0,0.09523809523809523,0.05714285714285715,0.2119047619047619,0.10656462585034013,72453,4,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.21209273182957394,0.0,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.10656462585034013,0.05468580718541159,1.0,0.11389245305742536,8.780213026896462,0.485626220703125,19.22802734375,24.754064559936523,0.12377032279968261,14155.251116501837,609.47412109375,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_8_seed_1_numvars_43_23_055600_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.14285714285714285,0.2857142857142857,0.19999999999999998,0.230952380952381,0.22931972789115646,73141,8,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.36961451247165533,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.22931972789115646,0.0560281211002043,1.0,0.14275741577148438,7.004890040883948,0.488433837890625,20.10595703125,22.817358255386353,0.11408679127693176,7678.364779964903,1410.9072265625,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_16_seed_1_numvars_43_23_055721_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.2857142857142857,0.14285714285714285,0.1142857142857143,0.17380952380952383,0.15931972789115648,74517,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.30437023294166154,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.15931972789115648,0.05255893430492634,1.0,0.12188042913164411,8.204762709851401,0.494415283203125,21.86572265625,20.145439863204956,0.10072719931602478,4338.450815344741,2550.82763671875,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_24_seed_1_numvars_43_23_055831_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.14285714285714285,0.09523809523809523,0.1619047619047619,0.22142857142857145,0.16906462585034016,75893,24,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.15079365079365076,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.16906462585034016,0.03801333898713096,1.0,0.18657619612557547,5.35974052835201,0.500885009765625,23.6240234375,20.442423582077026,0.10221211791038513,2856.804124301701,2622.60107421875,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_32_seed_1_numvars_43_23_055951_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.2857142857142857,0.23809523809523808,0.19047619047619047,0.2511904761904762,0.24620748299319728,77269,32,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09630102040816325,0.0,0.0,0.0,0.5714285714285714,0.24620748299319728,0.04452711267064176,1.0,0.3435030664716448,2.911182162860101,0.507843017578125,25.3837890625,19.825717449188232,0.09912858724594116,2199.1637937816577,2625.53662109375,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_4_seed_2_numvars_43_23_060103_,batadal,2,normal_KL,vlinear,128,0,0.0001,0.14285714285714285,0.09523809523809523,0.05714285714285715,0.0880952380952381,0.09431972789115646,72453,4,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.20522459996144207,0.0,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.09431972789115646,0.02657986445257354,1.0,0.16569202286856516,6.035293568678608,0.485626220703125,19.22802734375,29.43738293647766,0.14718691468238831,11903.232048722575,609.47412109375,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_8_seed_2_numvars_43_23_060240_,batadal,2,normal_KL,vlinear,128,0,0.0001,0.14285714285714285,0.2857142857142857,0.19999999999999998,0.22023809523809526,0.22195578231292515,73141,8,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2575396825396825,0.0,0.2857142857142857,0.7142857142857143,0.8571428571428571,0.22195578231292515,0.05822139008005083,1.0,0.15082195826939174,6.6303342794014295,0.488433837890625,20.10595703125,22.04196071624756,0.11020980358123779,7948.476192993878,1410.9072265625,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_16_seed_2_numvars_43_23_060405_,batadal,2,normal_KL,vlinear,128,0,0.0001,0.2857142857142857,0.14285714285714285,0.1142857142857143,0.16904761904761906,0.1482312925170068,74517,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4072629051620648,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.1482312925170068,0.05173195437920258,1.0,0.1687635694231306,5.92544945226159,0.494415283203125,21.86572265625,21.614317655563354,0.10807158827781677,4043.6159675623135,2550.82763671875,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_24_seed_2_numvars_43_23_060522_,batadal,2,normal_KL,vlinear,128,0,0.0001,0.14285714285714285,0.14285714285714285,0.1619047619047619,0.25,0.19717687074829932,75893,24,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12565708101422388,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.19717687074829932,0.04690254196499879,1.0,0.15978421483721053,6.2584404912513305,0.500885009765625,23.6240234375,20.392848253250122,0.10196424126625062,2863.749059216996,2622.60107421875,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_32_seed_2_numvars_43_23_060642_,batadal,2,normal_KL,vlinear,128,0,0.0001,0.14285714285714285,0.2857142857142857,0.21904761904761902,0.26904761904761904,0.24860544217687072,77269,32,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10781926406926408,0.0,0.0,0.14285714285714285,0.42857142857142855,0.24860544217687072,0.04059219927125259,1.0,0.18781604085649764,5.324358853693749,0.507843017578125,25.3837890625,22.607651710510254,0.11303825855255127,1928.550588017527,2625.53662109375,1,0,0,mul,linear_attn,max,symmetric,linear,512
