scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size
vlinear_swat_ws_4_seed_1_numvars_51_19_162025_,swat,1,normal_KL,vlinear,128,0,0.0001,0.2,0.3,0.3,0.35,0.3,106909,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09891228879948616,0.0,0.1,0.1,0.3,0.3,0.04472135954999579,1.0,0.5996256589889526,1.6677071519689985,0.6262550354003906,19.8525390625,663.3628995418549,3.316814497709274,9949.00378745644,742.6796875,1,0,0,mul,linear_attn,max,symmetric,mlp,512
vlinear_swat_ws_8_seed_1_numvars_51_19_163738_,swat,1,normal_KL,vlinear,128,0,0.0001,0.25,0.3,0.45,0.45,0.38500000000000006,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.054005415849284144,0.0,0.05,0.05,0.05,0.38500000000000006,0.08381527307120105,1.0,0.6147737026214599,1.6266147945754585,0.6311378479003906,20.8603515625,1382.2656981945038,6.911328490972519,7162.009455151047,1631.78955078125,1,0,0,mul,linear_attn,max,symmetric,mlp,512
vlinear_swat_ws_12_seed_1_numvars_51_19_171040_,swat,1,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.3,0.5,0.355,109373,12,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.06189831482313528,0.0,0.0,0.05,0.15,0.355,0.10111874208078343,1.0,0.36588881015777586,2.7330707368962375,0.6361427307128906,21.8701171875,1224.9749913215637,6.124874956607819,5387.701828002063,2536.8291015625,1,0,0,mul,linear_attn,max,symmetric,mlp,512
vlinear_swat_ws_16_seed_1_numvars_51_19_173842_,swat,1,normal_KL,vlinear,128,0,0.0001,0.3,0.3,0.3,0.35,0.31500000000000006,110605,16,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08535477432351875,0.0,0.05,0.1,0.3,0.31500000000000006,0.022912878474779196,1.0,0.3814568042755127,2.621528804288245,0.6412696838378906,22.87744140625,1152.8945667743683,5.764472833871841,4293.367444560713,3463.3515625,1,0,0,mul,linear_attn,max,symmetric,mlp,512
vlinear_swat_ws_4_seed_2_numvars_51_19_220334_,swat,2,normal_KL,vlinear,128,0,0.0001,0.2,0.25,0.3,0.4,0.31999999999999995,106909,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1255356870883944,0.0,0.1,0.3,0.5,0.31999999999999995,0.07141428428542851,1.0,0.37159425020217896,2.691107301730085,0.6262550354003906,19.8525390625,652.546085357666,3.26273042678833,10113.921680156267,742.66796875,1,0,0,mul,linear_attn,max,symmetric,mlp,512
vlinear_swat_ws_8_seed_2_numvars_51_19_222033_,swat,2,normal_KL,vlinear,128,0,0.0001,0.2,0.25,0.35,0.45,0.35000000000000003,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09107961464578981,0.05,0.05,0.05,0.15,0.35000000000000003,0.08660254037844388,1.0,0.2961019277572632,3.377215432449918,0.6311378479003906,20.8603515625,1340.7685279846191,6.703842639923096,7383.675700443922,1631.79052734375,1,0,0,mul,linear_attn,max,symmetric,mlp,512
vlinear_swat_ws_12_seed_2_numvars_51_19_225201_,swat,2,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.3,0.45,0.35000000000000003,109373,12,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1413615730817743,0.05,0.1,0.25,0.3,0.35000000000000003,0.09219544457292889,1.0,0.31854513883590696,3.139272517717286,0.6361427307128906,21.8701171875,1203.5037841796875,6.017518920898437,5483.821560642991,2536.830078125,1,0,0,mul,linear_attn,max,symmetric,mlp,512
vlinear_swat_ws_16_seed_2_numvars_51_19_231931_,swat,2,normal_KL,vlinear,128,0,0.0001,0.25,0.3,0.35,0.4,0.33999999999999997,110605,16,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10912371143349402,0.0,0.1,0.15,0.35,0.33999999999999997,0.058309518948453015,1.0,0.27292718887329104,3.6639808739035495,0.6412696838378906,22.87744140625,1141.3839843273163,5.706919921636581,4336.665020682942,3463.3505859375,1,0,0,mul,linear_attn,max,symmetric,mlp,512
vlinear_swat_ws_4_seed_3_numvars_51_19_234505_,swat,3,normal_KL,vlinear,128,0,0.0001,0.1,0.25,0.35,0.4,0.305,106909,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07941133548670001,0.0,0.0,0.2,0.25,0.305,0.09069178573608527,1.0,0.28316344022750856,3.5315293499632117,0.6262550354003906,19.8525390625,666.1675131320953,3.3308375656604765,9907.117759270432,742.6796875,1,0,0,mul,linear_attn,max,symmetric,mlp,512
vlinear_swat_ws_8_seed_3_numvars_51_20_000218_,swat,3,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.3,0.35,0.305,108141,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08220860570418512,0.0,0.05,0.1,0.25,0.305,0.04716990566028301,1.0,0.20281506776809693,4.930600132448844,0.6311378479003906,20.8603515625,1336.0089130401611,6.680044565200806,7409.980504899825,1631.79052734375,1,0,0,mul,linear_attn,max,symmetric,mlp,512
vlinear_swat_ws_12_seed_3_numvars_51_20_003403_,swat,3,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.35,0.4,0.325,109373,12,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12594101148439968,0.05,0.05,0.15,0.35,0.325,0.05590169943749474,1.0,0.30543859004974366,3.2739805400396205,0.6361427307128906,21.8701171875,1204.5104262828827,6.022552131414414,5479.238581908313,2536.830078125,1,0,0,mul,linear_attn,max,symmetric,mlp,512
vlinear_swat_ws_16_seed_3_numvars_51_20_010122_,swat,3,normal_KL,vlinear,128,0,0.0001,0.2,0.3,0.4,0.4,0.34500000000000003,110605,16,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12769739039688108,0.05,0.1,0.15,0.35,0.34500000000000003,0.07228416147400482,1.0,0.2766498804092407,3.6146771454255715,0.6412696838378906,22.87744140625,1146.429630279541,5.7321481513977055,4317.578566765636,3463.3515625,1,0,0,mul,linear_attn,max,symmetric,mlp,512
