scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size
wadivlinear_(no mean)_normal_KL11_122436_8_0.0001_1_window_8,wadi,1,normal_KL,vlinear,128,0,0.0001,0.125,0.25,0.375,0.375,0.3125,69248,8,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08503788293664491,0.0,0.125,0.125,0.125,0.3125,0.10077822185373188,1.0,0.24286320805549622,4.1175442258487,0.6370048522949219,20.4287109375,227.93234491348267,1.1396617245674134,5301.5731508342,2333.51171875,1,0,0,mul,none,split_diff,bipartite,mlp,512
wadivlinear_(no mean)_normal_KL11_122934_8_0.0001_1_window_8,wadi,1,normal_KL,vlinear,128,0,0.0001,0.125,0.25,0.25,0.375,0.2625,69248,8,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08234767144170813,0.0,0.125,0.125,0.125,0.2625,0.0875,1.0,0.282649427652359,3.537951618391165,0.6370048522949219,20.4287109375,229.5483729839325,1.1477418649196625,5264.249902065668,2333.51171875,1,0,0,mul,none,split_diff,bipartite,mlp,512
wadivlinear_(no mean)_normal_KL11_123441_8_0.0001_1_window_8,wadi,1,normal_KL,vlinear,128,0,0.0001,0.25,0.375,0.375,0.5,0.4125,69248,8,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10255201728174464,0.0,0.125,0.125,0.25,0.4125,0.08003905296791061,1.0,0.2511690557003021,3.9813821699167105,0.6370048522949219,20.4287109375,231.99087762832642,1.159954388141632,5208.825503630289,2333.51171875,1,0,0,mul,none,split_diff,bipartite,mlp,512
wadivlinear_(no mean)_normal_KL11_124304_8_0.0001_1_window_8,wadi,1,normal_KL,vlinear,128,0,0.0001,0.25,0.375,0.375,0.5,0.375,69248,8,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10695436507936507,0.0,0.125,0.125,0.375,0.375,0.05590169943749474,1.0,0.2526187002658844,3.9585351319893864,0.6370048522949219,20.4287109375,229.71580123901367,1.1485790061950683,5260.41305596862,2333.51171875,1,0,0,mul,none,split_diff,bipartite,mlp,512
wadivlinear_(no mean)_normal_KL11_124811_8_0.0001_1_window_8,wadi,1,normal_KL,vlinear,128,0,0.0001,0.375,0.375,0.375,0.5,0.4125,69248,8,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.16533780388197383,0.125,0.125,0.125,0.25,0.4125,0.057282196186948006,1.0,0.3066042363643646,3.2615335386677846,0.6370048522949219,20.4287109375,232.59353518486023,1.162967675924301,5195.329264158569,2333.51171875,1,0,0,mul,none,split_diff,bipartite,mlp,512
wadivlinear_(no mean)_normal_KL11_125332_8_0.0001_1_window_8,wadi,1,normal_KL,vlinear,128,0,0.0001,0.25,0.375,0.375,0.5,0.4125,69248,8,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10255201728174464,0.0,0.125,0.125,0.25,0.4125,0.08003905296791061,1.0,0.3010900914669037,3.3212650576710248,0.6370048522949219,20.4287109375,233.1817946434021,1.1659089732170105,5182.222745338973,2333.51171875,1,0,0,mul,none,split_diff,bipartite,mlp,512
vlinear_wadi_ws_8_seed_1_numvars_127_12_205820_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31666666666666665,35328,8,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12975106080815832,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31666666666666665,0.04013864859597431,1.0,0.2609844366709391,3.8316461040964094,0.5076103210449219,19.9111328125,4188.4788246154785,20.942394123077392,5771.068927922562,2206.43115234375,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_8_seed_1_numvars_127_12_221955_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31333333333333335,35328,8,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11879853071833023,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31333333333333335,0.03399346342395189,1.0,0.34299572308858234,2.9154882486442526,0.5076103210449219,19.9111328125,1761.4481618404388,20.96962097429094,5763.575800829977,2206.43115234375,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_8_seed_1_numvars_127_12_225717_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31666666666666665,35328,8,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11767746882521012,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31666666666666665,0.03726779962499649,1.0,0.28809579213460285,3.4710677049138727,0.5076103210449219,19.9111328125,1278.8778111934662,20.96521001956502,5764.78842268748,2206.43115234375,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_8_seed_1_numvars_127_12_232549_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.36666666666666664,0.32999999999999996,35328,8,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11951894883009434,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.32999999999999996,0.03785938897200181,1.0,0.2167515277862549,4.613577630632111,0.5076103210449219,19.9111328125,962.6245064735413,20.92661970594655,5775.419140706044,2206.43115234375,1,0,0,mul,gate,max,symmetric,linear,512
