scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size
vlinear_wadi_ws_4_seed_1_numvars_127_13_160153_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.125,0.25,0.25,0.25,0.2375,34304,4,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10493268322157409,0.0,0.125,0.125,0.125,0.2375,0.0375,1.0,0.27322593331336975,3.659974687882481,0.5035209655761719,18.8994140625,58.32147693634033,1.1664295387268067,10360.677262332661,1069.58642578125,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_8_seed_1_numvars_127_13_160352_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31666666666666665,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11767746882521012,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31666666666666665,0.03726779962499649,1.0,0.32370877265930176,3.089196476774152,0.5076103210449219,19.9111328125,1052.3387854099274,21.04677570819855,5742.447283881125,2206.43115234375,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_16_seed_1_numvars_127_13_162828_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.125,0.125,0.125,0.125,0.125,37376,16,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.16210130445666007,0.125,0.125,0.125,0.25,0.125,0.0,1.0,0.2889772355556488,3.460480193456029,0.5161552429199219,21.93505859375,1011.4229161739349,20.228458323478698,2987.326025229588,4490.677734375,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_4_seed_2_numvars_127_13_202527_,wadi,2,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.25,0.25,0.25,34304,4,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.16919432537843682,0.125,0.125,0.125,0.125,0.25,0.0,1.0,0.3939845561981201,2.53817055584569,0.5035209655761719,18.8994140625,55.95129728317261,1.1190259456634521,10799.570865030302,1069.58642578125,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_8_seed_2_numvars_127_13_202714_,wadi,2,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.43333333333333335,0.32666666666666666,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1194362399495227,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.32666666666666666,0.06289320754704404,1.0,0.5190892537434896,1.9264509769530977,0.5076103210449219,19.9111328125,1049.905636548996,20.99811273097992,5755.755364704141,2206.43115234375,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_16_seed_2_numvars_127_13_205157_,wadi,2,normal_KL,vlinear,128,0,0.0001,0.125,0.125,0.125,0.125,0.125,37376,16,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.16440790411441913,0.125,0.125,0.125,0.25,0.125,0.0,1.0,0.23514476418495178,4.252699410366015,0.5161552429199219,21.93505859375,1008.0014936923981,20.16002987384796,2997.465796337427,4490.677734375,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_4_seed_3_numvars_127_13_211301_,wadi,3,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.25,0.25,0.25,34304,4,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.16756588518301924,0.125,0.125,0.125,0.125,0.25,0.0,1.0,0.37129926681518555,2.693245285878118,0.5035209655761719,18.8994140625,57.99676179885864,1.1599352359771729,10418.685134449894,1069.58642578125,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_8_seed_3_numvars_127_13_211449_,wadi,3,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.43333333333333335,0.3333333333333333,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12039478776196044,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.3333333333333333,0.051639777949432225,1.0,0.265228271484375,3.7703371303647453,0.5076103210449219,19.9111328125,877.3509893417358,20.88930927004133,5785.734628063213,2206.43115234375,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_16_seed_3_numvars_127_13_213600_,wadi,3,normal_KL,vlinear,128,0,0.0001,0.125,0.125,0.125,0.125,0.125,37376,16,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1722150347176875,0.125,0.125,0.125,0.25,0.125,0.0,1.0,0.2686960995197296,3.7216766517541977,0.5161552429199219,21.93505859375,1008.5935347080231,20.17187069416046,2995.7062939875746,4490.677734375,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_6_seed_2_numvars_127_16_010251_,wadi,2,normal_KL,vlinear,128,0,0.0001,0.0,0.25,0.25,0.25,0.225,34816,6,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.170904922354777,0.125,0.125,0.125,0.125,0.225,0.07500000000000001,1.0,0.24519747495651245,4.078345424141734,0.5055503845214844,19.4658203125,109.34011626243591,2.1868023252487183,7368.750167286958,1637.38134765625,1,0,0,mul,gate,max,symmetric,linear,512
