scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size
vlinear_wadi_ws_4_seed_1_numvars_127_19_152301_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.125,0.25,0.25,0.25,0.225,34304,4,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08622146596890842,0.0,0.125,0.125,0.125,0.225,0.05,1.0,0.3821735084056854,2.6166125542602456,0.5035209655761719,18.8994140625,61.946961641311646,1.238939232826233,9754.31214042035,1069.58642578125,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_8_seed_1_numvars_127_19_152512_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31666666666666665,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12178381199003686,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31666666666666665,0.03415650255319865,1.0,0.5478997707366944,1.8251513386388558,0.5076103210449219,19.9111328125,1119.8627560138702,22.397255120277404,5396.196960339981,2206.43115234375,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_16_seed_1_numvars_127_19_155529_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.125,0.125,0.125,0.125,0.125,37376,16,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1672337366104883,0.125,0.125,0.125,0.375,0.125,0.0,1.0,0.7320985198020935,1.3659363773475839,0.5161552429199219,21.93505859375,1058.887860774994,21.177757215499877,2853.418300393602,4490.677734375,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_12_seed_1_numvars_127_19_183333_,wadi,1,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.31333333333333335,36352,12,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12525285059767818,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.31333333333333335,0.03399346342395189,1.0,0.5536268870035808,1.8062706553367451,0.5118217468261719,20.92333984375,1079.0623710155487,21.581247420310973,3733.4727891664656,3352.408203125,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_4_seed_2_numvars_127_19_191023_,wadi,2,normal_KL,vlinear,128,0,0.0001,0.125,0.25,0.25,0.25,0.225,34304,4,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09007074420677362,0.0,0.125,0.125,0.125,0.225,0.05,1.0,0.5566952526569366,1.7963149411231818,0.5035209655761719,18.8994140625,66.36376905441284,1.327275381088257,9105.118781071107,1069.58642578125,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_8_seed_2_numvars_127_19_191303_,wadi,2,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.4,0.31,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12205017477076302,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.31,0.039581140290126396,1.0,0.5818610191345215,1.7186234635333222,0.5076103210449219,19.9111328125,1138.5191371440887,22.770382742881775,5307.7720021101495,2206.43115234375,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_12_seed_2_numvars_127_19_194443_,wadi,2,normal_KL,vlinear,128,0,0.0001,0.26666666666666666,0.26666666666666666,0.3,0.36666666666666664,0.3,36352,12,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12442160075093714,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.3,0.029814239699997188,1.0,0.5264284769694011,1.899593285220635,0.5118217468261719,20.92333984375,1087.599621772766,21.75199243545532,3704.166422413222,3352.408203125,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_16_seed_2_numvars_127_19_201153_,wadi,2,normal_KL,vlinear,128,0,0.0001,0.125,0.125,0.125,0.125,0.125,37376,16,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1796974700811499,0.125,0.125,0.125,0.375,0.125,0.0,1.0,0.5938140153884888,1.684028962074554,0.5161552429199219,21.93505859375,1057.9048128128052,21.158096256256105,2856.0698121473065,4490.677734375,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_4_seed_3_numvars_127_19_203649_,wadi,3,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.25,0.25,0.25,34304,4,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1700949280334361,0.125,0.125,0.125,0.125,0.25,0.0,1.0,0.5473280847072601,1.8270577153643643,0.5035209655761719,18.8994140625,73.58834624290466,1.4717669248580934,8211.21863515531,1069.58642578125,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_8_seed_3_numvars_127_19_203946_,wadi,3,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.36666666666666664,0.30333333333333334,35328,8,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1268055500469617,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.30333333333333334,0.03480102169636849,1.0,0.40073879559834796,2.495391040208343,0.5076103210449219,19.9111328125,1145.4037568569183,22.90807513713837,5275.868848712777,2206.43115234375,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_12_seed_3_numvars_127_19_211107_,wadi,3,normal_KL,vlinear,128,0,0.0001,0.3333333333333333,0.26666666666666666,0.3,0.36666666666666664,0.30333333333333334,36352,12,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12028782079880881,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.30333333333333334,0.03144660377352201,1.0,0.7461491425832113,1.3402146339509853,0.5118217468261719,20.92333984375,1089.0440702438354,21.78088140487671,3699.2534187326237,3352.408203125,1,0,0,mul,gate,max,symmetric,linear,512
vlinear_wadi_ws_16_seed_3_numvars_127_19_213827_,wadi,3,normal_KL,vlinear,128,0,0.0001,0.125,0.125,0.125,0.125,0.125,37376,16,0,50,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.17546198115779396,0.125,0.125,0.125,0.375,0.125,0.0,1.0,0.9180663526058197,1.0892458885587317,0.5161552429199219,21.93505859375,1060.7922077178955,21.21584415435791,2848.2958095064714,4490.677734375,1,0,0,mul,gate,max,symmetric,linear,512
