scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb
aiopsvlinear_(no mean)_normal_KL07_222312_8_0.0001_1_window_8,aiops,1,normal_KL,vlinear,16,2,0.0001,0.5,0.4444444444444442,0.4000000000000007,0.5555555555555557,0.4564682539682539,152846,8,0,200,0,0,16,2,20,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4166666666666667,0.16666666666666666,0.6666666666666666,1.0,1.0,0.4564682539682539,0.05387744753124195,0.0712290502793296,0.04678566315594841,21.374069160177292,0.7756729125976562,20.0849609375
aiopsGVAR_(no mean)_normal_KL07_222440_8_0.0001_1_window_8,aiops,1,normal_KL,GVAR,256,2,0.0001,0.5,0.4444444444444442,0.4000000000000007,0.5555555555555557,0.4564682539682539,495600,8,0,200,0,0,256,2,20,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4166666666666667,0.16666666666666666,0.6666666666666666,1.0,1.0,0.4564682539682539,0.05387744753124195,0.0712290502793296,0.04245468214446423,23.554528016420267,2.0829315185546875,25.03564453125
aiopscLSTM_(no mean)_normal_KL07_222903_8_0.0001_1_window_8,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.5,0.4444444444444442,0.4000000000000007,0.5555555555555557,0.4564682539682539,1538580,8,0,200,0,0,256,2,20,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4166666666666667,0.16666666666666666,0.6666666666666666,1.0,1.0,0.4564682539682539,0.05387744753124195,0.0712290502793296,0.06332968730552524,15.790382718544615,6.06158447265625,41.40234375
aiopsvlinear_(no mean)_normal_KL07_223519_30_0.0001_1_window_30,aiops,1,normal_KL,vlinear,16,2,0.0001,0.46153846153846156,0.4287749287749281,0.3914529914529921,0.5534188034188036,0.4457615995115998,169786,30,0,200,0,0,16,2,20,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4143162393162394,0.16666666666666666,0.6452991452991453,0.9957264957264957,1.0,0.4457615995115998,0.05509700807549865,0.16595744680851063,0.045146436772794805,22.15014232535399,0.8434829711914062,20.7861328125
aiopsGVAR_(no mean)_normal_KL07_223745_30_0.0001_1_window_30,aiops,1,normal_KL,GVAR,256,2,0.0001,0.46153846153846156,0.41737891737891686,0.3846153846153853,0.5462962962962958,0.43829619454619484,2053200,30,0,200,0,0,256,2,20,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.41571021571021577,0.17094017094017094,0.6367521367521367,0.9871794871794872,1.0,0.43829619454619484,0.05514256861592876,0.16595744680851063,0.04218782930292635,23.703518681171758,8.024703979492188,48.88623046875
aiopscLSTM_(no mean)_normal_KL07_224225_30_0.0001_1_window_30,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.45726495726495725,0.4202279202279197,0.3880341880341887,0.5584045584045585,0.44373066748066786,1538580,30,0,200,0,0,256,2,20,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.41331908831908837,0.16666666666666666,0.6410256410256411,0.9871794871794872,1.0,0.44373066748066786,0.058438402401952035,0.16595744680851063,0.048803295844640486,20.49041940084091,6.06158447265625,41.2587890625
aiopsvlinear_(no mean)_normal_KL07_224745_30_0.0001_2_window_30,aiops,2,normal_KL,vlinear,16,2,0.0001,0.45726495726495725,0.41452991452991406,0.3829059829059836,0.5534188034188036,0.43984991859991884,169786,30,0,200,0,0,16,2,20,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.41061253561253563,0.16666666666666666,0.6239316239316239,0.9957264957264957,1.0,0.43984991859991884,0.0573816346284332,0.16595744680851063,0.054876007585444,18.222900024987467,0.8434829711914062,20.7861328125
aiopsGVAR_(no mean)_normal_KL07_225016_30_0.0001_2_window_30,aiops,2,normal_KL,GVAR,256,2,0.0001,0.4658119658119658,0.4230769230769225,0.386324786324787,0.5471866096866093,0.44034696784696814,2053200,30,0,200,0,0,256,2,20,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.42143874643874646,0.1752136752136752,0.6495726495726496,0.9871794871794872,1.0,0.44034696784696814,0.053767694943917914,0.16595744680851063,0.048142011349017806,20.77187828215661,8.024703979492188,48.88623046875
aiopscLSTM_(no mean)_normal_KL07_225559_30_0.0001_2_window_30,aiops,2,normal_KL,cLSTM,256,2,0.0001,0.46153846153846156,0.41880341880341826,0.37948717948718014,0.5470085470085466,0.43700498575498603,1538580,30,0,200,0,0,256,2,20,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4160765160765161,0.17094017094017094,0.6410256410256411,0.9786324786324786,1.0,0.43700498575498603,0.05611015648542143,0.16595744680851063,0.04933518527919411,20.269509364176347,6.06158447265625,41.2587890625
aiopsvlinear_(no mean)_normal_KL07_230103_30_0.0001_3_window_30,aiops,3,normal_KL,vlinear,16,2,0.0001,0.5,0.44301994301994274,0.40000000000000047,0.5544871794871796,0.4554558404558409,169786,30,0,200,0,0,16,2,20,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4228632478632479,0.16666666666666666,0.6666666666666666,1.0,1.0,0.4554558404558409,0.05389802565270814,0.16595744680851063,0.07772268902542245,12.866255819750501,0.8434829711914062,20.7861328125
