scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta
aiopsvlinear_(no mean)_normal_KL04_060953_30_0.0001_1_window_30,aiops,1,normal_KL,vlinear,16,2,0.0001,0.1450381679389313,0.24045801526717564,0.20057251908396953,0.4362186477644496,0.28759011874469914,178008,30,0,100,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
aiopsvlinear_(no mean)_normal_KL04_061224_30_0.0001_1_window_30,aiops,1,normal_KL,vlinear,16,2,0.0001,0.1450381679389313,0.2264631043257,0.22270992366412257,0.432020174482007,0.2891765115715501,178008,30,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
aiopsGVAR_(no mean)_normal_KL04_061341_30_0.0001_1_window_30,aiops,1,normal_KL,GVAR,256,2,0.0001,0.14122137404580154,0.2620865139949113,0.23358778625954224,0.35276717557251963,0.2639381134133044,3960820,30,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
aiopscLSTM_(no mean)_normal_KL04_061537_30_0.0001_1_window_30,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.0916030534351145,0.22391857506361362,0.20152671755725204,0.2905398037077428,0.2205806979280262,2461470,30,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
aiopsvlinear_(no mean)_normal_KL04_061848_10_0.0001_1_window_10,aiops,1,normal_KL,vlinear,16,2,0.0001,0.0967741935483871,0.23118279569892447,0.21223118279569853,0.4092549923195082,0.26811059907834084,162608,10,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
aiopsGVAR_(no mean)_normal_KL04_061930_10_0.0001_1_window_10,aiops,1,normal_KL,GVAR,256,2,0.0001,0.10483870967741936,0.23118279569892458,0.19852150537634378,0.36758832565284155,0.24096038146441362,1229220,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
aiopscLSTM_(no mean)_normal_KL04_062043_10_0.0001_1_window_10,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.08064516129032258,0.21505376344086005,0.1659946236559138,0.2950076804915515,0.2041055427547363,2461470,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
aiopsvlinear_(no mean)_normal_KL04_062319_20_0.0001_1_window_20,aiops,1,normal_KL,vlinear,16,2,0.0001,0.10837438423645321,0.21182266009852213,0.20960591133004938,0.4176108374384244,0.2723490890609119,170308,20,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
aiopsGVAR_(no mean)_normal_KL04_062415_20_0.0001_1_window_20,aiops,1,normal_KL,GVAR,256,2,0.0001,0.10344827586206896,0.24137931034482774,0.2149425287356321,0.36767534600046925,0.2503956525138791,2595020,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
aiopscLSTM_(no mean)_normal_KL04_062550_20_0.0001_1_window_20,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.06403940886699508,0.20853858784893264,0.1737274220032838,0.2812749237626082,0.20096586910626307,2461470,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
