scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb
aiopsvlinear_(no mean)_normal_KL06_115752_6_0.0001_1_window_6,aiops,1,normal_KL,vlinear,16,2,0.0001,0.3277310924369748,0.3949579831932772,0.43529411764705894,0.49042950513538786,0.42609076964118986,158986,6,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.39655172413793105,0.24369747899159663,0.44537815126050423,0.7815126050420168,0.7815126050420168,0.42609076964118986,0.056607963316375895,0.08298465829846582,0.058025692691322135,17.23374515009542,0.6064834594726562,20.27783203125
aiopsvlinear_(no mean)_normal_KL06_120111_6_0.0001_1_window_6,aiops,1,normal_KL,vlinear,16,2,0.0001,0.3277310924369748,0.3949579831932772,0.43529411764705894,0.49042950513538786,0.42609076964118986,158986,6,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.39655172413793105,0.24369747899159663,0.44537815126050423,0.7815126050420168,0.7815126050420168,0.42609076964118986,0.056607963316375895,0.08298465829846582,0.057957547051565986,17.254008336658554,0.6064834594726562,20.27783203125
aiopsGVAR_(no mean)_normal_KL06_120247_6_0.0001_1_window_6,aiops,1,normal_KL,GVAR,256,2,0.0001,0.2184873949579832,0.2941176470588235,0.33109243697479,0.3914565826330536,0.32537781779378416,682900,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3013478493004293,0.13445378151260504,0.3697478991596639,0.6386554621848739,0.6890756302521008,0.32537781779378416,0.0587932275931989,0.08298465829846582,0.056493975535160355,17.701002461362034,2.6050567626953125,27.904296875
aiopscLSTM_(no mean)_normal_KL06_120525_6_0.0001_1_window_6,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.23529411764705882,0.3081232492997198,0.34117647058823536,0.4170168067226895,0.3341376550620248,2461470,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3106627764842775,0.15126050420168066,0.3697478991596639,0.6302521008403361,0.7142857142857143,0.3341376550620248,0.05645949232317657,0.08298465829846582,0.057753434702127925,17.314987500875944,9.389762878417969,56.11572265625
aiopsvlinear_(no mean)_normal_KL06_121122_10_0.0001_1_window_10,aiops,1,normal_KL,vlinear,16,2,0.0001,0.29411764705882354,0.36414565826330514,0.4033613445378152,0.45494864612511704,0.3924286381219154,162066,10,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.36195788660291695,0.21008403361344538,0.42016806722689076,0.7310924369747899,0.7310924369747899,0.3924286381219154,0.056042135629578355,0.08321678321678322,0.06175320689417735,16.193490998996023,0.6182327270507812,20.4453125
aiopsGVAR_(no mean)_normal_KL06_121308_10_0.0001_1_window_10,aiops,1,normal_KL,GVAR,256,2,0.0001,0.21008403361344538,0.26610644257703087,0.3126050420168069,0.3795518207282915,0.3036294517807123,1229220,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2773360347662071,0.12605042016806722,0.31932773109243695,0.5798319327731093,0.6638655462184874,0.3036294517807123,0.056931919449134845,0.08321678321678322,0.061869114386935195,16.163153617262193,4.6891021728515625,36.2646484375
aiopscLSTM_(no mean)_normal_KL06_121605_10_0.0001_1_window_10,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.23529411764705882,0.3109243697478992,0.3495798319327733,0.38818860877684425,0.3313298652794451,2461470,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3157672425131133,0.15126050420168066,0.3697478991596639,0.6638655462184874,0.6638655462184874,0.3313298652794451,0.04826983674699958,0.08321678321678322,0.13219121524265834,7.564799205184236,9.389762878417969,56.16015625
aiopsvlinear_(no mean)_normal_KL06_122329_20_0.0001_1_window_20,aiops,1,normal_KL,vlinear,16,2,0.0001,0.24369747899159663,0.3249299719887954,0.36302521008403366,0.41461251167133545,0.35038115246098445,169766,20,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3196913248057844,0.15966386554621848,0.42016806722689076,0.680672268907563,0.680672268907563,0.35038115246098445,0.05772759985761597,0.08380281690140845,0.0705488749912807,14.17457046797121,0.6476058959960938,20.86376953125
aiopsGVAR_(no mean)_normal_KL06_122548_20_0.0001_1_window_20,aiops,1,normal_KL,GVAR,256,2,0.0001,0.2605042016806723,0.29971988795518195,0.31260504201680683,0.37817460317460344,0.31561824729891963,2595020,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.32267780797403717,0.16806722689075632,0.3949579831932773,0.5966386554621849,0.6722689075630253,0.31561824729891963,0.03651277024310402,0.08380281690140845,0.12487406690581505,8.008067846098417,9.899215698242188,57.1650390625
aiopscLSTM_(no mean)_normal_KL06_122934_20_0.0001_1_window_20,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.24369747899159663,0.3109243697478992,0.3378151260504203,0.3599673202614381,0.32078864879285046,2461470,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.297952541838219,0.15126050420168066,0.3445378151260504,0.5378151260504201,0.6302521008403361,0.32078864879285046,0.034067481218796,0.08380281690140845,0.0809418714347006,12.35454508618255,9.389762878417969,56.27099609375
