scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta
gaiavlinear_(no mean)_normal_KL30_142932_10_0.0001_7_window_10 (no orth) (101 var),gaia,7,normal_KL,vlinear,256,2,0.0001,0.6857142857142857,0.6730158730158731,0.6876190476190477,0.7200000000000006,0.6978953136810282,217207,10,0,60,0,0,256,2,101,0,vlinear,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.5
gaiavlinear_(no mean)_normal_KL30_144512_10_0.0001_7_window_10 (with orth) (101 var),gaia,7,normal_KL,vlinear,256,2,0.0001,0.638095238095238,0.6730158730158726,0.6895238095238098,0.7142857142857135,0.6898102796674225,217207,10,0,60,0,0,256,2,101,0,vlinear,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.5
gaiavlinear_(no mean)_normal_KL30_151037_10_0.0001_7_window_10 (no orth) (248 var),gaia,7,normal_KL,vlinear,256,2,0.0001,0.7333333333333333,0.7460317460317458,0.7371428571428579,0.7685714285714292,0.7477275132275134,330250,10,0,60,0,0,256,2,248,0,vlinear,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.5
gaiavlinear_(no mean)_normal_KL30_154945_10_0.0001_7_window_10 (no orth) (248 var) (beta 0.01),gaia,7,normal_KL,vlinear,256,2,0.0001,0.7333333333333333,0.7111111111111109,0.7295238095238101,0.7542857142857146,0.7329822373393803,330250,10,0,60,0,0,256,2,248,0,vlinear,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01
gaiavlinear_(no mean)_normal_KL30_163108_10_0.0001_7_window_10 (with orth) (248 var) (beta 0.01),gaia,7,normal_KL,vlinear,256,2,0.0001,0.7333333333333333,0.7111111111111109,0.7295238095238101,0.7542857142857146,0.7329822373393803,330250,10,0,60,0,0,256,2,248,0,vlinear,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01
gaiavlinear_(no mean)_normal_KL01_162357_10_0.0001_7_window_10 (with orth) (50 var) (beta 0.01),gaia,7,normal_KL,vlinear,256,2,0.0001,0.780952380952381,0.717460317460317,0.7657142857142869,0.7580952380952385,0.7505593348450494,177988,10,0,60,0,0,256,2,50,0,vlinear,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01
gaiavlinear_(no mean)_normal_KL01_163543_10_0.0001_7_window_10 (no orth) (50 var) (beta 0.01),gaia,7,normal_KL,vlinear,256,2,0.0001,0.780952380952381,0.717460317460317,0.7657142857142869,0.7580952380952385,0.7505593348450494,177988,10,0,60,0,0,256,2,50,0,vlinear,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01
gaiarcd_(no mean)_normal_KL02_143930_20_0.0001_7_window_20,gaia,7,normal_KL,rcd,256,2,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,20,0,60,0,0,256,2,50,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiavlinear_(no mean)_normal_KL01_204049_20_0.0001_7_window_20,gaia,7,normal_KL,vlinear,256,2,0.0001,1.0,0.8952380952380967,0.813333333333335,0.7999999999999994,0.8515714285714286,185688,20,0,200,0,0,256,2,50,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiansigma_(no mean)_normal_KL02_144525_20_0.0001_7_window_20,gaia,7,normal_KL,nsigma,256,2,0.0001,0.7428571428571429,0.7428571428571428,0.752380952380953,0.753333333333334,0.7512328042328046,0,20,0,60,0,0,256,2,50,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiabaro_(no mean)_normal_KL02_144842_20_0.0001_7_window_20,gaia,7,normal_KL,baro,256,2,0.0001,0.6857142857142857,0.7111111111111111,0.7314285714285721,0.7447619047619055,0.7269520030234321,0,20,0,60,0,0,256,2,50,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiabaro_(no mean)_normal_KL02_151212_20_0.0001_7_window_20,gaia,7,normal_KL,baro,256,2,0.0001,0.6857142857142857,0.7111111111111111,0.7314285714285721,0.7447619047619055,0.7269520030234321,0,20,0,60,0,0,256,2,50,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiarcd_(no mean)_normal_KL02_152205_20_0.0001_7_window_20,gaia,7,normal_KL,rcd,256,2,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,20,0,60,0,0,256,2,50,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiarcd_(no mean)_normal_KL02_152311_20_0.0001_7_window_20,gaia,7,normal_KL,rcd,256,2,0.0001,0.6857142857142857,0.8952380952380967,0.8742857142857124,0.8428571428571429,0.8610283446712017,0,20,0,60,0,0,256,2,50,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiaGVAR_(no mean)_normal_KL02_032645_30_0.0001_7_window_30,gaia,7,normal_KL,GVAR,256,2,0.0001,0.6952380952380952,0.790476190476189,0.8552380952380946,0.8209523809523822,0.8186092214663644,20919092,30,0,200,0,0,256,2,50,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiacausalrca_(no mean)_normal_KL02_182641_20_0.0001_7_window_20,gaia,7,normal_KL,causalrca,256,2,0.0001,0.9142857142857143,0.8539682539682548,0.8476190476190468,0.7923809523809539,0.8272464096749813,6540,20,0,60,0,0,256,2,50,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiacausalrca_(no mean)_normal_KL02_185231_20_0.0001_7_window_20,gaia,7,normal_KL,causalrca,256,2,0.0001,0.9047619047619048,0.8571428571428579,0.8514285714285706,0.7923809523809539,0.828897203325775,6540,20,0,60,0,0,256,2,50,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiatorai_(no mean)_normal_KL02_192851_20_0.0001_7_window_20,gaia,7,normal_KL,torai,256,2,0.0001,0.780952380952381,0.7523809523809518,0.7447619047619056,0.745714285714286,0.7526851851851856,0,20,0,60,0,0,256,2,50,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
gaiacLSTM_(no mean)_normal_KL02_203133_20_0.0001_7_window_20,gaia,7,normal_KL,cLSTM,256,2,0.0001,0.6857142857142857,0.790476190476189,0.7676190476190488,0.8238095238095235,0.7804486016628875,15782450,20,0,60,0,0,256,2,50,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
