scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage
gaiavlinear_(no mean)_normal_KL06_000126_6_0.0001_1_window_6,gaia,1,normal_KL,vlinear,16,2,0.0001,0.9904761904761905,0.8888888888888903,0.8514285714285706,0.7923809523809539,0.8476273620559338,174346,6,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiaGVAR_(no mean)_normal_KL06_001727_6_0.0001_1_window_6,gaia,1,normal_KL,GVAR,256,2,0.0001,0.8761904761904762,0.8095238095238091,0.7847619047619048,0.7704761904761901,0.7930937263794406,3606740,6,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiatorai_(no mean)_normal_KL06_003252_6_0.0001_1_window_6,gaia,1,normal_KL,torai,256,2,0.0001,0.7523809523809524,0.7396825396825392,0.7295238095238101,0.7323809523809525,0.7341591080876797,0,6,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiacLSTM_(no mean)_normal_KL06_003354_6_0.0001_1_window_6,gaia,1,normal_KL,cLSTM,256,2,0.0001,0.6857142857142857,0.8222222222222216,0.7923809523809539,0.7923809523809539,0.7942906273620562,15782450,6,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiavlinear_(no mean)_normal_KL06_014056_10_0.0001_1_window_10,gaia,1,normal_KL,vlinear,16,2,0.0001,0.9142857142857143,0.8666666666666674,0.8533333333333326,0.7923809523809539,0.8342067271352989,177426,10,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiaGVAR_(no mean)_normal_KL06_015315_10_0.0001_1_window_10,gaia,1,normal_KL,GVAR,256,2,0.0001,0.780952380952381,0.717460317460317,0.7657142857142869,0.7933333333333337,0.7667815570672716,6492132,10,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiatorai_(no mean)_normal_KL06_020625_10_0.0001_1_window_10,gaia,1,normal_KL,torai,256,2,0.0001,0.7523809523809524,0.7460317460317453,0.7352380952380959,0.7409523809523816,0.7422600151171582,0,10,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiacLSTM_(no mean)_normal_KL06_020731_10_0.0001_1_window_10,gaia,1,normal_KL,cLSTM,256,2,0.0001,0.6857142857142857,0.790476190476189,0.7485714285714294,0.7799999999999991,0.7623129251700679,15782450,10,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiavlinear_(no mean)_normal_KL06_025504_20_0.0001_1_window_20,gaia,1,normal_KL,vlinear,16,2,0.0001,0.6952380952380952,0.7619047619047609,0.8361904761904753,0.7923809523809539,0.776396447467876,185126,20,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiaGVAR_(no mean)_normal_KL06_030508_20_0.0001_1_window_20,gaia,1,normal_KL,GVAR,256,2,0.0001,0.819047619047619,0.790476190476189,0.8285714285714294,0.842857142857143,0.8191534391534392,13705612,20,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiatorai_(no mean)_normal_KL06_031632_20_0.0001_1_window_20,gaia,1,normal_KL,torai,256,2,0.0001,0.7238095238095238,0.717460317460317,0.7219047619047623,0.7409523809523814,0.7279429327286472,0,20,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiacLSTM_(no mean)_normal_KL06_031737_20_0.0001_1_window_20,gaia,1,normal_KL,cLSTM,256,2,0.0001,0.6857142857142857,0.7587301587301577,0.7923809523809539,0.7704761904761901,0.77236470143613,15782450,20,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiavlinear_(no mean)_normal_KL06_035445_30_0.0001_1_window_30,gaia,1,normal_KL,vlinear,16,2,0.0001,0.9047619047619048,0.8888888888888903,0.8514285714285706,0.7923809523809539,0.8506035525321242,192826,30,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiaGVAR_(no mean)_normal_KL06_040400_30_0.0001_1_window_30,gaia,1,normal_KL,GVAR,256,2,0.0001,0.6857142857142857,0.790476190476189,0.7676190476190488,0.7800000000000005,0.7730650037792898,20919092,30,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiatorai_(no mean)_normal_KL06_041507_30_0.0001_1_window_30,gaia,1,normal_KL,torai,256,2,0.0001,0.7714285714285715,0.7492063492063485,0.7352380952380959,0.7419047619047622,0.7428786848072565,0,30,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiacLSTM_(no mean)_normal_KL06_041614_30_0.0001_1_window_30,gaia,1,normal_KL,cLSTM,256,2,0.0001,0.6857142857142857,0.790476190476189,0.7485714285714294,0.7485714285714294,0.7529739229024945,15782450,30,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
----with new prerprocessing------
gaiavlinear_(no mean)_normal_KL06_052754_6_0.0001_1_window_6,gaia,1,normal_KL,vlinear,16,2,0.0001,0.9904761904761905,0.8634920634920641,0.8361904761904753,0.7914285714285728,0.8370362811791386,174346,6,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiaGVAR_(no mean)_normal_KL06_054401_6_0.0001_1_window_6,gaia,1,normal_KL,GVAR,256,2,0.0001,0.6857142857142857,0.7650793650793646,0.7904761904761901,0.8066666666666666,0.7731572184429327,3606740,6,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiatorai_(no mean)_normal_KL06_055938_6_0.0001_1_window_6,gaia,1,normal_KL,torai,256,2,0.0001,0.7523809523809524,0.7396825396825392,0.7295238095238101,0.7323809523809525,0.7341591080876797,0,6,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiacLSTM_(no mean)_normal_KL06_060041_6_0.0001_1_window_6,gaia,1,normal_KL,cLSTM,256,2,0.0001,0.6857142857142857,0.7587301587301577,0.7485714285714294,0.8114285714285732,0.7564195011337871,15782450,6,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiavlinear_(no mean)_normal_KL06_070831_10_0.0001_1_window_10,gaia,1,normal_KL,vlinear,16,2,0.0001,1.0,0.8666666666666674,0.8552380952380946,0.7923809523809539,0.8414210128495846,177426,10,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiaGVAR_(no mean)_normal_KL06_072045_10_0.0001_1_window_10,gaia,1,normal_KL,GVAR,256,2,0.0001,0.6857142857142857,0.6857142857142857,0.7219047619047624,0.7666666666666662,0.7213835978835981,6492132,10,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiatorai_(no mean)_normal_KL06_073339_10_0.0001_1_window_10,gaia,1,normal_KL,torai,256,2,0.0001,0.7523809523809524,0.7460317460317453,0.7352380952380959,0.7409523809523816,0.7422600151171582,0,10,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiacLSTM_(no mean)_normal_KL06_073443_10_0.0001_1_window_10,gaia,1,normal_KL,cLSTM,256,2,0.0001,0.780952380952381,0.790476190476189,0.7923809523809539,0.7704761904761901,0.791465230536659,15782450,10,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiavlinear_(no mean)_normal_KL06_082218_20_0.0001_1_window_20,gaia,1,normal_KL,vlinear,16,2,0.0001,0.819047619047619,0.8634920634920641,0.8552380952380946,0.7933333333333348,0.819297808012094,185126,20,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiaGVAR_(no mean)_normal_KL06_083227_20_0.0001_1_window_20,gaia,1,normal_KL,GVAR,256,2,0.0001,0.9047619047619048,0.761904761904761,0.7923809523809525,0.8019047619047629,0.8089315948601665,13705612,20,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiatorai_(no mean)_normal_KL06_084321_20_0.0001_1_window_20,gaia,1,normal_KL,torai,256,2,0.0001,0.7238095238095238,0.717460317460317,0.7219047619047623,0.7409523809523814,0.7279429327286472,0,20,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiacLSTM_(no mean)_normal_KL06_084426_20_0.0001_1_window_20,gaia,1,normal_KL,cLSTM,256,2,0.0001,0.6857142857142857,0.7587301587301577,0.7295238095238101,0.7923809523809539,0.7487173091458806,15782450,20,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiavlinear_(no mean)_normal_KL06_092123_30_0.0001_1_window_30,gaia,1,normal_KL,vlinear,16,2,0.0001,0.780952380952381,0.8190476190476184,0.8533333333333326,0.7923809523809539,0.816428949357521,192826,30,0,200,0,0,16,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
gaiaGVAR_(no mean)_normal_KL06_093047_30_0.0001_1_window_30,gaia,1,normal_KL,GVAR,256,2,0.0001,0.8095238095238095,0.8317460317460328,0.8799999999999997,0.8371428571428563,0.8532108843537415,20919092,30,0,200,0,0,256,2,50,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A
