scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb
gaiavlinear_(no mean)_normal_KL06_162042_6_0.0001_1_window_6,gaia,1,normal_KL,vlinear,16,2,0.0001,0.9047619047619048,0.7587301587301577,0.7733333333333345,0.7916666666666666,0.791046485260771,158986,6,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9185941043083898,0.9047619047619048,0.9047619047619048,0.9047619047619048,1.0,0.791046485260771,0.03983571313999105,1.0,0.0798361165182931,12.52565935832897,1.368133544921875,20.83935546875
gaiaGVAR_(no mean)_normal_KL06_163335_6_0.0001_1_window_6,gaia,1,normal_KL,GVAR,256,2,0.0001,0.7333333333333333,0.8190476190476185,0.8019047619047629,0.8047619047619048,0.8013185941043085,1525140,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.85,0.7333333333333333,0.9904761904761905,1.0,1.0,0.8013185941043085,0.02483422655681867,1.0,0.07088736352466402,14.106886619532233,6.579597473144531,41.3193359375
gaiavlinear_(no mean)_normal_KL06_173042_10_0.0001_1_window_10,gaia,1,normal_KL,vlinear,16,2,0.0001,0.9142857142857143,0.7619047619047609,0.7752380952380965,0.7928571428571428,0.792858276643991,162066,10,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9265306122448979,0.9142857142857143,0.9142857142857143,0.9142857142857143,1.0,0.792858276643991,0.04275289678205417,1.0,0.060606708980741955,16.499823481881425,1.3798828125,21.00634765625
gaiaGVAR_(no mean)_normal_KL06_174016_10_0.0001_1_window_10,gaia,1,normal_KL,GVAR,256,2,0.0001,0.9142857142857143,0.806349206349206,0.8171428571428567,0.8154761904761905,0.8285226757369614,2745252,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9406802721088435,0.9142857142857143,0.9523809523809523,0.9619047619047619,1.0,0.8285226757369614,0.032627443359235495,1.0,0.06778327169872465,14.752902522095507,11.233955383300781,59.9609375
gaiavlinear_(no mean)_normal_KL06_175219_10_0.0001_2_window_10,gaia,2,normal_KL,vlinear,16,2,0.0001,0.9047619047619048,0.7587301587301577,0.7733333333333345,0.7916666666666666,0.790592970521542,162066,10,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9183673469387754,0.9047619047619048,0.9047619047619048,0.9047619047619048,1.0,0.790592970521542,0.040150745818682346,1.0,0.07204505602518717,13.880202961468958,1.3798828125,21.00634765625
gaiaGVAR_(no mean)_normal_KL06_180147_10_0.0001_2_window_10,gaia,2,normal_KL,GVAR,256,2,0.0001,0.8285714285714286,0.7904761904761897,0.7809523809523816,0.7857142857142857,0.788327664399093,2745252,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.8896825396825397,0.8285714285714286,0.9523809523809523,1.0,1.0,0.788327664399093,0.016111594818330223,1.0,0.06817308607555571,14.668545280342856,11.233955383300781,59.9609375
gaiavlinear_(no mean)_normal_KL06_181335_10_0.0001_3_window_10,gaia,3,normal_KL,vlinear,16,2,0.0001,0.9142857142857143,0.7619047619047609,0.7752380952380965,0.7916666666666666,0.7934591836734695,162066,10,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9265306122448979,0.9142857142857143,0.9142857142857143,0.9142857142857143,1.0,0.7934591836734695,0.042244180572742644,1.0,0.14672972588312058,6.815251606184848,1.3798828125,21.00634765625
gaiaGVAR_(no mean)_normal_KL06_182255_10_0.0001_3_window_10,gaia,3,normal_KL,GVAR,256,2,0.0001,0.6952380952380952,0.7492063492063483,0.7695238095238094,0.8011904761904762,0.7595997732426303,2745252,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7886621315192743,0.6952380952380952,0.8761904761904762,0.8761904761904762,1.0,0.7595997732426303,0.027727939023403682,1.0,0.06601147197541736,15.148882006030702,11.233955383300781,59.9609375
gaiavlinear_(no mean)_normal_KL06_183636_20_0.0001_1_window_20,gaia,1,normal_KL,vlinear,16,2,0.0001,0.6952380952380952,0.7619047619047609,0.7752380952380965,0.7928571428571428,0.7611122448979593,169766,20,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.780498866213152,0.6952380952380952,0.9142857142857143,0.9142857142857143,1.0,0.7611122448979593,0.03583629967478577,1.0,0.06842752865382604,14.614001406641277,1.4092559814453125,21.42236328125
gaiaGVAR_(no mean)_normal_KL06_184343_20_0.0001_1_window_20,gaia,1,normal_KL,GVAR,256,2,0.0001,0.9333333333333333,0.8761904761904764,0.8552380952380946,0.875,0.8737324263038548,5795532,20,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9666666666666667,0.9333333333333333,1.0,1.0,1.0,0.8737324263038548,0.0360208616751496,1.0,0.05669444856189546,17.63841126187624,22.869850158691406,106.564453125
