scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
deep_mlp_(no mean)_normal_KL17_055543_1_0.0001_1_window_1,msds,1,normal_KL,deep_mlp,16,2,0.0001,0.391304347826087,0.391304347826087,1.0,1.0,0.8173913043478261,7860,1,0,1000,0,0,16,2,10,0,mag_phase,gated,FEDformer
deep_mlp_(no mean)_normal_KL17_055629_2_0.0001_1_window_2,msds,1,normal_KL,deep_mlp,16,2,0.0001,0.391304347826087,0.391304347826087,1.0,1.0,0.8173913043478261,8116,2,0,1000,0,0,16,2,10,0,mag_phase,gated,FEDformer
deep_mlp_(no mean)_normal_KL17_055726_3_0.0001_1_window_3,msds,1,normal_KL,deep_mlp,16,2,0.0001,0.391304347826087,0.391304347826087,1.0,1.0,0.8173913043478261,8116,3,0,1000,0,0,16,2,10,0,mag_phase,gated,FEDformer
deep_mlp_(no mean)_normal_KL17_055820_4_0.0001_1_window_4,msds,1,normal_KL,deep_mlp,16,2,0.0001,0.391304347826087,0.391304347826087,1.0,1.0,0.782608695652174,8884,4,0,1000,0,0,16,2,10,0,mag_phase,gated,FEDformer
deep_mlp_(no mean)_normal_KL17_055932_5_0.0001_1_window_5,msds,1,normal_KL,deep_mlp,16,2,0.0001,0.391304347826087,0.391304347826087,1.0,1.0,0.7913043478260869,8884,5,0,1000,0,0,16,2,10,0,mag_phase,gated,FEDformer
msdsrcd_(no mean)_normal_KL17_060043_1_0.0001_1_window_1,msds,1,normal_KL,rcd,16,2,0.0001,0.6086956521739131,1.0,1.0,1.0,0.9217391304347826,0,1,0,1000,0,0,16,2,10,0,mag_phase,gated,aerca_based
msdsepsilon_diagnosis_(no mean)_normal_KL17_060104_1_0.0001_1_window_1,msds,1,normal_KL,epsilon_diagnosis,16,2,0.0001,0.2826086956521739,0.30434782608695654,0.8260869565217391,1.0,0.7391304347826086,0,1,0,1000,0,0,16,2,10,0,mag_phase,gated,aerca_based
msdsrcd_(no mean)_normal_KL17_060142_2_0.0001_1_window_2,msds,1,normal_KL,rcd,16,2,0.0001,0.6086956521739131,1.0,1.0,1.0,0.9217391304347826,0,2,0,1000,0,0,16,2,10,0,mag_phase,gated,aerca_based
msdsepsilon_diagnosis_(no mean)_normal_KL17_060157_2_0.0001_1_window_2,msds,1,normal_KL,epsilon_diagnosis,16,2,0.0001,0.2826086956521739,0.30434782608695654,0.8260869565217391,1.0,0.7391304347826086,0,2,0,1000,0,0,16,2,10,0,mag_phase,gated,aerca_based
msdsrcd_(no mean)_normal_KL17_060242_3_0.0001_1_window_3,msds,1,normal_KL,rcd,16,2,0.0001,0.6086956521739131,1.0,1.0,1.0,0.9217391304347826,0,3,0,1000,0,0,16,2,10,0,mag_phase,gated,aerca_based
msdsepsilon_diagnosis_(no mean)_normal_KL17_060257_3_0.0001_1_window_3,msds,1,normal_KL,epsilon_diagnosis,16,2,0.0001,0.2826086956521739,0.30434782608695654,0.8260869565217391,1.0,0.7391304347826086,0,3,0,1000,0,0,16,2,10,0,mag_phase,gated,aerca_based
