scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
msdsvlinear_(no mean)_normal_KL20_145737_5_0.0001_7_window_5,msds,7,normal_KL,vlinear,16,2,0.0001,0.0,0.26666666666666666,0.5833333333333334,1.0,0.6094444444444445,167225,5,0,10,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL21_142841_1_0.0001_7_window_1,msds,7,normal_KL,vlinear,16,2,0.0001,0.04950495049504951,0.2194719471947195,0.44554455445544555,1.0,0.5452145214521453,320564,1,1,1000,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL21_143444_1_0.0001_7_window_1,msds,7,normal_KL,vlinear,16,2,0.0001,0.0297029702970297,0.16996699669966997,0.40594059405940597,1.0,0.5283828382838284,951764,1,1,1000,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsdeep_mlp_(no mean)_normal_KL21_144032_1_0.0001_7_window_1,msds,7,normal_KL,deep_mlp,16,2,0.0001,0.7326732673267327,0.8234323432343235,0.9570957095709571,1.0,0.9143564356435643,9342300,1,1,1000,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsdeep_mlp_(no mean)_normal_KL21_144307_1_0.0001_7_window_1,msds,7,normal_KL,deep_mlp,16,2,0.0001,0.6831683168316832,0.7838283828382838,0.8234323432343235,1.0,0.8693069306930694,92460,1,1,1000,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL21_145928_1_1e-06_7_window_1,msds,7,normal_KL,vlinear,16,2,1e-06,0.039603960396039604,0.12706270627062707,0.6353135313531352,1.0,0.6077557755775578,163553,1,1,100,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL21_150404_1_1e-06_7_window_1,msds,7,normal_KL,vlinear,16,2,1e-06,0.039603960396039604,0.12706270627062707,0.6353135313531352,1.0,0.6077557755775578,2039177,1,1,100,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL21_150753_1_1e-06_7_window_1,msds,7,normal_KL,vlinear,16,2,1e-06,0.039603960396039604,0.12706270627062707,0.6353135313531352,1.0,0.6077557755775578,2039177,1,1,100,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL21_150954_1_1e-06_7_window_1,msds,7,normal_KL,vlinear,16,2,1e-06,0.039603960396039604,0.12706270627062707,0.6353135313531352,1.0,0.6077557755775578,163553,1,1,100,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL21_151154_1_1e-06_7_window_1,msds,7,normal_KL,vlinear,16,2,1e-06,0.039603960396039604,0.12706270627062707,0.6353135313531352,1.0,0.6077557755775578,163553,1,1,1000,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL21_151511_1_0.0001_7_window_1 (1000),msds,7,normal_KL,vlinear,16,2,0.0001,0.039603960396039604,0.13696369636963696,0.6452145214521451,1.0,0.6087458745874588,163553,1,1,1000,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL21_151748_1_0.0001_7_window_1 (200),msds,7,normal_KL,vlinear,16,2,0.0001,0.039603960396039604,0.13696369636963696,0.6452145214521451,1.0,0.6087458745874588,163553,1,1,1000,0,0,16,2,10,0,vlinear,gated,aerca_based
