scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
msdsvlinear_(no mean)_normal_KL22_170432_20_0.0001_7_window_20 (no orth),msds,7,normal_KL,vlinear,16,2,0.0001,0.0,0.2857142857142857,0.42857142857142855,1.0,0.5190476190476191,176131,20,0,1000,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL22_171929_20_0.0001_7_window_20 (with orth) (128node),msds,7,normal_KL,vlinear,16,2,0.0001,0.0,0.4523809523809524,0.7142857142857143,1.0,0.6214285714285714,71811,20,0,1000,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL22_172639_20_0.0001_7_window_20 (with orth) (256node) (hidden*1),msds,7,normal_KL,vlinear,16,2,0.0001,0.0,0.4523809523809524,0.7142857142857143,1.0,0.5928571428571427,105219,20,0,1000,0,0,16,2,10,0,vlinear,gated,aerca_based

msdsvlinear_(no mean)_normal_KL22_173520_20_0.0001_7_window_20 (new arch),msds,7,normal_KL,vlinear,16,2,0.0001,0.0,0.4523809523809524,0.7142857142857143,1.0,0.6428571428571429,170489,20,0,1000,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL22_171342_20_0.0001_7_window_20 (with orth) (256node) (hidden*2),msds,7,normal_KL,vlinear,16,2,0.0001,0.14285714285714285,0.5238095238095238,0.7857142857142857,1.0,0.680952380952381,176131,20,0,1000,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL22_174247_20_0.0001_7_window_20 (with orth) (256node) (hidden*4),msds,7,normal_KL,vlinear,16,2,0.0001,0.14285714285714285,0.38095238095238093,0.7857142857142857,1.0,0.7,317955,20,0,1000,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL22_174939_20_0.0001_7_window_20 (conv) (with orth) (256node) (hidden*4),msds,7,normal_KL,vlinear,16,2,0.0001,0.14285714285714285,0.4523809523809524,0.7857142857142857,1.0,0.6714285714285715,318467,20,0,1000,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL22_175507_20_0.0001_7_window_20 (temporal mlp) (with orth) (256node) (hidden*4),msds,7,normal_KL,vlinear,16,2,0.0001,0.0,0.3095238095238095,0.8571428571428571,1.0,0.6333333333333334,350723,20,0,1000,0,0,16,2,10,0,vlinear,gated,aerca_based
msdsvlinear_(no mean)_normal_KL22_180003_20_0.0001_7_window_20 (temporal mlp) (with orth) (256node) (hidden*2),msds,7,normal_KL,vlinear,16,2,0.0001,0.07142857142857142,0.38095238095238093,0.6904761904761905,1.0,0.5833333333333333,208899,20,0,1000,0,0,16,2,10,0,vlinear,gated,aerca_based
