scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
msdsvlinear_(no mean)_normal_KL23_054723_1_0.0001_1_window_1,msds,1,normal_KL,vlinear,16,2,0.0001,0.039603960396039604,0.2491749174917492,0.5841584158415841,1.0,0.5986798679867986,165857,1,1,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsvlinear_(no mean)_normal_KL23_110246_10_0.0001_1_window_10,msds,1,normal_KL,vlinear,16,2,0.0001,0.0,0.35,0.8333333333333333,1.0,0.6916666666666667,171815,10,1,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsvlinear_(no mean)_normal_KL23_111948_20_0.0001_1_window_20,msds,1,normal_KL,vlinear,16,2,0.0001,0.0,0.6666666666666667,0.9285714285714286,1.0,0.7714285714285715,178435,20,1,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdscausalrca_(no mean)_normal_KL23_112612_20_0.0001_1_window_20,msds,1,normal_KL,causalrca,16,2,0.0001,0.07142857142857142,0.38095238095238093,0.7142857142857143,1.0,0.6404761904761905,300,20,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsrcd_(no mean)_normal_KL23_113201_20_1e-05_1_window_20,msds,1,normal_KL,rcd,128,2,1e-05,0.880952380952381,1.0,1.0,1.0,0.9761904761904763,0,20,0,1000,0,0,128,2,10,0,normal,gated,aerca_based
msdsepsilon_diagnosis_(no mean)_normal_KL23_113212_20_1e-05_1_window_20,msds,1,normal_KL,epsilon_diagnosis,128,2,1e-05,0.2619047619047619,0.2619047619047619,0.9285714285714286,1.0,0.7642857142857143,0,20,0,1000,0,0,128,2,10,0,normal,gated,aerca_based
msdsvlinear_(no mean)_normal_KL23_113322_25_0.0001_1_window_25,msds,1,normal_KL,vlinear,16,2,0.0001,0.0,0.6410256410256411,1.0,1.0,0.7846153846153846,181745,25,1,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdscausalrca_(no mean)_normal_KL23_113949_25_0.0001_1_window_25,msds,1,normal_KL,causalrca,16,2,0.0001,0.0,0.5128205128205129,0.8461538461538461,1.0,0.7205128205128205,300,25,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsrcd_(no mean)_normal_KL23_114525_25_1e-05_1_window_25,msds,1,normal_KL,rcd,128,2,1e-05,0.9487179487179488,1.0,1.0,1.0,0.9897435897435898,0,25,0,1000,0,0,128,2,10,0,normal,gated,aerca_based
msdsepsilon_diagnosis_(no mean)_normal_KL23_114537_25_1e-05_1_window_25,msds,1,normal_KL,epsilon_diagnosis,128,2,1e-05,0.3333333333333333,0.3333333333333333,1.0,1.0,0.7948717948717949,0,25,0,1000,0,0,128,2,10,0,normal,gated,aerca_based
msdsvlinear_(no mean)_normal_KL23_114647_30_0.0001_1_window_30,msds,1,normal_KL,vlinear,16,2,0.0001,0.0,0.6410256410256411,1.0,1.0,0.7846153846153846,185055,30,1,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdscausalrca_(no mean)_normal_KL23_115353_30_0.0001_1_window_30,msds,1,normal_KL,causalrca,16,2,0.0001,0.0,0.4358974358974359,0.6923076923076923,1.0,0.6897435897435897,300,30,0,1000,0,0,16,2,10,0,mag_phase,attention,aerca_based
msdsrcd_(no mean)_normal_KL23_120014_30_1e-05_1_window_30,msds,1,normal_KL,rcd,128,2,1e-05,0.9487179487179488,1.0,1.0,1.0,0.9897435897435898,0,30,0,1000,0,0,128,2,10,0,normal,gated,aerca_based
msdsepsilon_diagnosis_(no mean)_normal_KL23_120027_30_1e-05_1_window_30,msds,1,normal_KL,epsilon_diagnosis,128,2,1e-05,0.0,0.0,0.9487179487179488,1.0,0.6897435897435897,0,30,0,1000,0,0,128,2,10,0,normal,gated,aerca_based
