scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
nonlineardeep_mlp_(no mean)_normal_KL18_100845_1_0.0001_1_window_1,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.26,0.22833333333333333,0.21433333333333315,0.3145634920634918,0.24758412698412693,117900,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL18_101030_3_0.0001_1_window_3,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.2,0.21833333333333332,0.26049999999999984,0.3500515873015872,0.2640123015873015,353700,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL18_101246_5_0.0001_1_window_5,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.3,0.23333333333333342,0.23666666666666653,0.3453293650793649,0.27532103174603173,589500,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL18_101536_7_0.0001_1_window_7,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.19,0.1733333333333334,0.18049999999999997,0.26784126984126977,0.20424325396825393,825300,7,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL18_101912_10_0.0001_1_window_10,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.22,0.18,0.18916666666666654,0.29797619047619034,0.21808333333333327,1179000,10,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
deep_mlp_(no mean)_normal_KL18_102350_1_0.0001_1_window_1,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.18,0.17833333333333334,0.1901666666666666,0.2770555555555555,0.21373809523809517,106024,1,0,100,0,0,64,2,20,0,mag_phase,attention,FEDformer
deep_mlp_(no mean)_normal_KL18_102515_3_0.0001_1_window_3,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.16,0.17666666666666667,0.18749999999999992,0.2697063492063491,0.20194166666666663,110120,3,0,100,0,0,64,2,20,0,mag_phase,attention,FEDformer
deep_mlp_(no mean)_normal_KL18_102658_5_0.0001_1_window_5,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.11,0.13500000000000004,0.16216666666666665,0.25088095238095226,0.1774329365079365,122408,5,0,100,0,0,64,2,20,0,mag_phase,attention,FEDformer
deep_mlp_(no mean)_normal_KL18_102840_7_0.0001_1_window_7,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.1,0.13,0.1631666666666666,0.28859126984126965,0.1765583333333333,126504,7,0,100,0,0,64,2,20,0,mag_phase,attention,FEDformer
deep_mlp_(no mean)_normal_KL18_103035_10_0.0001_1_window_10,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.17,0.16333333333333336,0.18966666666666657,0.3011587301587301,0.21052579365079366,142888,10,0,100,0,0,64,2,20,0,mag_phase,attention,FEDformer
