scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
nonlinearvlinear_(no mean)_normal_KL19_163512_1_0.0001_1_window_1,nonlinear,1,normal_KL,vlinear,64,2,0.0001,0.39,0.4016666666666666,0.4563333333333335,0.5726190476190475,0.46715039682539683,172479,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearvlinear_(no mean)_normal_KL19_163627_3_0.0001_1_window_3,nonlinear,1,normal_KL,vlinear,64,2,0.0001,0.4,0.37833333333333335,0.42016666666666674,0.5997341269841271,0.46102817460317463,174299,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearvlinear_(no mean)_normal_KL19_163749_5_0.0001_1_window_5,nonlinear,1,normal_KL,vlinear,64,2,0.0001,0.43,0.4249999999999999,0.4391666666666665,0.6525674603174604,0.498970238095238,176119,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearvlinear_(no mean)_normal_KL19_163911_7_0.0001_1_window_7,nonlinear,1,normal_KL,vlinear,64,2,0.0001,0.45,0.46,0.47633333333333316,0.6230277777777777,0.5073853174603175,177939,7,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlinearvlinear_(no mean)_normal_KL19_164034_10_0.0001_1_window_10,nonlinear,1,normal_KL,vlinear,64,2,0.0001,0.42,0.4516666666666667,0.4736666666666667,0.6285396825396825,0.5010833333333333,180669,10,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL19_164324_1_0.0001_1_window_1,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.43,0.4249999999999999,0.4996666666666667,0.6400436507936508,0.5047777777777778,117900,1,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL19_164448_3_0.0001_1_window_3,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.36,0.4433333333333333,0.4673333333333333,0.6460555555555557,0.5023464285714285,353700,3,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL19_164642_5_0.0001_1_window_5,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.46,0.40166666666666656,0.4531666666666667,0.6577579365079365,0.5032638888888888,589500,5,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL19_164902_7_0.0001_1_window_7,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.39,0.4266666666666667,0.4775,0.5855158730158732,0.4802253968253968,825300,7,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
nonlineardeep_mlp_(no mean)_normal_KL19_165155_10_0.0001_1_window_10,nonlinear,1,normal_KL,deep_mlp,64,2,0.0001,0.35,0.39833333333333343,0.4530000000000001,0.5723769841269842,0.4587329365079366,1179000,10,0,100,0,0,64,2,20,0,mag_phase,attention,aerca_based
