scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta
smdvlinear_(no mean)_normal_KL04_131415_30_0.0001_1_window_30,smd,1,normal_KL,vlinear,16,2,0.0001,0.3230769230769231,0.29589743589743545,0.2872820512820514,0.3095262515262516,0.3003617826617827,184160,30,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdGVAR_(no mean)_normal_KL04_132735_30_0.0001_1_window_30,smd,1,normal_KL,GVAR,256,2,0.0001,0.1476923076923077,0.16000000000000014,0.17194871794871788,0.24974603174603172,0.1893973137973138,6025620,30,0,200,0,0,256,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdbaro_(no mean)_normal_KL04_134028_30_0.0001_1_window_30,smd,1,normal_KL,baro,256,2,0.0001,0.3723076923076923,0.3615384615384614,0.38666666666666666,0.5093748473748475,0.41760793650793654,0,30,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdcLSTM_(no mean)_normal_KL04_134111_30_0.0001_1_window_30,smd,1,normal_KL,cLSTM,256,2,0.0001,0.22153846153846155,0.23487179487179471,0.28107692307692306,0.3419633699633701,0.2799516483516484,3273510,30,0,200,0,0,256,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL04_140718_10_0.0001_1_window_10,smd,1,normal_KL,vlinear,16,2,0.0001,0.4153846153846154,0.3974358974358973,0.38579487179487193,0.4337411477411475,0.4066811965811966,168760,10,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdGVAR_(no mean)_normal_KL04_142520_10_0.0001_1_window_10,smd,1,normal_KL,GVAR,256,2,0.0001,0.20615384615384616,0.22820512820512817,0.2314871794871794,0.27583028083028066,0.23755030525030524,1870020,10,0,200,0,0,256,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdbaro_(no mean)_normal_KL04_144119_10_0.0001_1_window_10,smd,1,normal_KL,baro,256,2,0.0001,0.31384615384615383,0.3097435897435897,0.32769230769230784,0.40601343101343085,0.34053003663003667,0,10,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdcLSTM_(no mean)_normal_KL04_144207_10_0.0001_1_window_10,smd,1,normal_KL,cLSTM,256,2,0.0001,0.22153846153846155,0.20769230769230773,0.2595384615384615,0.32628571428571435,0.26544224664224664,3273510,10,0,200,0,0,256,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdvlinear_(no mean)_normal_KL04_153518_20_0.0001_1_window_20,smd,1,normal_KL,vlinear,16,2,0.0001,0.4123076923076923,0.3938461538461538,0.38184615384615384,0.4002112332112333,0.39386642246642245,176460,20,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
smdGVAR_(no mean)_normal_KL04_155032_20_0.0001_1_window_20,smd,1,normal_KL,GVAR,256,2,0.0001,0.15692307692307692,0.16205128205128208,0.17446153846153858,0.23492551892551905,0.18648131868131873,3947820,20,0,200,0,0,256,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01
