scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
deep_mlp_(no mean)_normal_KL16_202949_5_0.0001_1_window_5,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.06999999999999999,0.08499999999999999,0.135,0.305,0.149,1854822,5,0,1000,0,0,128,2,51,0,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL16_203309_1_0.0001_1_window_1,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.20239316239316238,0.35277777777777775,0.4027777777777778,0.6549999999999999,0.42829487179487175,1592678,1,0,1000,0,0,128,2,51,0,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL16_203541_7_0.0001_1_window_7,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.05,0.05,0.1,0.25,0.11499999999999999,1920358,7,0,1000,0,0,128,2,51,0,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL16_204352_5_0.0001_1_window_5,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.06999999999999999,0.135,0.255,0.495,0.26650000000000007,794885,5,0,1000,0,0,128,2,51,0,normal,gated,iTransformer
deep_mlp_(no mean)_normal_KL16_204626_1_0.0001_1_window_1,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.0,0.08,0.10500000000000001,0.3272222222222222,0.13227777777777777,792833,1,0,1000,0,0,128,2,51,0,normal,gated,iTransformer
deep_mlp_(no mean)_normal_KL16_204829_7_0.0001_1_window_7,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.05,0.1,0.15,0.4,0.195,795911,7,0,1000,0,0,128,2,51,0,normal,gated,iTransformer
swatcausalrca_(no mean)_normal_KL16_205451_5_0.0001_1_window_5,swat,1,normal_KL,causalrca,256,2,0.0001,0.16,0.185,0.20500000000000002,0.3350000000000001,0.22950000000000004,6742,5,0,1000,0,0,256,2,51,0,mag_phase,attention,aerca_based
swatcausalrca_(no mean)_normal_KL16_205951_1_0.0001_1_window_1,swat,1,normal_KL,causalrca,256,2,0.0001,0.09777777777777777,0.2677777777777778,0.42777777777777776,0.4677777777777778,0.36977777777777776,6742,1,0,1000,0,0,256,2,51,0,mag_phase,attention,aerca_based
swatcausalrca_(no mean)_normal_KL16_210340_7_0.0001_1_window_7,swat,1,normal_KL,causalrca,256,2,0.0001,0.15,0.225,0.275,0.325,0.2775,6742,7,0,1000,0,0,256,2,51,0,mag_phase,attention,aerca_based
swatvlinear_(no mean)_normal_KL16_222219_1_0.0001_1_window_1,swat,1,normal_KL,vlinear,256,1,0.0001,0.07777777777777778,0.40888888888888886,0.538888888888889,0.538888888888889,0.44677777777777783,251580,1,0,1000,0,0,256,1,51,0,mag_phase,attention,aerca_based
swatvlinear_(no mean)_normal_KL16_222622_7_0.0001_1_window_7,swat,1,normal_KL,vlinear,256,1,0.0001,0.2,0.4,0.55,0.55,0.47000000000000003,257580,7,0,1000,0,0,256,1,51,0,mag_phase,attention,aerca_based
