scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
trainticketdeep_mlp_(no mean)_normal_KL23_154810_10_0.0001_7_window_10,trainticket,7,normal_KL,deep_mlp,16,2,0.0001,0.06875,0.065625,0.0765625,0.09375,0.07640625000000001,7224120,10,0,10,0,0,16,2,38,0,vlinear,gated,aerca_based
trainticketdeep_mlp_(no mean)_normal_KL23_155334_10_0.0001_7_window_10,trainticket,7,normal_KL,deep_mlp,16,2,0.0001,0.009375000000000001,0.0296875,0.0390625,0.06249999999999999,0.04109375,7224120,10,0,200,0,0,16,2,38,0,vlinear,gated,aerca_based
trainticketvlinear_(no mean)_normal_KL23_160430_10_0.0001_7_window_10,trainticket,7,normal_KL,vlinear,16,2,0.0001,0.0875,0.075,0.0921875,0.11875,0.09515625,239603,10,0,200,0,0,16,2,38,0,vlinear,gated,aerca_based
trainticketvlinear_(no mean)_normal_KL23_162717_10_0.0001_7_window_10,trainticket,7,normal_KL,vlinear,16,2,0.0001,0.043750000000000004,0.0421875,0.057812499999999996,0.0734375,0.059062500000000004,239603,10,0,200,0,0,16,2,38,0,vlinear,gated,aerca_based
trainticketGVAR_(no mean)_normal_KL23_165659_1_0.0001_7_window_1,trainticket,7,normal_KL,GVAR,16,2,0.0001,0.009375000000000001,0.0125,0.021875000000000002,0.04531250000000001,0.024843750000000005,3794913,1,0,200,0,0,16,2,241,0,vlinear,gated,aerca_based
trainticketGVAR_(no mean)_normal_KL23_173615_1_0.0001_7_window_1,trainticket,7,normal_KL,GVAR,16,2,0.0001,0.0,0.0,0.0,0.0,0.0,31504,1,0,200,0,0,16,2,20,0,vlinear,gated,aerca_based
GVAR_(no mean)_normal_KL23_182050_1_0.0001_7_window_1,trainticket,7,normal_KL,GVAR,16,2,0.0001,0.0,0.014062500000000002,0.04218750000000001,0.1109375,0.05,3473,1,0,200,0,0,16,2,241,0,vlinear,gated,iTransformer
GVAR_(no mean)_normal_KL23_182535_1_0.0001_7_window_1,trainticket,7,normal_KL,GVAR,64,2,0.0001,0.00625,0.0109375,0.025,0.048437499999999994,0.028437500000000004,50753,1,0,200,0,0,64,2,241,0,vlinear,gated,iTransformer
GVAR_(no mean)_normal_KL23_205913_1_0.0001_7_window_1,trainticket,7,normal_KL,GVAR,64,2,0.0001,0.00625,0.0109375,0.025,0.048437499999999994,0.028437500000000004,50753,1,0,200,0,0,64,2,241,0,vlinear,gated,iTransformer
GVAR_(no mean)_normal_KL23_233330_1_0.0001_7_window_1,msds,7,normal_KL,GVAR,64,2,0.0001,0.7722772277227723,0.7689768976897691,0.773927392739274,1.0,0.8306930693069308,50753,1,0,200,0,0,64,2,10,0,vlinear,gated,iTransformer
vlinear_(no mean)_normal_KL23_233521_1_0.0001_7_window_1,msds,7,normal_KL,vlinear,64,2,0.0001,0.7722772277227723,0.7689768976897691,0.773927392739274,1.0,0.8306930693069308,50753,1,0,200,0,0,64,2,10,0,vlinear,gated,iTransformer
GVAR_(no mean)_normal_KL23_234623_10_0.0001_7_window_10,msds,7,normal_KL,GVAR,64,2,0.0001,0.175,0.175,0.175,1.0,0.43916666666666665,51914,10,0,200,0,0,64,2,10,0,vlinear,gated,iTransformer
GVAR_(no mean)_normal_KL23_234757_1_0.0001_7_window_1,msds,7,normal_KL,GVAR,64,2,0.0001,0.7722772277227723,0.7689768976897691,0.773927392739274,1.0,0.8306930693069308,50753,1,0,200,0,0,64,2,10,0,vlinear,gated,iTransformer
