scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size
smdvlinear_(no mean)_normal_KL10_130124_32_0.0001_1_window_32,smd,1,normal_KL,vlinear,128,0,0.0001,0.4,0.3379487179487178,0.33456410256410246,0.4003333333333335,0.36279340659340664,64313,32,0,200,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1580886469481254,0.06461538461538462,0.12923076923076923,0.18153846153846154,0.3353846153846154,0.36279340659340664,0.025586616852587583,1.0,0.17281148763803336,5.786652343937777,0.4533500671386719,20.35595703125,677.8801379203796,3.389400689601898,5224.817488923097,1247.73583984375,1,0,0,mul,none,split_diff,bipartite,mlp,256
smdvlinear_(no mean)_normal_KL10_133140_32_0.0001_1_window_32,smd,1,normal_KL,vlinear,128,0,0.0001,0.36923076923076925,0.3102564102564098,0.303897435897436,0.3626532356532356,0.33041147741147736,63801,32,0,200,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.15371840371240336,0.06769230769230769,0.12615384615384614,0.18153846153846154,0.3261538461538461,0.33041147741147736,0.02260156053125804,0.9938837920489296,0.1610937008490929,6.207567364392267,0.4513969421386719,19.77294921875,566.3866567611694,2.831933283805847,6253.325281802119,1099.72998046875,0,0,0,mul,none,split_diff,bipartite,mlp,256

smdGVAR_(no mean)_normal_KL10_134727_32_0.0001_1_window_32,smd,1,normal_KL,GVAR,128,0,0.0001,0.25846153846153846,0.23743589743589746,0.23246153846153864,0.31359829059829064,0.26254200244200254,6441180,32,0,200,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0856352683288887,0.006153846153846154,0.055384615384615386,0.08923076923076922,0.2153846153846154,0.26254200244200254,0.028345005923454007,0.9938837920489296,0.1280457621354323,7.809707899136195,24.77526092529297,115.97705078125,659.3692946434021,5.494744122028351,3222.8980288645057,324.87158203125,1,0,0,mul,none,split_diff,bipartite,mlp,256
smdbaro_(no mean)_normal_KL10_132656_32_0.0001_1_window_32,smd,1,normal_KL,baro,128,0,0.0001,0.6615384615384615,0.645128205128205,0.6829230769230767,0.7656324786324789,0.6978247863247863,0,32,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7658544057309704,0.6615384615384615,0.8615384615384616,0.9046153846153846,0.9538461538461539,0.6978247863247863,0.04230193247664277,0.9938837920489296,0,0,0,0,0,0,0,0,1,0,tinyMoM,mul,none,split_diff,bipartite,mlp,128


smdbaro_(no mean)_normal_KL10_125749_4_0.0001_1_window_4,smd,1,normal_KL,baro,128,0,0.0001,0.5415384615384615,0.48666666666666647,0.5302564102564103,0.6400293040293044,0.553007326007326,0,4,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.6491949211076984,0.5415384615384615,0.7169230769230769,0.7692307692307693,0.8707692307692307,0.553007326007326,0.050406060150721604,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM,mul,none,split_diff,bipartite,mlp,128
smdbaro_(no mean)_normal_KL10_125917_32_0.0001_1_window_32,smd,1,normal_KL,baro,128,0,0.0001,0.6615384615384615,0.645128205128205,0.6829230769230767,0.7656324786324789,0.6978247863247863,0,32,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7658544057309704,0.6615384615384615,0.8615384615384616,0.9046153846153846,0.9538461538461539,0.6978247863247863,0.04230193247664277,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM,mul,none,split_diff,bipartite,mlp,128
smdbaro_(no mean)_normal_KL10_132524_32_0.0001_1_window_32,smd,1,normal_KL,baro,128,0,0.0001,0.6615384615384615,0.645128205128205,0.6829230769230767,0.7656324786324789,0.6978247863247863,0,32,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.7658544057309704,0.6615384615384615,0.8615384615384616,0.9046153846153846,0.9538461538461539,0.6978247863247863,0.04230193247664277,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM,mul,none,split_diff,bipartite,mlp,128
