scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size
vlinear_batadal_ws_16_seed_1_numvars_43_16_152650_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.42857142857142855,0.19047619047619047,0.14285714285714285,0.15833333333333335,0.1876700680272109,24852,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.41944444444444445,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.8571428571428571,0.1876700680272109,0.0842311159520915,1.0,0.1289552961077009,7.754625286307124,0.3049583435058594,18.5908203125,10.712075471878052,0.05356037735939026,8159.016451055394,1031.98095703125,0,0,0,mul,gate,max,symmetric,linear,512
vlinear_batadal_ws_16_seed_1_numvars_43_16_152749_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.0,0.09523809523809523,0.1142857142857143,0.12976190476190477,0.09790816326530613,24852,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34591836734693876,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.8571428571428571,0.09790816326530613,0.03738689809913034,1.0,0.1433211394718715,6.977337772256981,0.3049583435058594,18.5908203125,10.135430574417114,0.050677152872085574,8623.215299861728,1031.98095703125,0,0,0,mul,gate,max,symmetric,linear,512
vlinear_batadal_ws_16_seed_1_numvars_43_16_152841_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.2857142857142857,0.09523809523809523,0.1142857142857143,0.12976190476190477,0.1360034013605442,24852,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34920634920634924,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.8571428571428571,0.1360034013605442,0.052363779873493096,1.0,0.15627469335283553,6.398988720087964,0.3049583435058594,18.5908203125,10.40041184425354,0.0520020592212677,8403.513371279663,1031.98095703125,0,0,0,mul,gate,max,symmetric,linear,512
vlinear_batadal_ws_16_seed_1_numvars_43_16_152935_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.2857142857142857,0.09523809523809523,0.05714285714285715,0.12976190476190477,0.12076530612244898,24852,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.33390022675736963,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.12076530612244898,0.059859860424156836,1.0,0.14971154076712473,6.679511778958264,0.3049583435058594,18.5908203125,11.011578798294067,0.05505789399147034,7937.099811113385,1031.98095703125,0,0,0,mul,gate,max,symmetric,linear,512

vlinear_batadal_ws_16_seed_1_numvars_43_16_153035_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.2857142857142857,0.09523809523809523,0.1142857142857143,0.12976190476190477,0.1383843537414966,24852,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.0,0.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34325396825396826,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.8571428571428571,0.1383843537414966,0.05120098712348583,1.0,0.148345981325422,6.740998246567467,0.3049583435058594,18.5908203125,10.687058925628662,0.05343529462814331,8178.11528954948,1031.98095703125,0,0,0,mul,gate,max,symmetric,linear,512
vlinear_batadal_ws_16_seed_1_numvars_43_16_153209_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.42857142857142855,0.23809523809523808,0.14285714285714285,0.1869047619047619,0.20243197278911565,24852,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.0,0.0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4551587301587302,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.20243197278911565,0.08907789387026221,1.0,0.15396700586591447,6.494898009972811,0.3049583435058594,18.5908203125,12.60411810874939,0.06302059054374695,6934.241590399697,1031.98095703125,0,0,0,mul,gate,max,symmetric,linear,512
vlinear_batadal_ws_16_seed_1_numvars_43_16_153308_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.42857142857142855,0.23809523809523808,0.14285714285714285,0.1869047619047619,0.20243197278911565,24852,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.001,0.001,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4551587301587302,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.20243197278911565,0.08907789387026221,1.0,0.1556213583265032,6.425853178211813,0.3049583435058594,18.5908203125,10.751648187637329,0.053758240938186645,8128.986223758324,1031.98095703125,0,0,0,mul,gate,max,symmetric,linear,512
vlinear_batadal_ws_16_seed_1_numvars_43_16_153403_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.42857142857142855,0.23809523809523808,0.14285714285714285,0.1869047619047619,0.19528911564625848,24852,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.1,0.1,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4313492063492063,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.19528911564625848,0.08487819226590927,1.0,0.14976041657584055,6.677331853531453,0.3049583435058594,18.5908203125,11.070345163345337,0.055351725816726684,7894.966119881006,1031.98095703125,0,0,0,mul,gate,max,symmetric,linear,512
vlinear_batadal_ws_16_seed_1_numvars_43_16_153458_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.42857142857142855,0.23809523809523808,0.14285714285714285,0.1869047619047619,0.19528911564625848,24852,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.2,0.2,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4313492063492063,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.19528911564625848,0.08487819226590927,1.0,0.3036721774509975,3.293024762406383,0.3049583435058594,18.5908203125,11.101702690124512,0.055508513450622556,7872.666242246464,1031.98095703125,0,0,0,mul,gate,max,symmetric,linear,512
