scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size
vlinear_batadal_ws_8_seed_1_numvars_43_14_201818_,batadal,1,normal_KL,vlinear,128,0,0.0001,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.2547619047619048,0.19836734693877553,73141,8,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2826709631220909,0.0,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.19836734693877553,0.03509927215785799,1.0,0.14818143844604492,6.748483551562464,0.488433837890625,20.10595703125,21.753898859024048,0.10876949429512024,8053.728719407131,1410.9072265625,1,0,0,mul,linear_attn,max,symmetric,linear,512
GVAR_batadal_ws_8_seed_1_numvars_43_14_201922_,batadal,1,normal_KL,GVAR,128,0,0.0001,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.23809523809523808,0.1680952380952381,2518159,8,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.15829064419289982,0.0,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.1680952380952381,0.0335401745770292,1.0,0.15256823812212264,6.554444177296942,9.815193176269531,55.94921875,10.40442156791687,0.10509516735269565,8335.302393688333,200.9208984375,1,0,0,mul,linear_attn,max,symmetric,linear,512
baro_batadal_ws_8_seed_1_numvars_43_14_202003_,batadal,1,normal_KL,baro,1000,0,0.0001,0.2857142857142857,0.19047619047619047,0.1142857142857143,0.1976190476190476,0.17299319727891155,0,8,0,100,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.34886621315192745,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.17299319727891155,0.04906854875320646,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp,128
torai_batadal_ws_8_seed_1_numvars_43_14_202011_,batadal,1,normal_KL,torai,1000,0,0.0001,0.2857142857142857,0.14285714285714285,0.1142857142857143,0.1976190476190476,0.1726530612244898,0,8,0,100,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.35412846956964605,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.1726530612244898,0.04915765064623926,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp,128
rcd_batadal_ws_8_seed_1_numvars_43_14_202022_,batadal,1,normal_KL,rcd,1000,0,0.0001,0.0,0.14285714285714285,0.08571428571428573,0.07023809523809524,0.09096938775510204,0,8,0,100,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5124223602484472,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.09096938775510204,0.05319979344492968,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp,128
cLSTM_batadal_ws_8_seed_1_numvars_43_14_202031_,batadal,1,normal_KL,cLSTM,128,0,0.0001,0.14285714285714285,0.14285714285714285,0.26666666666666666,0.42142857142857143,0.2679931972789115,3814315,8,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.23886927204899555,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.2679931972789115,0.11404526048959984,1.0,0.14199072974068777,7.042713294214782,14.759635925292969,78.71484375,59.88230228424072,0.2994115114212036,2925.739213706009,609.8095703125,1,0,0,mul,linear_attn,max,symmetric,linear,512
deep_mlp_batadal_ws_8_seed_1_numvars_43_14_202244_,batadal,1,normal_KL,deep_mlp,128,0,0.0001,0.14285714285714285,0.14285714285714285,0.1142857142857143,0.2107142857142857,0.1579081632653061,7554477,8,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1498657357679914,0.0,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.1579081632653061,0.041743456242969434,1.0,0.1271077905382429,7.867338388665722,29.0272216796875,132.91259765625,52.719428300857544,0.2635971415042877,3323.2530330217974,455.5732421875,1,0,0,mul,linear_attn,max,symmetric,linear,512
CUTS_PLUS_batadal_ws_8_seed_1_numvars_43_14_202456_,batadal,1,normal_KL,CUTS_PLUS,128,0,0.0001,0.2857142857142857,0.19047619047619047,0.21904761904761902,0.20357142857142857,0.21977891156462587,84708,8,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.28383148870833597,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.21977891156462587,0.028444918531331055,1.0,0.15830976622445242,6.31672968667135,0.5323143005371094,18.0361328125,98.04407477378845,0.49022037386894224,1786.9514338753163,919.90478515625,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_batadal_ws_16_seed_1_numvars_43_14_205116_,batadal,1,normal_KL,vlinear,256,0,0.0001,0.42857142857142855,0.19047619047619047,0.1142857142857143,0.22023809523809526,0.20277210884353739,279445,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2127234377234377,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.20277210884353739,0.08778028069152088,1.0,0.11671927997044154,8.567564846640966,1.839141845703125,30.8828125,39.319209814071655,0.19659604907035827,2222.8320562210556,6619.3837890625,1,0,0,mul,linear_attn,max,symmetric,linear,512
GVAR_batadal_ws_16_seed_1_numvars_43_14_205235_,batadal,1,normal_KL,GVAR,256,0,0.0001,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2261904761904762,0.18408163265306124,14205015,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.17627555583950932,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.18408163265306124,0.03154614753522121,1.0,0.15621628080095565,6.4013814365108255,54.959999084472656,237.7451171875,9.262110948562622,0.13620751394945033,3208.339887637774,474.95947265625,1,0,0,mul,linear_attn,max,symmetric,linear,512
baro_batadal_ws_16_seed_1_numvars_43_14_205326_,batadal,1,normal_KL,baro,1000,0,0.0001,0.2857142857142857,0.14285714285714285,0.1619047619047619,0.22142857142857145,0.19979591836734695,0,16,0,100,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3944764862466726,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.19979591836734695,0.040326482414799476,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp,128
torai_batadal_ws_16_seed_1_numvars_43_14_205333_,batadal,1,normal_KL,torai,1000,0,0.0001,0.2857142857142857,0.19047619047619047,0.1619047619047619,0.2869047619047619,0.22005102040816324,0,16,0,100,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3984745413316842,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.22005102040816324,0.04833340813448375,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp,128
rcd_batadal_ws_16_seed_1_numvars_43_14_205344_,batadal,1,normal_KL,rcd,1000,0,0.0001,0.0,0.14285714285714285,0.08571428571428573,0.07023809523809524,0.09096938775510204,0,16,0,100,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5124223602484472,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.09096938775510204,0.05319979344492968,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp,128
cLSTM_batadal_ws_16_seed_1_numvars_43_14_205354_,batadal,1,normal_KL,cLSTM,256,0,0.0001,0.42857142857142855,0.23809523809523808,0.17142857142857143,0.2547619047619048,0.2376360544217687,13264683,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.22356423338566198,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.2376360544217687,0.07298720780151086,1.0,0.14960132326398576,6.684432852478216,51.37291717529297,249.482421875,35.85214877128601,0.17926074385643007,2437.789727961819,1938.70263671875,1,0,0,mul,linear_attn,max,symmetric,linear,512
deep_mlp_batadal_ws_16_seed_1_numvars_43_14_205559_,batadal,1,normal_KL,deep_mlp,256,0,0.0001,0.42857142857142855,0.14285714285714285,0.1142857142857143,0.17380952380952383,0.18204081632653063,42615045,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.23616780045351476,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.18204081632653063,0.0859266818303672,1.0,0.1363520622253418,7.333955817605114,163.33566284179688,679.2666015625,28.319048404693604,0.22655238723754884,1928.913684505954,1196.060546875,1,0,0,mul,linear_attn,max,symmetric,linear,512
