scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor
swatvlinear_(no mean)_normal_KL09_060022_32_0.0001_1_window_32,swat,1,normal_KL,vlinear,128,0,0.0001,0.2,0.25,0.35,0.45,0.34500000000000003,78541,32,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.06415868895536138,0.0,0.05,0.1,0.15,0.34500000000000003,0.08200609733428363,1.0,0.12006806135177613,8.328609529808215,0.5218849182128906,27.220703125,1024.633397102356,5.12316698551178,2415.3028849134607,3571.82080078125,1,0,0,mul,linear_attn,max,symmetric,linear
swatGVAR_(no mean)_normal_KL09_062011_32_0.0001_1_window_32,swat,1,normal_KL,GVAR,128,0,0.0001,0.25,0.25,0.3,0.35,0.31,14190839,32,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.055492874669842984,0.0,0.0,0.0,0.2,0.31,0.043588989435406726,1.0,0.2809360146522522,3.559529386923989,54.35212326049805,241.13525390625,1048.2042508125305,5.241021254062653,2360.990234566997,618.7734375,1,0,0,mul,linear_attn,max,symmetric,linear
swatbaro_(no mean)_normal_KL09_064339_32_0.0001_1_window_32,swat,1,normal_KL,baro,1000,0,0.0001,0.05,0.2,0.2,0.25,0.205,0,32,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.15625774031737297,0.05,0.2,0.2,0.25,0.205,0.061032778078668505,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swattorai_(no mean)_normal_KL09_064349_32_0.0001_1_window_32,swat,1,normal_KL,torai,1000,0,0.0001,0.1,0.25,0.3,0.4,0.3,0,32,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2033927414900012,0.1,0.25,0.3,0.4,0.3,0.1,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swatrcd_(no mean)_normal_KL09_064409_32_0.0001_1_window_32,swat,1,normal_KL,rcd,1000,0,0.0001,0.0,0.0,0.0,0.3,0.1,0,32,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1299060564758239,0.0,0.25,0.25,0.3,0.1,0.12649110640673517,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swatcLSTM_(no mean)_normal_KL09_064427_32_0.0001_1_window_32,swat,1,normal_KL,cLSTM,128,0,0.0001,0.2,0.4,0.4,0.45,0.38500000000000006,4732851,32,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.13298255447055757,0.05,0.1,0.15,0.25,0.38500000000000006,0.06726812023536856,1.0,0.2885716795921326,3.465343520242183,18.272762298583984,94.5234375,483.89953351020813,5.498858335343274,2250.285285668763,1387.5634765625,1,0,0,mul,linear_attn,max,symmetric,linear
swatCUTS_PLUS_(no mean)_normal_KL09_065714_32_0.0001_1_window_32,swat,1,normal_KL,CUTS_PLUS,128,0,0.0001,0.2,0.25,0.25,0.3,0.26499999999999996,91612,32,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.15353594548740726,0.0,0.2,0.4,0.45,0.26499999999999996,0.03905124837953326,1.0,0.10172930955886841,9.830008719574794,0.567840576171875,18.16748046875,8511.421255350113,42.55710627675057,290.76225059879266,2458.9326171875,1,0,0,mul,linear_attn,max,symmetric,linear
swatvlinear_(no mean)_normal_KL09_101106_16_0.0001_1_window_16,swat,1,normal_KL,vlinear,128,0,0.0001,0.15,0.25,0.3,0.4,0.30999999999999994,75661,16,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09629557137718184,0.0,0.05,0.15,0.3,0.30999999999999994,0.08,1.0,0.11912459135055542,8.394572343650163,0.5079689025878906,22.34423828125,1077.41308259964,5.3870654129982,4594.152493542085,1739.6201171875,1,0,0,mul,linear_attn,max,symmetric,linear
swatGVAR_(no mean)_normal_KL09_103236_16_0.0001_1_window_16,swat,1,normal_KL,GVAR,128,0,0.0001,0.2,0.35,0.35,0.35,0.325,6866535,16,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04976108859310438,0.0,0.0,0.0,0.05,0.325,0.05123475382979798,1.0,0.07709686756134033,12.97069558895338,26.412120819091797,128.203125,1068.3483707904816,5.341741853952408,4633.132913693305,312.2412109375,1,0,0,mul,linear_attn,max,symmetric,linear
swatbaro_(no mean)_normal_KL09_105624_16_0.0001_1_window_16,swat,1,normal_KL,baro,1000,0,0.0001,0.05,0.2,0.25,0.25,0.21000000000000002,0,16,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.15126536682830052,0.05,0.2,0.25,0.3,0.21000000000000002,0.06999999999999999,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
