scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor
swatvlinear_(no mean)_normal_KL09_143610_8_0.0001_1_window_8,swat,1,normal_KL,vlinear,128,0,0.0001,0.2,0.25,0.35,0.45,0.335,74221,8,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10469837523667716,0.05,0.05,0.15,0.2,0.335,0.08674675786448736,1.0,0.13511790037155152,7.400943896035744,0.5017433166503906,20.3427734375,597.8490915298462,5.978490915298462,8279.514128446055,818.67724609375,1,0,0,mul,linear_attn,max,symmetric,linear
swatGVAR_(no mean)_normal_KL09_145010_8_0.0001_1_window_8,swat,1,normal_KL,GVAR,128,0,0.0001,0.25,0.3,0.3,0.35,0.31,3204383,8,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04817736029742918,0.0,0.0,0.0,0.1,0.31,0.03741657386773941,1.0,0.11943320035934449,8.372881217209715,12.442119598388672,68.91943359375,589.9998064041138,5.899998064041138,8389.663769837953,160.42919921875,1,0,0,mul,linear_attn,max,symmetric,linear
swatbaro_(no mean)_normal_KL09_150554_8_0.0001_1_window_8,swat,1,normal_KL,baro,1000,0,0.0001,0.0,0.15,0.2,0.25,0.18,0,8,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11210953634598202,0.0,0.15,0.2,0.3,0.18,0.08426149773176358,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swattorai_(no mean)_normal_KL09_150605_8_0.0001_1_window_8,swat,1,normal_KL,torai,1000,0,0.0001,0.1,0.15,0.2,0.35,0.22999999999999998,0,8,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1738304672050802,0.1,0.15,0.2,0.35,0.22999999999999998,0.09797958971132711,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swatrcd_(no mean)_normal_KL09_150623_8_0.0001_1_window_8,swat,1,normal_KL,rcd,1000,0,0.0001,0.0,0.0,0.0,0.3,0.1,0,8,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1299060564758239,0.0,0.25,0.25,0.3,0.1,0.12649110640673517,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swatcLSTM_(no mean)_normal_KL09_150640_8_0.0001_1_window_8,swat,1,normal_KL,cLSTM,128,0,0.0001,0.2,0.25,0.3,0.35,0.3,4732851,8,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.036377725824220164,0.0,0.0,0.0,0.0,0.3,0.05916079783099615,1.0,0.11539278030395508,8.666053433896895,18.272762298583984,94.251953125,1235.1619868278503,18.714575557997733,2644.9437683798524,385.42138671875,1,0,0,mul,linear_attn,max,symmetric,linear
swatvlinear_(no mean)_normal_KL09_154302_16_0.0001_1_window_16,swat,1,normal_KL,vlinear,128,0,0.0001,0.15,0.25,0.3,0.4,0.295,75661,16,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.14206101470387184,0.05,0.1,0.2,0.4,0.295,0.07566372975210778,1.0,0.12125521898269653,8.247067700588648,0.5079689025878906,22.34423828125,541.5180826187134,5.415180826187134,4570.299828274791,1739.6201171875,1,0,0,mul,linear_attn,max,symmetric,linear
swatGVAR_(no mean)_normal_KL09_155434_16_0.0001_1_window_16,swat,1,normal_KL,GVAR,128,0,0.0001,0.25,0.35,0.35,0.35,0.335,6866535,16,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.057924583165582355,0.0,0.0,0.0,0.2,0.335,0.03201562118716424,1.0,0.11378473043441772,8.788525456641755,26.412120819091797,128.203125,575.6420252323151,5.75642025232315,4299.373380533138,312.2412109375,1,0,0,mul,linear_attn,max,symmetric,linear
swatbaro_(no mean)_normal_KL09_160942_16_0.0001_1_window_16,swat,1,normal_KL,baro,1000,0,0.0001,0.05,0.2,0.25,0.25,0.21000000000000002,0,16,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.15126536682830052,0.05,0.2,0.25,0.3,0.21000000000000002,0.06999999999999999,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swattorai_(no mean)_normal_KL09_160952_16_0.0001_1_window_16,swat,1,normal_KL,torai,1000,0,0.0001,0.1,0.15,0.3,0.35,0.26,0,16,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.18396522766129558,0.1,0.15,0.3,0.35,0.26,0.09695359714832658,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swatrcd_(no mean)_normal_KL09_161011_16_0.0001_1_window_16,swat,1,normal_KL,rcd,1000,0,0.0001,0.0,0.0,0.0,0.3,0.1,0,16,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1299060564758239,0.0,0.25,0.25,0.3,0.1,0.12649110640673517,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swatcLSTM_(no mean)_normal_KL09_161029_16_0.0001_1_window_16,swat,1,normal_KL,cLSTM,128,0,0.0001,0.3,0.3,0.3,0.4,0.33499999999999996,4732851,16,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.06139406426269186,0.0,0.0,0.05,0.05,0.33499999999999996,0.039051248379533283,1.0,0.0822098970413208,12.1639855539215,18.272762298583984,94.34228515625,501.06743454933167,9.824851657830033,2519.020221570062,715.5546875,1,0,0,mul,linear_attn,max,symmetric,linear
swatvlinear_(no mean)_normal_KL09_162708_32_0.0001_1_window_32,swat,1,normal_KL,vlinear,128,0,0.0001,0.15,0.35,0.35,0.4,0.33499999999999996,78541,32,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07585643639697956,0.0,0.05,0.1,0.2,0.33499999999999996,0.09500000000000001,1.0,0.104827880859375,9.539446870451238,0.5218849182128906,27.220703125,513.5943772792816,5.1359437727928166,2409.294288919227,3571.82080078125,1,0,0,mul,linear_attn,max,symmetric,linear
swatGVAR_(no mean)_normal_KL09_163729_32_0.0001_1_window_32,swat,1,normal_KL,GVAR,128,0,0.0001,0.25,0.3,0.3,0.3,0.2899999999999999,14190839,32,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.06102587164219427,0.0,0.0,0.05,0.25,0.2899999999999999,0.019999999999999997,1.0,0.11457113027572632,8.728202275681534,54.35212326049805,241.13525390625,580.131781578064,5.8013178157806395,2132.9636460082343,618.7734375,1,0,0,mul,linear_attn,max,symmetric,linear
swatbaro_(no mean)_normal_KL09_165238_32_0.0001_1_window_32,swat,1,normal_KL,baro,1000,0,0.0001,0.05,0.2,0.2,0.25,0.205,0,32,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.15625774031737297,0.05,0.2,0.2,0.25,0.205,0.061032778078668505,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swattorai_(no mean)_normal_KL09_165249_32_0.0001_1_window_32,swat,1,normal_KL,torai,1000,0,0.0001,0.1,0.25,0.3,0.4,0.3,0,32,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2033927414900012,0.1,0.25,0.3,0.4,0.3,0.1,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swatrcd_(no mean)_normal_KL09_165310_32_0.0001_1_window_32,swat,1,normal_KL,rcd,1000,0,0.0001,0.0,0.0,0.0,0.3,0.1,0,32,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1299060564758239,0.0,0.25,0.25,0.3,0.1,0.12649110640673517,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swatcLSTM_(no mean)_normal_KL09_165329_32_0.0001_1_window_32,swat,1,normal_KL,cLSTM,128,0,0.0001,0.2,0.4,0.4,0.45,0.38500000000000006,4732851,32,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.13298255447055757,0.05,0.1,0.15,0.25,0.38500000000000006,0.06726812023536856,1.0,0.2469318151473999,4.049700924131929,18.272762298583984,94.5234375,496.9996728897095,5.64772355556488,2190.9712609441563,1387.5634765625,1,0,0,mul,linear_attn,max,symmetric,linear
