scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor
wadivlinear_(no mean)_normal_KL06_021733_20_0.0001_1_window_20,wadi,1,normal_KL,vlinear,128,0,0.0001,0.0,0.375,0.375,0.375,0.325,73856,20,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1633218050065876,0.125,0.125,0.125,0.125,0.325,0.11456439237389601,1.0,0.18691885471343994,5.34991508231244,0.6558647155761719,23.89111328125,209.64492464065552,1.0482246232032777,2304.849501261406,5764.22607421875,1,0,0,mul,none,split_diff,bipartite,mlp
wadiGVAR_(no mean)_normal_KL06_022153_20_0.0001_1_window_20,wadi,1,normal_KL,GVAR,128,0,0.0001,0.125,0.375,0.5,0.5,0.4375,40157203,20,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1144956460982168,0.0,0.25,0.25,0.25,0.4375,0.1152443057161611,1.0,0.18928787112236023,5.282958670677721,153.56017303466797,637.07275390625,113.93213081359863,0.5696606540679932,4241.121416315393,3594.3466796875,1,0,0,mul,none,split_diff,bipartite,mlp
wadibaro_(no mean)_normal_KL06_022536_20_0.0001_1_window_20,wadi,1,normal_KL,baro,128,0,0.0001,0.25,0.375,0.375,0.625,0.425,0,20,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.33503128815628813,0.25,0.375,0.375,0.625,0.425,0.12747548783981963,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM,mul,none,split_diff,bipartite,mlp
waditorai_(no mean)_normal_KL06_022545_20_0.0001_1_window_20,wadi,1,normal_KL,torai,128,0,0.0001,0.25,0.375,0.375,0.5,0.375,0,20,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3411903203846725,0.25,0.375,0.375,0.5,0.375,0.05590169943749474,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM,mul,none,split_diff,bipartite,mlp
wadircd_(no mean)_normal_KL06_022559_20_0.0001_1_window_20,wadi,1,normal_KL,rcd,128,0,0.0001,0.0,0.0,0.0,0.0,0.0,0,20,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2662909588620151,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM,mul,none,split_diff,bipartite,mlp
wadicLSTM_(no mean)_normal_KL06_022614_20_0.0001_1_window_20,wadi,1,normal_KL,cLSTM,128,0,0.0001,0.125,0.375,0.5,0.5,0.4,16727551,20,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.16666666666666666,0.0,0.25,0.25,0.5,0.4,0.14577379737113252,1.0,0.1830454170703888,5.46312503205397,64.18314361572266,304.41162109375,309.6543610095978,1.548271805047989,1560.4495232186416,4082.06689453125,1,0,0,mul,none,split_diff,bipartite,mlp
wadiGVAR_(no mean)_normal_KL06_023719_30_0.0001_1_window_30,wadi,1,normal_KL,GVAR,128,0,0.0001,0.125,0.125,0.125,0.25,0.1875,61292573,30,0,200,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.03179396421327317,0.0,0.0,0.0,0.125,0.1875,0.0625,1.0,0.1819220781326294,5.496858931387948,234.18521118164062,965.93017578125,119.12024641036987,0.5956012320518493,2704.829864857896,5427.052734375,1,0,0,mul,none,split_diff,bipartite,mlp
wadibaro_(no mean)_normal_KL06_024136_30_0.0001_1_window_30,wadi,1,normal_KL,baro,128,0,0.0001,0.25,0.375,0.375,0.625,0.4,0,30,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.33025850565292314,0.25,0.375,0.375,0.625,0.4,0.10897247358851683,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM,mul,none,split_diff,bipartite,mlp
waditorai_(no mean)_normal_KL06_024144_30_0.0001_1_window_30,wadi,1,normal_KL,torai,128,0,0.0001,0.25,0.375,0.375,0.75,0.4625,0,30,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3652227057812164,0.25,0.375,0.375,0.75,0.4625,0.1375,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM,mul,none,split_diff,bipartite,mlp
wadircd_(no mean)_normal_KL06_024158_30_0.0001_1_window_30,wadi,1,normal_KL,rcd,128,0,0.0001,0.0,0.0,0.0,0.0,0.0,0,30,0,100,0,0,128,2,127,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2662909588620151,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,tinyMoM,mul,none,split_diff,bipartite,mlp
